id-int,isUpdateNow-bool,type-int,pointList-int[][],updateInterval-int
1,0,1,,
2,0,1,,
3,0,0,"100,14,100;100,14,100",10000
4,0,0,"100,15,100;100,15,100",20000
5,0,0,"100,7,100;100,7,100",20000
6,0,0,"100,65,100;100,65,100",80000
7,0,0,"100,68,100;100,68,100",160000
8,0,0,"100,71,100;100,71,100",160000
9,0,0,"100,85,10;100,87,10",640000
10,0,0,"100,91,10;100,93,10",1280000
11,0,0,"100,99,10;100,97,10",1280000
12,0,0,"100,4,100;100,4,100",10000
13,0,0,"100,6,100;100,6,100",20000
14,0,0,"100,16,100;100,16,100",20000
15,0,0,"100,66,100;100,66,100",80000
16,0,0,"100,69,100;100,69,100",160000
17,0,0,"100,72,100;100,72,100",160000
18,0,0,"100,85,10;100,89,10",640000
19,0,0,"100,95,10;100,91,10",1280000
20,0,0,"100,101,10;100,97,10",1280000
21,0,0,"100,8,100;100,8,100",10000
22,0,0,"100,9,100;100,9,100",20000
23,0,0,"100,11,100;100,11,100",20000
24,0,0,"100,67,100;100,67,100",80000
25,0,0,"100,70,100;100,70,100",160000
26,0,0,"100,73,100;100,73,100",160000
27,0,0,"100,87,10;100,89,10",640000
28,0,0,"100,93,10;100,95,10",1280000
29,0,0,"100,99,10;100,101,10",1280000
30,1,0,"100,14,6;100,14,6;100,4,6;100,4,6;100,8,6;100,8,6",86400000
31,1,0,"100,15,6;100,15,6;100,6,6;100,6,6;100,9,6;100,9,6",86400000
32,1,0,"100,7,6;100,7,6;100,16,6;100,16,6;100,11,6;100,11,6",86400000
33,1,0,"100,65,6;100,65,6;100,66,6;100,66,6;100,67,6;100,67,6",86400000
34,1,0,"100,68,6;100,68,6;100,69,6;100,69,6;100,70,6;100,70,6",86400000
35,1,0,"100,71,6;100,71,6;100,72,6;100,72,6;100,73,6;100,73,6",86400000
36,1,0,"100,85,8;100,87,8",86400000
37,1,0,"100,91,8;100,93,8",86400000
38,1,0,"100,99,8;100,97,8",86400000
39,1,0,,86400000
40,1,0,,86400000
41,1,0,,86400000
42,1,0,,86400000
43,1,0,,86400000
44,1,0,,86400000
45,1,0,"100,85,8;100,89,8",86400000
46,1,0,"100,95,8;100,91,8",86400000
47,1,0,"100,101,8;100,97,8",86400000
48,1,0,,86400000
49,1,0,,86400000
50,1,0,,86400000
51,1,0,,86400000
52,1,0,,86400000
53,1,0,,86400000
54,1,0,"100,87,8;100,89,8",86400000
55,1,0,"100,93,8;100,95,8",86400000
56,1,0,"100,99,8;100,101,8",86400000
57,1,0,"100,14,15;100,14,15",86400000
58,1,0,"100,15,15;100,15,15",86400000
59,1,0,"100,7,15;100,7,15",86400000
60,1,0,"100,65,15;100,65,15",86400000
61,1,0,"100,68,15;100,68,15",86400000
62,1,0,"100,71,15;100,71,15",86400000
63,1,0,"100,85,15;100,86,15",86400000
64,1,0,"100,91,15;100,92,15",86400000
65,1,0,"100,97,15;100,98,15",86400000
66,1,0,"100,4,15;100,4,15",86400000
67,1,0,"100,6,15;100,6,15",86400000
68,1,0,"100,16,15;100,16,15",86400000
69,1,0,"100,66,15;100,66,15",86400000
70,1,0,"100,69,15;100,69,15",86400000
71,1,0,"100,72,15;100,72,15",86400000
72,1,0,"100,87,15;100,88,15",86400000
73,1,0,"100,93,15;100,94,15",86400000
74,1,0,"100,99,15;100,100,15",86400000
75,1,0,"100,8,15;100,8,15",86400000
76,1,0,"100,9,15;100,9,15",86400000
77,1,0,"100,11,15;100,11,15",86400000
78,1,0,"100,67,15;100,67,15",86400000
79,1,0,"100,70,15;100,70,15",86400000
80,1,0,"100,73,15;100,73,15",86400000
81,1,0,"100,89,15;100,90,15",86400000
82,1,0,"100,95,15;100,96,15",86400000
83,1,0,"100,101,15;100,102,15",86400000
84,1,0,"100,19,3;100,20,3;100,21,3;100,22,3;100,24,3;100,25,3;100,26,3;100,27,3;100,28,3;100,30,3;100,31,3;100,32,3",26100
85,1,0,"100,83,5;100,29,5",26100
