id-int,name-string,pageIds-int[]
1,Item Resource,
2,Item Resource,
3,Item Resource,
4,Killing Monster,7
5,Killing Monster,8
6,Killing Monster,9
7,Killing Monster,10
8,Killing Monster,11
9,Killing Monster,12
10,Killing Monster,13
11,Killing Monster,14
12,Killing Monster,16
13,Killing Monster,17
14,Killing Monster,18
15,Killing Monster,19
16,Killing Monster,20
17,Killing Monster,21
18,Killing Monster,22
19,Killing Monster,23
20,Killing Monster,24
21,Killing Monster,25
22,Killing Monster,26
23,Killing Monster,27
24,Killing Monster,28
25,Killing Monster,29
26,Killing Monster,30
27,Killing Monster,31
28,Killing Monster,32
29,Killing Monster,33
30,Killing Monster,34
31,Gather,"35,36"
32,Dungeon Challenge,411
33,Gather,"37,38"
34,Dungeon Challenge,412
35,Gather,"39,40"
36,Dungeon Challenge,413
37,Gather,"41,42"
38,Dungeon Challenge,414
39,Gather,"43,44"
40,Dungeon Challenge,415
41,Gather,"45,46"
42,Dungeon Challenge,416
43,Gather,"47,48"
44,Dungeon Challenge,427
45,Gather,"49,50"
46,Dungeon Challenge,428
47,Gather,"51,52"
48,Dungeon Challenge,429
49,Gather,"53,54,55"
50,Dismantling Farming Equipment,430
51,Gather,"56,57"
52,Dismantling Combat Equipment,431
53,Gather,"58,59"
54,Dismantling Gather Equipment,432
55,Gather,"60,61"
56,Crafting,433
57,Gather,"62,63"
58,Crafting,434
59,Gather,"64,65"
60,Crafting,435
61,Gather,"66,67"
62,Crafting,436
63,Gather,"68,69"
64,Crafting,437
65,Gather,"70,71"
66,Crafting,438
67,Item Resource,72
68,Crafting,439
69,Gather,"73,74,72"
70,Crafting,440
71,Gather,"75,76"
72,Crafting,441
73,Gather,"77,78"
74,Crafting,442
75,Gather,"79,80"
76,Crafting,443
77,Gather,"81,82"
78,Crafting,444
79,Gather,"83,84"
80,Crafting,445
81,Gather,"85,86"
82,Crafting,446
83,Gather,"87,88"
84,Crafting,447
85,Gather,"89,90"
86,Crafting,448
87,Planting,384
88,Planting,385
89,Planting,386
90,Planting,387
91,Planting,388
92,Planting,389
93,Planting,390
94,Planting,391
95,Planting,392
96,Planting,393
97,Planting,394
98,Planting,395
99,Planting,396
100,Planting,397
101,Planting,398
102,Planting,399
103,Planting,400
104,Planting,401
105,Planting,402
