boothFees-int[][],canDropScene-int[],canMint-int,desc-string,givenSkillId-int,icon-string,id-int,name-string,onChainDelay-int,quality-int[],resourceInstructions-int[],sellable-bool,subType-int,talentId-int[],tokenTaskLevel-int[],tokenTaskRefreshType-int,type-int,useLv-int,userType-int
"792,1","1,3,4",1,"Someone once saw this material by the seaside.
It can be used to craft equipment or items.
-------
This green slime is a rare raw material that can be used to make various combat equipment. It has extremely strong adhesion and can bond with a variety of materials.",0,item-icon-30,30,Green Slime,0,1,6,1,0,2,"1,0",1,4,1,1
"792,1","1,3,4",1,"Someone once saw this material by the seaside.
It can be used to craft equipment or items.
-------
Pumpkin vines are a raw material that can be used to make weapons and armor. They have a tough texture and excellent toughness, providing reliable protection and attack power in combat.",0,item-icon-31,31,Pumpkin Vines,0,1,5,1,0,2,"1,0",1,4,1,1
"792,1","1,3,4",1,"Someone once saw this material by the seaside.
It can be used to craft equipment or items.
-------
This type of wire mesh is a raw material used for combat, which can be used to manufacture defensive structures or equipment with high strength and durability.",0,item-icon-32,32,Wire Mesh ,0,1,4,1,0,2,"1,0",1,4,1,1
"793,1","1,3,4",1,"Someone once saw this material in the desert.
It can be used to craft equipment or items.
-------
Cat Fangs from the mines are a sharp raw material that can be used to make weapons and armor. They come from feline animals that live in the mines and possess strong combat abilities and agility.",0,item-icon-33,33,Mining Cat Sharp Fang,0,1,7,1,0,2,2,1,4,2,1
"793,1","1,3,4",1,"Someone once saw this material on the grasslands.
It can be used to craft equipment or items.
-------
This lightweight film is a raw material used for combat and can be used to manufacture various defensive equipment and weapons.",0,item-icon-34,34,Light Thin Film,0,1,8,1,0,2,2,1,4,2,1
"793,1","1,3,4",1,"Someone once saw this material in the canyon.
It can be used to craft equipment or items.
-------
The Grass Demon Crown is a second-level combat material made from the head of Grass Demons and possesses powerful combat abilities.",0,item-icon-35,35,Grass Demon Crown,0,1,9,1,0,2,2,1,4,2,1
"794,1","1,3,4",1,"Someone once saw this material in the Black Forest.
It can be used to craft equipment or items.
-------
This hook claw is made of hard metal, very sharp, suitable for use in battle. Its shape is slender, and it can easily penetrate the enemy's defense.",0,item-icon-36,36,Slender Hook Claw,0,1,10,1,0,2,3,1,4,3,1
"794,1","1,3,4",1,"Someone once saw this material in the Red Forest.
It can be used to craft equipment or items.
-------
Red fur is a high-end fur with excellent defensive performance, suitable for making combat equipment. It is a rare raw material with high collection difficulty.",0,item-icon-37,37,Crimson Fur,0,1,11,1,0,2,3,1,4,3,1
"794,1","1,3,4",1,"Someone once saw this material on the Snow Mountain.
It can be used to craft equipment or items.
-------
This is a rare raw material that can be obtained in battles. It has an appearance like ice and snow, with a furry texture that makes people want to touch it.",0,item-icon-38,38,Ice Snow Fluff,0,1,12,1,0,2,3,1,4,3,1
"792,1",0,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
A sharp and sturdy weapon crafted from solid stone, perfect for close combat. Its weight and balance make it easy to wield, delivering powerful strikes with precision.",0,item-icon-40,40,Stone Sword,1,1,264,1,0,2,999,0,1,1,1
"793,1",0,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
A sharp and sturdy weapon forged from iron, capable of slicing through enemies with ease. Its weight provides a satisfying heft, allowing for powerful strikes that leave opponents reeling.",0,item-icon-41,41,Iron Sword,1440,"1,2",271,1,0,2,999,0,1,2,1
