classifyLevel-int,desc-string,displayType-int,icon-string,id-int,level-int,matItemId-int[][],name-string,productId-int[][],productTypes-int[],proficiency-int,recipesSort-int,sourceText-int,timeCost-int,timesLimit-int,type-int,unlockCondition-int,unlockType-int,useDitamin-int,useToken-int
1,Lv 1-Stone Sword Recipe,2,recipe-icon-44,44,1,"210,1;213,1",Lv 1-Stone Sword Recipe,"40,1,1,10000",1,0,10900044,1,10,-,2,0,4,0,0
0,Lv 2-Iron Sword Recipe,2,recipe-icon-45,45,2,"207,2;211,1;214,1",Lv 2-Iron Sword Recipe,"41,1,1,6000;41,2,1,4000",1,0,50800045,1,10,-,2,0,4,0,0
0,Lv 3-Crystal Sword Recipe,2,recipe-icon-46,46,3,"208,2;212,1;215,1",Lv 3-Crystal Sword Recipe,"42,1,1,4736;42,2,1,3157;42,3,1,2105",1,0,50700046,1,10,-,2,0,4,0,0
0,Lv 1-Iron Hoe Recipe,2,recipe-icon-62,62,1,"207,2",Lv 1-Iron Hoe Recipe,"80,1,1,10000",1,0,10900062,1,10,-,1,0,4,0,0
0,Lv 2-Curse Hoe Recipe,2,recipe-icon-63,63,2,"216,2;208,2",Lv 2-Curse Hoe Recipe,"81,1,1,10000",1,0,10800063,1,10,-,1,0,4,0,0
0,Lv 3-Blessing Hoe Recipe,2,recipe-icon-64,64,3,"217,2;209,2",Lv 3-Blessing Hoe Recipe,"82,1,1,10000",1,0,10700064,1,10,-,1,0,4,0,0
0,Lv 1-Iron Kettle Recipe,2,recipe-icon-66,66,1,"207,2",Lv 1-Iron Kettle Recipe,"84,1,1,10000",1,0,10900066,1,10,-,1,0,4,0,0
0,Lv 2-Curse Kettle Recipe,2,recipe-icon-67,67,2,"216,2;208,2",Lv 2-Curse Kettle Recipe,"85,2,1,4000;85,1,1,6000",1,0,50800067,1,10,-,1,0,4,0,0
0,Lv 3-Blessing Kettle Recipe,2,recipe-icon-68,68,3,"217,2;209,2",Lv 3-Blessing Kettle Recipe,"86,1,1,10000",1,0,10700068,1,10,-,1,0,4,0,0
0,Lv 1-Iron Pickaxe Recipe,2,recipe-icon-70,70,1,"216,2",Lv 1-Iron Pickaxe Recipe,"88,1,1,10000",1,0,10900070,1,10,-,3,0,4,0,0
0,Lv 2-Cursed Pickaxe Recipe,2,recipe-icon-71,71,2,"210,1;213,1;217,2",Lv 2-Cursed Pickaxe Recipe,"89,1,1,6000;89,2,1,4000",1,0,50800071,1,10,-,3,0,4,0,0
0,Lv 3-Blessing Pickaxe Recipe,2,recipe-icon-72,72,3,"211,1;214,1;218,2",Lv 3-Blessing Pickaxe Recipe,"90,1,1,10000",1,0,10700072,1,10,-,3,0,4,0,0
0,Lv 1-Iron Axe Recipe,2,recipe-icon-74,74,1,"216,2",Lv 1-Iron Axe Recipe,"92,1,1,10000",1,0,10900074,1,10,-,3,0,4,0,0
0,Lv 2-Curse Axe Recipe,2,recipe-icon-75,75,2,"210,1;213,1;217,2",Lv 2-Curse Axe Recipe,"93,1,1,6000;93,2,1,4000",1,0,50800075,1,10,-,3,0,4,0,0
0,Lv 3-Blessed Axe Recipe,2,recipe-icon-76,76,3,"211,1;214,1;218,2",Lv 3-Blessed Axe Recipe,"94,1,1,10000",1,0,10700076,1,10,-,3,0,4,0,0
0,Crafting Lv 0 Accelerated Fertilizer,2,recipe-icon-92,92,1,"65,1",Lv 0 Accelerated Fertilizer Recipe,"128,1,1,10000",3,0,40900092,1,10,-,1,0,4,0,0
0,Crafting Lv 0 Yield-Boosting Fertilizer ,2,recipe-icon-93,93,1,"61,1",Lv 0 Yield-Boosting Fertilizer Recipe,"129,1,1,10000",3,0,40900093,1,10,-,1,0,4,0,0
0,Crafting Lv 0 Moisturizing Fertilizer,2,recipe-icon-94,94,1,"69,1",Lv 0 Moisturizing Fertilizer Recipe,"130,1,1,10000",3,0,40900094,1,10,-,1,0,4,0,0
0,Crafting Lv 0 Secondary Healing Potion,2,recipe-icon-95,95,1,"66,5;32,5",Lv 1  Potion Recipe,"134,1,1,5031;135,1,1,993;136,1,1,993;137,1,1,993;139,1,1,993;138,1,1,993",3,0,50900095,1,10,-,3,0,4,0,0
0,Crafting Lv 1 Healing Potion,2,recipe-icon-96,96,2,"67,2;75,2;35,2",Lv 2 Potion Recipe,"140,1,1,5031;142,1,1,993;141,1,1,993;143,1,1,993;145,1,1,993;144,1,1,993",3,0,50800096,1,10,-,3,0,4,0,0
0,Crafting Lv 0 Advanced Moisturizing Fertilizer,2,recipe-icon-101,101,2,"69,2;35,2",Lv 0 Advanced Moisturizing Fertilizer Recipe,"133,1,1,10000",3,0,40800101,1,10,-,1,0,4,0,0
0,Crafting Lv 0 Advanced Yield-Boosting Fertilizer,2,recipe-icon-102,102,2,"61,2;35,2",Lv 0 Advanced Yield-Boosting Fertilizer Recipe,"132,1,1,10000",3,0,40800102,1,10,-,1,0,4,0,0
0,Crafting Lv 0 Advanced Accelerated Fertilizer,2,recipe-icon-103,103,2,"65,2;35,2",Lv 0 Advanced Accelerated Fertilizer Recipe,"131,1,1,10000",3,0,40800103,1,10,-,1,0,4,0,0
0,Crafting Lv 0 Talisman,2,recipe-icon-104,104,1,"32,20;71,40;58,40;62,40;66,40",Lv 0 Talisman Recipe,",1,1,4736;,2,1,3157;,3,1,2105",,0,50900104,1,10,-,0,0,4,0,50000
0,Crafting Lv 0 Talisman,2,recipe-icon-106,106,1,"38,20;77,40;60,40;64,40;68,40",Lv 0 Talisman Recipe,",2,1,4426;,3,1,2950;,4,1,1967;,5,1,655",,0,50900106,1,10,-,0,0,4,0,100000
0,Lv 1-Lucky Clover Hat Recipe,2,recipe-icon-108,108,1,"207,2",Lv 1-Lucky Clover Hat Recipe,"98,1,1,9310;241,5,1,344;262,5,1,344",1,0,50900108,1,10,-,1,0,4,0,0
0,Lv 2-Lucky Cotton Hat Recipe,2,recipe-icon-109,109,2,"216,2;208,2",Lv 2-Lucky Cotton Hat Recipe,"99,1,1,5744;99,2,1,3829;267,5,1,212;272,5,1,212",1,0,50800109,1,10,-,1,0,4,0,0
0,Lv 3-Lucky Hard Hat  Recipe,2,recipe-icon-110,110,3,"217,2;209,2",Lv 3-Lucky Hard Hat  Recipe,"100,1,1,4576;100,2,1,3050;100,3,1,2033;246,5,1,169;251,5,1,169",1,0,50700110,1,10,-,1,0,4,0,0
0,Lv 1-Gathering Hat  Recipe,2,recipe-icon-111,111,1,"216,2",Lv 1-Gathering Hat  Recipe,"116,1,1,9310;241,5,1,344;262,5,1,344",1,0,50900111,1,10,-,3,0,4,0,0
0,Lv 2-Gathering Hat  Recipe,2,recipe-icon-112,112,2,"210,1;213,1;217,2",Lv 2-Gathering Hat  Recipe,"117,1,1,5744;117,2,1,3829;267,5,1,212;272,5,1,212",1,0,50800112,1,10,-,3,0,4,0,0
0,Lv 3-Gathering Hat  Recipe,2,recipe-icon-113,113,3,"211,1;214,1;218,2",Lv 3-Gathering Hat  Recipe,"118,1,1,4576;118,3,1,2033;118,2,1,3050;246,5,1,169;251,5,1,169",1,0,50700113,1,10,-,3,0,4,0,0
0,Crafting Lv 1 Bamboo Seed,2,recipe-icon-123,123,1,"70,1",Lv 1 Bamboo Seed Recipe,"146,1,1,8350;150,1,1,1649",3,0,50900123,1,10,-,1,0,4,0,0
0,Crafting Lv 1 Clover Seed,2,recipe-icon-124,124,1,"71,1",Lv 1 Trifolium Seed Recipe,"147,1,1,8350;149,1,1,1649",3,0,50900124,1,10,-,1,0,4,0,0
0,Crafting Lv 1 Carrot Seed,2,recipe-icon-125,125,1,"72,1",Lv 1 Carrot Seed Recipe,"148,1,1,8350;151,1,1,1649",3,0,50900125,1,10,-,1,0,4,0,0
0,Crafting Lv 2 Pitcher Plant Seed,2,recipe-icon-126,126,2,"73,1",Lv 2 Pitcher plant Seed Recipe,"149,1,1,8350;154,1,1,1649",3,0,50800126,1,10,-,1,0,4,0,0
