canInvest-bool,extraDropPool-int,id-int,isRanking-bool,level-int[],loadingBg-string,name-string,refreshRatio-int[],reputationRequaireScore-int,respawnTimes-int,rewardFrequency-int,sceneName-string,sceneSubtype-int,sceneType-int,talentType-int,worldDropProbability-int,functionModule-int[],baseScore-int[],bossCovers-int[],challengeMode-int[],chapterBaseReward-int[],chapterEvents-int[][],chapterLuckyReward-int[],chapterProgress-int[],chapterPunish-int[][],chapterTimeLimit-int[],chapters-string[],desc-string,dropRewardShow-int[],punishDesc-string,randomSeeds-string[][],releaseTime-int[][],tickets-int[][],campLimit-int[],bossSeed-string[],seedMaxLimit-int[]
0,0,10001,0,"0,999",HomeSceneLoading.jpg,WorldScene,"5000,5000,5000,5000,5000,5000,5000,5000,5000,5000",0,0,0,WorldScene,1,1,0,1850,,,,,,,,,,,,,,,,,,,,
0,0,10002,0,"0,999",HomeSceneLoading.jpg,HomeScene,,0,0,0,HomeScene,1,2,0,10000,3,,,,,,,,,,,,,,,,,,,
0,0,10003,0,"0,999",HomeSceneLoading.jpg,WorldScene02,,0,0,0,WorldScene02,1,1,0,10000,,,,,,,,,,,,,,,,,,,,
0,160,20000,1,"0,3",DungeonSceneLoading_1_3.jpg,Flower Peak,,100,0,3,DungeonSceneLv1-3,1,3,2,10000,1,"10000,20000,30000","55,0,54",2,"58,59,60","16,17;16,17;16,17","61,62,63","30,60,120","3500,13500;3500,13500;3500,13500","120,190,400","Chapter 1/3,Chapter 2/3,Chapter 3/3","Nestled within the lush foliage of the jungle, it's like a miracle on the earth. Its rocky peaks resemble a row of sharp sword blades, yet they also resemble petals.",185,"When you die, there's a chance to drop the items in your backpack.",0;0;0,"0,1440","468,1",,,
0,40,20001,1,"4,6",DungeonSceneLoading_4_6.jpg,Floating Realm,,160,0,3,DungeonSceneLv4-6,1,3,2,10000,1,"10000,20000,30000","37,39,38",2,"52,53,54","16,17;16,17;16,17","47,48,49","320,640,960","3500,13500;3500,13500;3500,13500","470,500,770","Chapter 1/3,Chapter 2/3,Chapter 3/3","In that shattered domain, a dark fortress stands proudly, its edges suspended amidst the void, devoid of any physical support. It is filled with a large number of dangerous monsters, growing many rare collectibles that have never been seen before.",186,"When you die, there's a chance to drop the items in your backpack.",0;0;0,"0,1440","467,1",,,
0,10,20002,1,"7,9",DungeonSceneLoading_7_9.jpg,Ancient Domain,,640,0,3,DungeonSCeneLv7-9,1,3,2,10000,1,"10000,20000,30000","61,71,66",2,"82,83,84","16,17;16,17;16,17","85,86,87","2560,5120,10240","3500,13500;3500,13500;3500,13500","470,500,760","Chapter 1/3,Chapter 2/3,Chapter 3/3","Battle against fiery creatures; fight in the dark and eerie environment, guarding against attacks from void beings; delve into ancient ruins to unearth secrets and treasures hidden deep within. Brave adventurers, are you ready to face this challenge?",187,"When you die, there's a chance to drop the items in your backpack.",0;0;0,"0,1440","658,1",,,
1,0,21001,0,"1,3",DungeonSceneLoading_7_9.jpg,Junior Arena,,0,0,5,PVPDungeonSceneSoloLv1-3,2,3,2,10000,"1,2","0,10000","55,0,54",2,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging","Rewards
- Defeating Monsters or Gathering: Players will receive Token rewards invested by totems.
- Eliminating Other Players: Players can claim the unsettled LUASUD rewards of their defeated opponents.
- Defeating Bosses: Players may obtain mysterious special materials essential for game progression.
Rules Overview
- Level Structure: The dungeon consists of 3 chaotic levels, each presenting its own set of challenges.
- Safe Zones: There are safe zones within the levels, which will shrink over time, forcing players into confrontation.
- Three Types of Gates:
 - Challenge Gate: For the brave, this gate leads to the next level of adventure.
 - Escape Gate: Exit the dungeon and forfeit any unsettled Token rewards.
 - Settlement Gate: Settle and collect Token rewards at a certain ratio.",,"When you die, there's a chance to drop the items in your backpack.",0;0,"0,0","659,1","8,24",,
1,0,21002,0,"4,6",PVPDungeonSceneLoading_4_6.jpg,Intermediate Arena,,0,0,5,PVPDungeonSceneSoloLv4-6,2,3,2,10000,"1,2","0,10000","37,39,38",2,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging","Rewards
- Defeating Monsters or Gathering: Players will receive Token rewards invested by totems.
- Eliminating Other Players: Players can claim the unsettled LUASUD rewards of their defeated opponents.
- Defeating Bosses: Players may obtain mysterious special materials essential for game progression.
Rules Overview
- Level Structure: The dungeon consists of 3 chaotic levels, each presenting its own set of challenges.
- Safe Zones: There are safe zones within the levels, which will shrink over time, forcing players into confrontation.
- Three Types of Gates:
 - Challenge Gate: For the brave, this gate leads to the next level of adventure.
 - Escape Gate: Exit the dungeon and forfeit any unsettled Token rewards.
 - Settlement Gate: Settle and collect Token rewards at a certain ratio.",,"When you die, there's a chance to drop the items in your backpack.",0;0,"0,0","660,1","8,24",,
1,0,21003,0,"7,9",PVPDungeonSceneLoading_4_6.jpg,Advanced Arena,,0,0,5,PVPDungeonSceneSoloLv7-9,2,3,2,10000,"1,2","0,10000","61,71,66",2,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging","Rewards
- Defeating Monsters or Gathering: Players will receive Token rewards invested by totems.
- Eliminating Other Players: Players can claim the unsettled LUASUD rewards of their defeated opponents.
- Defeating Bosses: Players may obtain mysterious special materials essential for game progression.
Rules Overview
- Level Structure: The dungeon consists of 3 chaotic levels, each presenting its own set of challenges.
- Safe Zones: There are safe zones within the levels, which will shrink over time, forcing players into confrontation.
- Three Types of Gates:
 - Challenge Gate: For the brave, this gate leads to the next level of adventure.
 - Escape Gate: Exit the dungeon and forfeit any unsettled Token rewards.
 - Settlement Gate: Settle and collect Token rewards at a certain ratio.",,"When you die, there's a chance to drop the items in your backpack.",0;0,"0,0","661,1","8,24",,
1,0,22001,0,"1,3",DungeonSceneLoading_7_9.jpg,Junior Solo Arena,,0,0,5,PVPDungeonSceneSoloLv1-3,2,3,2,10000,"1,2","0,10000","55,0,54",1,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging","Rewards
- Defeating Monsters or Gathering: Players will receive Token rewards invested by totems.
- Eliminating Other Players: Players can claim the unsettled LUASUD rewards of their defeated opponents.
- Defeating Bosses: Players may obtain mysterious special materials essential for game progression.
Rules Overview
- Level Structure: The dungeon consists of 3 chaotic levels, each presenting its own set of challenges.
- Safe Zones: There are safe zones within the levels, which will shrink over time, forcing players into confrontation.
- Three Types of Gates:
 - Challenge Gate: For the brave, this gate leads to the next level of adventure.
 - Escape Gate: Exit the dungeon and forfeit any unsettled Token rewards.
 - Settlement Gate: Settle and collect Token rewards at a certain ratio.",,"When you die, there's a chance to drop the items in your backpack.",0;0,"0,0","659,1","3,24",,
