desc-string,id-int,parameters_1-int[],parameters_2-int[][],type-int
怪物防御值增强了,1,2,650,2
怪物攻击力增强了,2,2,651,2
玩家防御值削弱了,3,1,652,2
玩家攻击力削弱了,4,1,653,2
怪物最大血量增加了,5,2,654,2
怪物防御值削弱了,6,2,655,2
怪物攻击力削弱了,7,2,656,2
玩家防御值增强了,8,1,657,2
玩家攻击力增强了,9,1,658,2
怪物最大血量减少了,10,2,659,2
触发子行为战斗随机减益事件,11,,"10000,1;10000,2;10000,3;10000,4;10000,5",1
触发子行为战斗随机增益事件,12,,"10000,6;10000,7;10000,8;10000,9;10000,10",1
触发子行为采集随机减益事件,13,,"10000,17;10000,18;10000,19;10000,20",1
触发子行为采集随机增益事件,14,,"10000,21;10000,18;10000,23;10000,24",1
触发子行为农牧随机减益事件,15,,"10000,25;10000,26;10000,27;10000,28;10000,29;10000,30",1
触发子行为农牧随机增益事件,16,,"10000,31;10000,32;10000,33;10000,34;10000,35;10000,36",1
采集物防御值增强了,17,5,"60,4,200,60,4;61,4,200,61,4;62,4,200,62,4",3
采集物最大进度值增强了,18,5,"76,4,100,76,4",3
玩家采集攻击力削弱了,19,1,660,2
玩家移动速度变慢了,20,1,661,2
采集物防御值削弱了,21,5,"60,4,-200,60,4;61,4,-200,61,4;62,4,-200,62,4",3
采集物最大进度值削弱了,22,5,"76,4,-100,76,4",3
玩家采集攻击力增强了,23,1,662,2
玩家移动速度变快了,24,1,663,2
作物需求浇水量增强了,25,8,"71,4,100,71,4",3
作物需求熟练度增强了,26,8,"73,4,200,73,4",3
作物回到上一个生长阶段了,27,,"1,-1",4
作物需要重新浇水,28,,"2,0",4
玩家浇水速度变慢了,29,1,664,2
玩家种植熟练度削弱了,30,1,665,2
作物需求浇水量削弱了,31,8,"71,4,-100,71,4",3
作物需求熟练度削弱了,32,8,"73,4,-200,73,4",3
作物进入下一个生长阶段了,33,,"1,1",4
为所有作物浇水了,34,,"2,1",4
玩家浇水速度变快了,35,1,666,2
玩家种植熟练度增强了,36,1,667,2
采集玩家的数值换算,37,1,668,2
采集物的数值换算,38,5,,3
