dropId-int,exp-int,functionType-int,growRes-string[],harvestRes-string,id-int,initialAttribute-int[][],lv-int,progressScore-int,rankScore-int,functionAvatar-string
16,15,0,"seed-146-p1,seed-146-p2,seed-146-p3,seed-146-p4",seed-146-final,146,"71,100,0;72,82,0;73,600,0;74,600,0;75,60480000,0",1,2,14,
17,15,0,"seed-147-p1,seed-147-p2,seed-147-p3",seed-147-final,147,"71,100,0;72,82,0;73,450,0;74,600,0;75,60480000,0",1,2,14,
18,15,0,"seed-148-p1,seed-148-p2,seed-148-p3",seed-148-final,148,"71,100,0;72,82,0;73,450,0;74,600,0;75,60480000,0",1,2,14,
19,21,0,"seed-149-p1,seed-149-p2,seed-149-p3",seed-149-final,149,"71,150,0;72,101,0;73,900,0;74,1384,0;75,60480000,0",2,4,20,
20,21,0,"seed-150-p1,seed-150-p2,seed-150-p3,seed-150-p4",seed-150-final,150,"71,150,0;72,101,0;73,1200,0;74,1384,0;75,60480000,0",2,4,20,
21,21,0,"seed-151-p1,seed-151-p2,seed-151-p3",seed-151-final,151,"71,150,0;72,101,0;73,900,0;74,1384,0;75,60480000,0",2,4,20,
22,30,0,"seed-152-p1,seed-152-p2,seed-152-p3,seed-152-p4",seed-152-final,152,"71,200,0;72,117,0;73,1800,0;74,3000,0;75,60480000,0",3,8,28,
23,30,0,"seed-153-p1,seed-153-p2,seed-153-p3",seed-153-final,153,"71,200,0;72,117,0;73,1350,0;74,3000,0;75,60480000,0",3,8,28,
24,30,0,"seed-154-p1,seed-154-p2,seed-154-p3,seed-154-p4",seed-154-final,154,"71,200,0;72,117,0;73,1800,0;74,3000,0;75,60480000,0",3,8,28,
65,42,0,"seed-413-p1,seed-413-p2,seed-413-p3",seed-413-final,413,"71,250,0;72,130,0;73,1800,0;74,5000,0;75,60480000,0",4,16,40,
66,42,0,"seed-414-p1,seed-414-p2,seed-414-p3",seed-414-final,414,"71,250,0;72,130,0;73,1800,0;74,5000,0;75,60480000,0",4,16,40,
