IsBeHitBreakable-bool,IsIndependentLogic-bool,accuBreakable-bool,accuTime-int,attackCanMove-bool,effectEnemy-int[],effectForward-int[],forwardReleaseTime-int,id-int,isAutoUse-bool,isCheckHit-bool,isHoldSkill-bool,isReleastActLoop-bool,isRemote-bool,playProgress-bool,rangeTips-bool,releaseAct-string,releaseEff-string,releaseSound-string[],releaseSpd-int,releaseTime-int,skillCD-int,skillDesc-string,skillDistance-int,skillFlag-int[],skillFlyerId-int,skillName-string,skillRange-int[],skillShake-string[],targetFlag-int[],targetLock-bool,targetType-int[],homeAction-int[],homeAttRate-int,effectSelf-int[],skillIcon-string,hitEff-string,animRotate-int,skillAlertEffect-string,skillFlyerNum-int,accuEff-int,effectInit-int[],composeSkill-int[],costPropType-int[],maxAccuTime-int,itemCost-int[][],accuTab-string
0,0,0,0,0,"1,239",214,150,14,0,1,0,0,0,0,1,skill_attack1,Skill_punch_attack1,Punch,14,550,-1,Barehanded Attack - Move 1.,350,2,0,Barehanded Attack,"4,300,150,16000",CameraShakeGrade_1,1,0,1,,,,,,,,,,,,,,,
0,0,0,0,0,"15,239",214,150,15,0,1,0,0,0,0,1,skill_attack2,Skill_punch_attack2,Punch,14,550,-1,Barehanded Attack - Move 2.,350,2,0,Barehanded Attack,"4,300,150,16000",CameraShakeGrade_1,1,0,1,,,,,,,,,,,,,,,
0,0,0,0,0,"21,227,386",214,150,16,0,1,0,0,0,0,1,skill_attack3,Skill_punch_attack3,Punch2,14,550,-1,Barehanded Attack - Move 3.,350,2,0,Barehanded Attack,"4,300,150,16000",CameraShakeGrade_2,1,0,1,,,,,,,,,,,,,,,
0,0,0,0,0,"239,385",31,150,17,0,1,0,0,0,0,1,skill_sword_attack1,skill_sword_attack1,knife01,14,620,-1,Sword Attack - Move 1.,400,2,0,Sword Attack,"4,300,300,27000",CameraShakeGrade_1,1,0,1,5,333,,,,,,,,,,,,,
0,0,0,0,0,"15,239",31,150,18,0,1,0,0,0,0,1,skill_sword_attack2,skill_sword_attack2,knife02,14,620,-1,Sword Attack - Move 2.,400,2,0,Sword Attack,"4,300,300,27000",CameraShakeGrade_1,1,0,1,5,333,,,,,,,,,,,,,
0,0,0,0,0,"21,227,386",31,150,19,0,1,0,0,0,0,1,skill_sword_attack3,skill_sword_attack3,knife03,14,670,-1,Sword Attack - Move 3.,400,2,0,Sword Attack,"4,300,300,27000",CameraShakeGrade_2,1,0,1,5,333,,,,,,,,,,,,,
0,0,0,0,0,,18,0,20,0,1,0,0,0,0,0,jump_roll,,playerroll,,400,2000,Roll swiftly to dodge incoming attacks or move quickly.,,2,0,Player Rolling,,,1,0,1,,,19,skill-icon-20,,,,,,,,,,,
0,0,0,0,0,15,,300,21,0,1,0,0,0,0,0,normal_chudi,,ranged_RPG_attack2_audio,37,500,-1,Use a single hoeing action for a normal attack on a targeted foe.,,2,0,Single Hoeing,,,1,0,1,1,1000,,,skill_rock_hurt,,,,,,,,,,
0,0,0,0,0,419,,0,22,0,1,1,1,0,0,0,ranged_RPG_attack5,Skill_watering,ranged_RPG_attack5_audio,,0,-1,Water an individual plant with a normal amount of water.,,2,0,Watering Individual Plant,,,1,0,1,3,1000,,,,,,,,,,,,,
0,0,0,0,0,,,280,23,0,1,0,0,0,0,0,A-bozhong-NEW,Skill_seeding,A-bozhong-NEW_audio,,400,-1,Sow a single seed precisely and efficiently. ,,2,0,Single-Seed Sowing,,,1,0,1,2,,,,skill_tree_hurt,,,,,,,,,,
0,0,0,0,0,,,280,24,0,1,0,0,0,0,0,ranged_RPG_reload,Skill_fertilize,playerroll,,400,-1,Apply a single dose of fertilizer to enhance plant growth.,,2,0,Single Fertilization,,,1,0,1,4,,,,skill_tree_hurt,,,,,,,,,,
0,0,0,0,0,"15,17,416",,350,25,0,1,0,0,0,0,0,normal_gaozi,Skill_mine,ranged_RPG_attack4_audio,30,500,-1,Use a single glaive dig in a normal attack against an enemy.,,2,0,Single Glaive Dig,"4,300,150,27000",CameraShakeGrade_1,1,0,1,"7,8",1000,,,skill_rock_hurt,,,,,,,,,,
0,0,0,0,0,"15,17,417",,350,26,0,1,0,0,0,0,0,normal_futou,Skill_chop,ranged_RPG_attack3_audio,23,500,-1,Chop with a single axe strike as a normal attack.,,2,0,Single Axe Chop,"4,300,150,27000",CameraShakeGrade_1,1,0,1,6,1000,,,skill_tree_hurt,,,,,,,,,,
1,0,1,0,0,"227,1","188,226",730,31,1,1,0,0,0,0,1,attack,,Dog_Attack,,1430,0,Engage in a fierce canine melee to protect your territory.,300,2,0,Metal Mutt Melee,"4,300,200,12000",,1,0,1,,,,,,,,,,,,,,,
1,0,1,0,0,15,"216,189",700,32,1,1,0,0,0,0,1,attack,,SKill_Pumpkin_attkar_rush,,1333,0,Battle the Pumpkin Fiend using close-quarters combat.,400,2,0,Pumpkin Fiend Melee,"4,300,200,12000",,1,0,1,,,,,,,,,,,,,,,
1,0,1,0,0,15,"190,215",1100,33,1,1,0,0,0,0,1,attack,,Catus_Attack,,1660,0,Take on the Cactus Warrior in a fierce melee confrontation.,450,2,0,Cactus Warrior Melee,"4,300,300,9000",,1,0,1,,,,,,,,,,,,,,,
1,0,1,0,0,15,,1000,34,1,1,0,0,0,0,1,attack,,Dryad_Attack,,1860,1000,Fight against the Mighty Dryad with powerful melee attacks.,,2,0,Big Dryad Melee,"2,300",,1,0,1,,,,,,,,,,,,,,,
1,0,0,0,0,"15,29",28,1000,35,1,1,0,0,0,0,1,attack,,Dryad_Attack,,1860,5000,Show no fear as you confront the dangerous Wolf King up close.,,2,0,Wolf King Melee,"2,500",CameraShakeGrade_2,1,0,1,,,,,,,,,,,,,,,
1,0,0,0,0,"15,29",28,300,36,1,1,0,0,0,0,1,attack,,Dryad_Attack,,1860,10000,Perform a powerful charge attack as the Wolf King.,,2,0,Wolf King Charges,"1,500,100,1",CameraShakeGrade_3,1,0,1,,,,,,,,,,,,,,,
1,0,0,0,0,"15,29",28,1000,37,1,1,0,0,0,0,1,attack,,Dryad_Attack,,1860,20000,"Pound the ground, stunning nearby foes with sheer wolf might.",,2,0,Wolf King Pounds Ground,"2,500",CameraShakeGrade_3,1,0,1,,,,,,,,,,,,,,,
1,0,0,0,0,"15,29",28,0,38,1,1,0,0,0,0,1,attack,,Dryad_Attack,,1860,30000,Unleash a terrifying howl to instill fear in your enemies.,,2,0,Wolf King Howls,"2,900",CameraShakeGrade_3,1,0,1,,,,,,,,,,,,,,,
1,0,0,0,0,29,28,1860,39,1,1,0,0,0,0,1,attack,,Dryad_Attack,,1860,60000,Display the Wolf King's Shadow Dance to outmaneuver opponents.,1000,2,0,Wolf King Yin Yue,,CameraShakeGrade_3,1,0,1,,,,,,,,,,,,,,,
1,0,1,0,0,15,,400,40,0,1,0,0,1,0,1,attack_far,,Skill_Pumpkin_atkar_Basic,,767,2000,Use the Pumpkin Man's ranged attack to keep enemies at a distance.,2000,2,2,Pumpkin Man Remote,"2,200",,1,1,1,,,,,,0,top_down_bomb_1,1,,,,,,,
