desc-string,duration-int,effectType-int,id-int,isRepeat-bool,maxLayer-int,parameters-int[],showBuffIcon-bool,parameters2-int[][],buffIcon-string,effectInterval-int,effectFlag-int[],effectImmuneFlag-int[],entityEffect-string
Base damage (thousandth coefficient),0,1,1,0,1,"1000,1",0,,,,,,
Front shift (cm),500,2,2,0,1,"100,0,1",0,,,,,,
Displacement (cm) for repulsion,500,3,3,0,1,100,0,,,,,,
Invincible,1000,4,4,0,1,,0,,,,,,
Dominant physique,1000,5,5,0,10,,0,,,,,,
"Search displacement (min, max distance in cm)",100,6,6,0,1,"50,150,1",0,,,,,,
"Attribute modification (Attribute ID, Modification type, Modification value)",,7,7,0,1,,0,"11,1,100;13,1,10",,,,,
Basic dizziness effect,,8,8,0,1,,1,,buff-icon-8,,,,
Continuous damage (thousandth coefficient),500,9,9,0,5,100,0,,,500,,,
Collision trigger (effect ball list),500,10,10,0,1,"15,17",0,,,,,,
"Quick skill release (skill ID list, trigger type, release probability, skill ID)",0,11,11,0,1,,0,"14,15,16;1,500,65",,,,,
"Add effect balls (target type, target limit; effect ball list) within range.",,12,12,0,1,,0,"1,1;15",,500,,,
"Blood rage effect (attribute id, change type, gain value per 1% HP loss)",,13,13,0,1,,0,"11,1,100;13,1,10",,,,,
"Increase attribute value after a period of time without taking damage (duration in ms) (attribute id, change type, gain value per 1% health loss)",-1,14,14,0,1,3000,0,"11,1,100;13,1,10",,,,,
Base damage,0,1,15,0,1,,0,,,,,,
Protagonist's precast displacement distance,200,2,16,0,1,"90,0,1",0,,,,,,
Universal knockback distance effect,200,3,17,0,1,90,0,,,,,,
Player rolling movement,250,2,18,0,1,"350,0,1",0,,,,,,
Player rolls invincible,500,4,19,0,1,,0,,,,,,
Protagonist's attack 3 pre-attack displacement distance.,200,2,20,0,1,"110,0,1",0,,,,,,
Third basic attack knockback distance effect,275,3,21,0,1,100,0,,,,,,
1 second hyper Armor,1000,5,22,1,10,,0,,,,,,
Dizziness test,3000,8,23,0,1,,1,,buff-icon-23,,,,
Canned dog has strong melee ability,730,5,24,0,10,,0,,,,,,
"Pumpkin man, melee tank",1300,5,25,0,10,,0,,,,,,
Dragon fruit soldier melee domination,1100,5,26,0,10,,0,,,,,,
Tree person melee tank,1000,5,27,0,10,,0,,,,,,
Wolf King melee tank,2000,5,28,0,10,,0,,,,,,
Wolf king melee knockback,1000,3,29,0,1,100,0,,,,,,
Wolf King skill: displacement,1000,2,30,0,1,"1200,0,1",0,,,,,,
Detection displacement effect,150,6,31,0,1,"80,200,1",0,,,,,,
"Attack +100, HP limit +100, Crit rate +50%",-1,7,32,0,1,,0,"13,1,100;11,1,100;19,1,500",,,,,
"Attack +50%, Max HP +50%",-1,7,33,0,1,,0,"13,2,500;11,2,500",,,1,2,
"Max HP +100, Attack +10%",10000,7,34,0,10,,0,"11,1,100;13,2,100",,,,,
Dizzy for 3 seconds,3000,8,35,0,1,,1,,buff-icon-35,,,,
Bloody buff,5000,9,36,0,5,100,0,,,500,,,
Collision injury,0,1,37,0,1,"1500,1",0,,,,,,
"Blood rage buff, 1% HP loss = 1 damage bonus",-1,13,38,0,1,,0,"21,1,10",,,,,
"3s no damage, +10% damage buff",-1,14,39,0,1,,0,"21,1,100",,,,,
Collision knockback,300,3,40,0,1,500,0,,,,,,
Collision damage and knockback,400,10,41,0,1,"37,40",0,,,,,,
Sprint displacement,300,2,42,0,1,"400,0,1",0,,,,,,
Bare-handed attack triggers sword attack,-1,11,43,0,1,,0,"14,15,16;1,500,65",,,,,
Random single target damage within range,5000,12,44,0,1,,0,"1,1;15",,500,,,
Group harm in scope,5000,12,45,0,1,,0,"1,20;15",,500,,,
"Combat core 1, increase 1% attack power",-1,7,46,0,1,,0,"13,1,5;15,1,5;11,1,20",,,,,
"Combat core 2, increase 1% attack power",-1,7,47,0,1,,0,"13,1,5;15,1,5;11,1,20",,,,,
"Combat core 3, increase 1% attack power",-1,7,48,0,1,,0,"13,1,5;15,1,5;11,1,20",,,,,
"Combat core 4, +1% attack",-1,7,49,0,1,,0,"13,1,5;15,1,5;11,1,20",,,,,
"Combat core 5, +1% attack",-1,7,50,0,1,,0,"13,1,5;15,1,5;11,1,20",,,,,
"Combat core 6, increase 1% attack power",-1,7,51,0,1,,0,"13,1,5;15,1,5;11,1,20",,,,,
"Combat core 6, increase 1% attack power",-1,7,52,0,1,,0,"13,1,5;15,1,5;11,1,20",,,,,
"Combat core 6, increase 1% attack power",-1,7,53,0,1,,0,"13,1,5;15,1,5;11,1,20",,,,,
"Combat core 6, increase 1% attack power",-1,7,54,0,1,,0,"13,1,5;15,1,5;11,1,20",,,,,
Critical hit chance +5% in battle,-1,7,55,0,1,,0,"19,1,50",,,,,
Critical hit chance +10% in battle,-1,7,56,0,1,,0,"19,1,100",,,,,
Critical hit chance +15% in battle,-1,7,57,0,1,,0,"19,1,150",,,,,
War reduces damage by 50%,0,1,58,0,1,"1500,1",0,,,,,,
"War tramples, dizziness 2s",2000,8,59,0,1,,1,,buff-icon-59,,,,
Extra gain probability +1%,-1,7,60,0,10,,0,"40,1,10",,,,,
Extra gain probability +1%,-1,7,61,0,10,,0,"40,1,10",,,,,
Extra gain probability +1%,-1,7,62,0,10,,0,"40,1,10",,,,,
Extra gain probability +1%,-1,7,63,0,10,,0,"40,1,10",,,,,
Extra gain probability +1%,-1,7,64,0,10,,0,"40,1,10",,,,,
Extra gain probability +1%,-1,7,65,0,10,,0,"40,1,10",,,,,
Extra gain probability +1%,-1,7,66,0,10,,0,"40,1,10",,,,,
Extra gain probability +1%,-1,7,67,0,10,,0,"40,1,10",,,,,
Extra gain probability +1%,-1,7,68,0,10,,0,"40,1,10",,,,,
Increase level for crop level,-1,7,69,0,1,,0,"42,1,1",,,,,
Increase level for crop level,-1,7,70,0,1,,0,"42,1,1",,,,,
Increase level for crop level,-1,7,71,0,1,,0,"42,1,1",,,,,
Speed up hoeing by 10%,-1,7,72,0,1,,0,"37,1,100",,,,,
Speed up hoeing by 20%,-1,7,73,0,1,,0,"37,1,100",,,,,
Speed up hoeing by 30%,-1,7,74,0,1,,0,"37,1,100",,,,,
Watering increases moisture retention by 5%,-1,7,75,0,1,,0,"39,1,50",,,,,
Watering increases moisture retention by 10%,-1,7,76,0,1,,0,"39,1,100",,,,,
Watering increases moisture retention by 15%,-1,7,77,0,1,,0,"39,1,150",,,,,
Double resource collection probability +1%,-1,7,78,0,10,,0,"27,1,10;34,1,10",,,,,
Double resource collection probability +1%,-1,7,79,0,10,,0,"27,1,10;34,1,10",,,,,
Double resource collection probability +1%,-1,7,80,0,10,,0,"27,1,10;34,1,10",,,,,
Double resource collection probability +1%,-1,7,81,0,10,,0,"27,1,10;34,1,10",,,,,
Double resource collection probability +1%,-1,7,82,0,10,,0,"27,1,10;34,1,10",,,,,
Double resource collection probability +1%,-1,7,83,0,10,,0,"27,1,10;34,1,10",,,,,
Double resource collection probability +1%,-1,7,84,0,10,,0,"27,1,10;34,1,10",,,,,
Double resource collection probability +1%,-1,7,85,0,10,,0,"27,1,10;34,1,10",,,,,
Double resource collection probability +1%,-1,7,86,0,10,,0,"27,1,10;34,1,10",,,,,
Increase level to gather higher resources,-1,7,87,0,1,,0,"28,1,1;35,1,1",,,,,
Increase level to gather higher resources,-1,7,88,0,1,,0,"28,1,1;35,1,1",,,,,
Increase level to gather higher resources,-1,7,89,0,1,,0,"28,1,1;35,1,1",,,,,
Speed up axe swing by 10%,-1,7,90,0,1,,0,"23,1,100",,,,,
Speed up axe swing by 20%,-1,7,91,0,1,,0,"23,1,200",,,,,
Speed up axe swing by 30%,-1,7,92,0,1,,0,"23,1,300",,,,,
Crit chance for chopping trees +5%,-1,7,93,0,1,,0,"24,1,50",,,,,
10% increase in tree-cutting critical hit rate,-1,7,94,0,1,,0,"24,1,100",,,,,
15% increase in tree-cutting critical hit rate,-1,7,95,0,1,,0,"24,1,150",,,,,
Probability of obtaining seeds increases by 5%,-1,7,96,0,1,,0,"41,1,50",,,,,
Probability of obtaining seeds increases by 10%,-1,7,97,0,1,,0,"41,1,100",,,,,
Probability of obtaining seeds increases by 15%,-1,7,98,0,1,,0,"41,1,150",,,,,
Extra home speed +10%,-1,7,99,0,1,,0,"8,1,100",,,,,
Extra home speed +20%,-1,7,100,0,1,,0,"8,1,200",,,,,
Extra home speed +30%,-1,7,101,0,1,,0,"8,1,300",,,,,
Increase crit damage to monsters by 10%,-1,7,102,0,1,,0,"20,1,100",,,,,
Increase crit damage to monsters by 20%,-1,7,103,0,1,,0,"20,1,200",,,,,
Increase crit damage to monsters by 30%,-1,7,104,0,1,,0,"20,1,300",,,,,
1% increased damage taken in battle,5000,7,105,0,5,,1,"18,1,10",buff-icon-105,,,,
2% increased damage taken in combat,5000,7,106,0,5,,1,"18,1,20",buff-icon-106,,,,
3% increased damage taken in combat,5000,7,107,0,5,,1,"18,1,30",buff-icon-107,,,,
Sprint skill pre-roll displacement,200,2,108,0,,"500,0,1",0,,,,,,
Sprint skill knockback distance,200,3,109,0,1,250,0,,,,,,
Sprint skill 1 damage,0,1,110,0,,"500,1",0,,,,,,
Sprint skill 2 damage,0,1,111,0,,"1000,1",0,,,,,,
Sprint skill 3 damage,0,1,112,0,,"1500,1",0,,,,,,
Sprint skill 1,300,10,113,0,,"110,109,445",0,,,100,,,
Sprint skill 2,300,10,114,0,,"109,111,445",0,,,100,,,
Sprint skill 3,300,10,115,0,,"109,112,445",0,,,100,,,
"No damage, more damage Lv 1",-1,14,116,0,1,20000,1,"21,1,100",buff-icon-116,,,,
"No damage, more damage Lv 2",-1,14,117,0,1,10000,1,"21,1,100",buff-icon-117,,,,
"No damage, more damage Lv 3",-1,14,118,0,1,5000,1,"21,1,100",buff-icon-118,,,,
Increase speed by 10%,-1,7,119,0,1,,0,"7,2,100",,,,,
Increase speed by 20%,-1,7,120,0,1,,0,"7,2,200",,,,,
Increase speed by 30%,-1,7,121,0,1,,0,"7,2,300",,,,,
Evasion increased by 2%,-1,7,122,0,1,,0,"17,4,20",,,,,
Evasion increased by 4%,-1,7,123,0,1,,0,"17,4,40",,,,,
Evasion increased by 6%,-1,7,124,0,1,,0,"17,4,60",,,,,
Blood Rage Lv 1,-1,13,125,0,1,,1,"21,1,1",buff-icon-125,,,,
Blood rage Lv 2,-1,13,126,0,1,,1,"21,1,3",buff-icon-126,,,,
Blood Rage Lv 3,-1,13,127,0,1,,1,"21,1,5",buff-icon-127,,,,
Bleeding Lv 1,5500,9,128,0,5,10,1,,buff-icon-128,500,,,
Bleeding Lv 2,5500,9,129,0,5,20,1,,buff-icon-129,500,,,
Bleeding Lv 3,5500,9,130,0,5,30,1,,buff-icon-130,500,,,
Attack speed 1,-1,7,131,0,1,,0,"14,1,50",,,,,
Attack speed 2,-1,7,132,0,1,,0,"14,1,100",,,,,
Attack speed 3,-1,7,133,0,1,,0,"14,1,150",,,,,
Extra attack triggered by attack 1,-1,11,134,0,1,,0,"14,15,16,17,18,19,202,203,204;1,50,65",,,,,
Extra attack triggered by attack 2,-1,11,135,0,1,,0,"14,15,16,17,18,19,202,203,204;1,100,65",,,,,
Extra attack triggered by attack 3,-1,11,136,0,1,,0,"14,15,16,17,18,19,202,203,204;1,150,65",,,,,
Sword dance 1,1000,12,137,0,1,,0,"1,10;227,385",,200,,,
Sword dance damage,0,1,138,0,,"750,1",0,,,,,,
Sword dance 2,1000,12,139,0,1,,0,"1,10;227,385",,150,,,
Sword dance 3,2000,12,140,0,1,,0,"1,10;227,385",,250,,,Skill_Saiyan
Axe speeds up 1,-1,7,141,0,1,,0,"23,1,100",,,,,
Axe speeds up 2,-1,7,142,0,1,,0,"23,1,200",,,,,
