col-int,desc-string,gainsArgs-string,gainsType-int[],icon-string,id-int,isTrunk-bool,layer-int,lvLimit-int,name-string,preNode-int[],resetCost-int,type-int,upgradeEXP-int[],upgradeRequireTreeLv-int,upgradeToken-int[]
0,"Combat ATK + 5
Combat DEF + 5
Combat MaxHP + 20
MaxEnergy + 10
Unlock Energy Recipes","51,1259,10000","1,2,3",talentTree-1,1,1,1,1,Combat Mastery 1,0,0,2,450,0,0
0,"Combat ATK + 5
Combat DEF + 5
Combat MaxHP + 20
MaxEnergy + 10
Unlock Energy Recipes","52,1260,10000","1,2,3",talentTree-2,2,1,2,1,Combat Mastery 2,1,0,2,900,1,0
0,"Combat ATK + 5
Combat DEF + 5
Combat MaxHP + 20
MaxEnergy + 10
Unlock Energy Recipes","53,1261,10000","1,2,3",talentTree-3,3,1,3,1,Combat Mastery 3,2,20000,2,1800,2,1000
0,"Combat ATK + 5
Combat DEF + 5
Combat MaxHP + 20
MaxEnergy + 10
Unlock Energy Recipes","54,1262,10000","1,2,3",talentTree-4,4,1,4,1,Combat Mastery 4,3,40000,2,3600,3,5000
0,"Combat ATK + 5
Combat DEF + 5
Combat MaxHP + 20
MaxEnergy + 10
Unlock Energy Recipes","55,1263,10000","1,2,3",talentTree-5,5,1,5,1,Combat Mastery 5,4,60000,2,7200,4,10000
0,"Combat ATK + 5
Combat DEF + 5
Combat MaxHP + 20
MaxEnergy + 10
Unlock Energy Recipes","56,1264,10000","1,2,3",talentTree-6,6,1,6,1,Combat Mastery 6,5,80000,2,14400,5,16000
0,"Combat ATK + 5
Combat DEF + 5
Combat MaxHP + 20
MaxEnergy + 10
Unlock Energy Recipes","57,1265,10000","1,2,3",talentTree-7,7,1,7,1,Combat Mastery 7,6,100000,2,28800,6,23000
0,"Combat ATK + 5
Combat DEF + 5
Combat MaxHP + 20
MaxEnergy + 10
Unlock Energy Recipes","58,1266,10000","1,2,3",talentTree-8,8,1,8,1,Combat Mastery 8,7,120000,2,57600,7,31000
0,"Combat ATK + 5
Combat DEF + 5
Combat MaxHP + 20
MaxEnergy + 10
Unlock Energy Recipes","59,1267,10000","1,2,3",talentTree-9,9,1,9,1,Combat Mastery 9,8,140000,2,115200,8,40000
-2,Reduce the enemy's movement speed.,630,0,talentTree-10,10,0,2,1,Trampling - Enhance,303,0,2,175,0,0
