assetRes-string,dropId-int,exp-int,grassDef-int,homeAction-int,icon-string,id-int,lv-int,maxActionValue-int,name-string,oreDef-int,progressScore-int,rankScore-int,requiredProficiency-int,tokenTaskLevel-int[],totemScore-int,treeDef-int
2D_caijiziyuan_shumu01_1,27,15,0,6,2D_caijiziyuan_shumu01_1,4,1,750,['Madera ordinaria de nivel 1'],0,2,14,150,"0, 1",1,100
Slice_12,27,15,0,6,Slice_12,5,1,750,['Madera ordinaria de nivel 1'],0,2,14,150,"0, 1",1,100
2D_caijiziyuan_xianrenzhang,28,21.21320344,0,6,2D_caijiziyuan_xianrenzhang,6,2,1500,['Madera de árbol del desierto de nivel 2'],0,4,20,300,2,2,200
2D_caijiziyuan_hongguoshi,34,30,300,5,2D_caijiziyuan_hongguoshi,7,3,2250,Lv 3 Maguey de nivel 3,0,8,28,450,3,3,0
2D_caijiziyuan_shikuai_3,26,15,0,7,2D_caijiziyuan_shikuai_3,8,1,750,['Mineral de nivel 1'],100,2,14,150,"0, 1",1,0
2D_caijiziyuan_heitikuang,30,21.21320344,0,7,2D_caijiziyuan_heitikuang,9,2,1500,['Hierro oscuro de nivel 2'],200,4,20,300,2,2,0
2D_caijiziyuan_hongbaoshi,31,30,0,7,2D_caijiziyuan_hongbaoshi,11,3,2250,Lv 3 Mineral de cristal rojo de nivel 3,300,8,28,450,3,3,0
Slice_11,32,15,100,5,Slice_11,14,1,750,['Fibra vegetal de nivel 1'],0,2,14,150,"0, 1",1,0
2D_caijiziyuan_bingyuanzhiwu,33,21.21320344,200,5,2D_caijiziyuan_bingyuanzhiwu,15,2,1500,['Hongo congelado de nivel 2'],0,4,20,300,2,2,0
2D_caijiziyuan_anheimucai,29,30,0,6,2D_caijiziyuan_anheimucai,16,3,2250,Lv 3 Madera oscura de nivel 3,0,8,28,450,3,3,300
homeresource-19,0,0,100,5,homeresource-19,19,1,750,['Fibra vegetal de nivel 1'],0,2,14,150,999,1,0
homeresource-20,0,0,100,5,homeresource-20,20,1,750,['Fibra vegetal de nivel 1'],0,2,14,150,999,1,0
2D_caijiziyuan_cao3,0,0,100,5,2D_caijiziyuan_cao3,21,1,750,['Fibra vegetal de nivel 1'],0,2,14,150,999,1,0
homeresource-22,0,0,100,5,homeresource-22,22,1,750,,0,2,14,150,999,1,0
homeresource-24,0,0,100,5,homeresource-24,24,1,750,,0,2,14,150,999,1,0
homeresource-25,0,0,100,5,homeresource-25,25,1,750,,0,2,14,150,999,1,0
homeresource-26,0,0,100,5,homeresource-26,26,1,750,,0,2,14,150,999,1,0
homeresource-27,0,0,100,5,homeresource-27,27,1,750,,0,2,14,150,999,1,0
