id-int,name-string,pageIds-int[]
1,Recurso de objeto,
2,Recurso de objeto,
3,Recurso de objeto,
4,Matar monstruo,7
5,Matar monstruo,8
6,Matar monstruo,9
7,Matar monstruo,10
8,Matar monstruo,11
9,Matar monstruo,12
10,Matar monstruo,13
11,Matar monstruo,14
12,Matar monstruo,16
13,Matar monstruo,17
14,Matar monstruo,18
15,Matar monstruo,19
16,Matar monstruo,20
17,Matar monstruo,21
18,Matar monstruo,22
19,Matar monstruo,23
20,Matar monstruo,24
21,Matar monstruo,25
22,Matar monstruo,26
23,Matar monstruo,27
24,Matar monstruo,28
25,Matar monstruo,29
26,Matar monstruo,30
27,Matar monstruo,31
28,Matar monstruo,32
29,Matar monstruo,33
30,Matar monstruo,34
31,Reunir,"35,36"
32,Desafío de mazmorra,411
33,Reunir,"37,38"
34,Desafío de mazmorra,412
35,Reunir,"39,40"
36,Desafío de mazmorra,413
37,Reunir,"41,42"
38,Desafío de mazmorra,414
39,Reunir,"43,44"
40,Desafío de mazmorra,415
41,Reunir,"45,46"
42,Desafío de mazmorra,416
43,Reunir,"47,48"
44,Desafío de mazmorra,427
45,Reunir,"49,50"
46,Desafío de mazmorra,428
47,Reunir,"51,52"
48,Desafío de mazmorra,429
49,Reunir,"53,54,55"
50,Desmontar equipo de granja,430
51,Reunir,"56,57"
52,Desmontar equipo de combate,431
53,Reunir,"58,59"
54,Desmontar equipo de recolección,432
55,Reunir,"60,61"
56,Artesanía,433
57,Reunir,"62,63"
58,Artesanía,434
59,Reunir,"64,65"
60,Artesanía,435
61,Reunir,"66,67"
62,Artesanía,436
63,Reunir,"68,69"
64,Artesanía,437
65,Reunir,"70,71"
66,Artesanía,438
67,Recurso de objeto,72
68,Artesanía,439
69,Reunir,"73,74,72"
70,Artesanía,440
71,Reunir,"75,76"
72,Artesanía,441
73,Reunir,"77,78"
74,Artesanía,442
75,Reunir,"79,80"
76,Artesanía,443
77,Reunir,"81,82"
78,Artesanía,444
79,Reunir,"83,84"
80,Artesanía,445
81,Reunir,"85,86"
82,Artesanía,446
83,Reunir,"87,88"
84,Artesanía,447
85,Reunir,"89,90"
86,Artesanía,448
87,Plantar,384
88,Plantar,385
89,Plantar,386
90,Plantar,387
91,Plantar,388
92,Plantar,389
93,Plantar,390
94,Plantar,391
95,Plantar,392
96,Plantar,393
97,Plantar,394
98,Plantar,395
99,Plantar,396
100,Plantar,397
101,Plantar,398
102,Plantar,399
103,Plantar,400
104,Plantar,401
105,Plantar,402
106,Plantar,403
107,Plantar,404
108,Plantar,405
109,Plantar,406
110,Plantar,407
111,Plantar,408
