canInvest-bool,extraDropPool-int,id-int,isRanking-bool,level-int[],loadingBg-string,maxDifficulty-int,name-string,refreshRatio-int[],reputationRequaireScore-int,respawnTimes-int,rewardFrequency-int,sceneName-string,sceneSubtype-int,sceneType-int,talentType-int,worldDropProbability-int,functionModule-int[],baseScore-int[],bossCovers-int[],challengeMode-int[],chapterBaseReward-int[],chapterEvents-int[][],chapterLuckyReward-int[],chapterProgress-int[],chapterPunish-int[][],chapterTimeLimit-int[],chapters-string[],desc-string,dropRewardShow-int[],punishDesc-string,randomSeeds-string[][],releaseTime-int[][],tickets-int[][],campLimit-int[],bossSeed-string[],chapterIds-int[],seedMaxLimit-int[]
0,0,10001,0,"0,999",HomeSceneLoading.jpg,0,Vacío,"5000,5000,5000,5000,5000,5000,5000,5000,5000,5000",-1,0,0,WorldScene,1,1,0,1850,,,,,,,,,,,,"Vacío
",,"Vacío
",,,,,,,
0,0,10002,0,"0,999",HomeSceneLoading.jpg,0,Vacío,,-1,0,0,HomeScene,1,2,0,10000,3,,,,,,,,,,,"Vacío
",,"Vacío
",,,,,,,
0,0,10003,0,"0,999",HomeSceneLoading.jpg,0,Vacío,,-1,0,0,WorldScene02,1,1,0,10000,,,,,,,,,,,,Vacío,,"Vacío
",,,,,,,
0,160,20000,1,"0,3",DungeonSceneLoading_1_3.jpg,5,Pico de Flores,,100,0,3,DungeonSceneLv1-3,1,3,2,10000,1,"10000,20000,30000","55,0,54",2,"58,59,60","16,17;16,17;16,17","61,62,63","30,60,120","3500,13500;3500,13500;3500,13500","120,190,400","Chapter 1/3,Chapter 2/3,Chapter 3/3","Anidado dentro de la exuberante vegetación de la selva, es como un milagro en la tierra. Sus picos rocosos se asemejan a una fila de afiladas hojas de espada, pero también se asemejan a pétalos.
",185,"Cuando mueres, hay una posibilidad de que se caigan los objetos de tu mochila.
",0;0;0,"0,1440","468,1",,,,
0,40,20001,1,"4,6",DungeonSceneLoading_4_6.jpg,5,Reino Flotante,,160,0,3,DungeonSceneLv4-6,1,3,2,10000,1,"10000,20000,30000","37,39,38",2,"52,53,54","16,17;16,17;16,17","47,48,49","320,640,960","3500,13500;3500,13500;3500,13500","470,500,770","Chapter 1/3,Chapter 2/3,Chapter 3/3","En ese dominio destrozado, una oscura fortaleza se alza con orgullo, sus bordes suspendidos en el vacío, sin ningún soporte físico. Está lleno de una gran cantidad de peligrosos monstruos, cultivando muchos coleccionables raros que nunca antes se han visto.
Equipo ",186,"Cuando mueres, hay una posibilidad de que se caigan los objetos de tu mochila.
",0;0;0,"0,1440","467,1",,,,
0,10,20002,1,"7,9",DungeonSceneLoading_7_9.jpg,5,Dominio Antiguo,,640,0,3,DungeonSCeneLv7-9,1,3,2,10000,1,"10000,20000,30000","61,71,66",2,"82,83,84","16,17;16,17;16,17","85,86,87","2560,5120,10240","3500,13500;3500,13500;3500,13500","470,500,760","Chapter 1/3,Chapter 2/3,Chapter 3/3","Lucha contra criaturas ardientes; pelea en un entorno oscuro y espeluznante, protegiéndote de los ataques de seres del vacío; adéntrate en ruinas antiguas para desenterrar secretos y tesoros ocultos en lo más profundo. Valientes aventureros, ¿están listos para enfrentar este desafío?
",187,"Cuando mueres, hay una posibilidad de que se caigan los objetos de tu mochila.
",0;0;0,"0,1440","658,1",,,,
1,0,21001,0,"1,3",DungeonSceneLoading_7_9.jpg,0,Arena Junior,,-1,0,5,PVPDungeonSceneSoloLv1-3,2,3,2,10000,"1,2","0,10000","55,0,54",2,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging","## Recompensas
- **Derrotar monstruos o recolectar**: Los jugadores recibirán recompensas **Token** invertidas por los tótems.
- **Eliminar a otros jugadores**: Los jugadores pueden reclamar las recompensas **LUASUD** no resueltas de sus oponentes derrotados.
- **Derrotar jefes**: Los jugadores pueden obtener **materiales especiales misteriosos** esenciales para la progresión del juego.
## Resumen de las reglas
- **Estructura de niveles**: La mazmorra consta de **3 niveles caóticos**, cada uno presentando sus propios desafíos.
- **Zonas seguras**: Hay **zonas seguras** dentro de los niveles, que se **encogerán con el tiempo**, obligando a los jugadores a enfrentarse.
- **Tres tipos de puertas**:
  - **Puerta de desafío**: Para los valientes, esta puerta conduce al siguiente nivel de aventura.
  - **Puerta de escape**: Salir de la mazmorra y renunciar a cualquier recompensa **Token** no resuelta.
  - **Puerta de asentamiento**: Establecerse y recolectar recompensas **Token** en una cierta proporción.
",,"Cuando mueres, hay una posibilidad de que se caigan los objetos de tu mochila.
",0;0,"0,0","659,1","8,24",,,
1,0,21002,0,"4,6",PVPDungeonSceneLoading_4_6.jpg,0,Arena Intermedia,,-1,0,5,PVPDungeonSceneSoloLv4-6,2,3,2,10000,"1,2","0,10000","37,39,38",2,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging","## Recompensas
- **Derrotar monstruos o recolectar**: Los jugadores recibirán recompensas **Token** invertidas por los tótems.
- **Eliminar a otros jugadores**: Los jugadores pueden reclamar las recompensas **LUASUD** no resueltas de sus oponentes derrotados.
- **Derrotar jefes**: Los jugadores pueden obtener **materiales especiales misteriosos** esenciales para la progresión del juego.
## Resumen de las reglas
- **Estructura de niveles**: La mazmorra consta de **3 niveles caóticos**, cada uno presentando sus propios desafíos.
- **Zonas seguras**: Hay **zonas seguras** dentro de los niveles, que se **encogerán con el tiempo**, obligando a los jugadores a enfrentarse.
- **Tres tipos de puertas**:
  - **Puerta de desafío**: Para los valientes, esta puerta conduce al siguiente nivel de aventura.
  - **Puerta de escape**: Salir de la mazmorra y renunciar a cualquier recompensa **Token** no resuelta.
  - **Puerta de asentamiento**: Establecerse y recolectar recompensas **Token** en una cierta proporción.
",,"Cuando mueres, hay una posibilidad de que se caigan los objetos de tu mochila.
",0;0,"0,0","660,1","8,24",,,
1,0,21003,0,"7,9",PVPDungeonSceneLoading_4_6.jpg,0,Arena Avanzada,,-1,0,5,PVPDungeonSceneSoloLv7-9,2,3,2,10000,"1,2","0,10000","61,71,66",2,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging","## Recompensas
- **Derrotar monstruos o recolectar**: Los jugadores recibirán recompensas **Token** invertidas por los tótems.
- **Eliminar a otros jugadores**: Los jugadores pueden reclamar las recompensas **LUASUD** no resueltas de sus oponentes derrotados.
- **Derrotar jefes**: Los jugadores pueden obtener **materiales especiales misteriosos** esenciales para la progresión del juego.
## Resumen de las reglas
- **Estructura de niveles**: La mazmorra consta de **3 niveles caóticos**, cada uno presentando sus propios desafíos.
- **Zonas seguras**: Hay **zonas seguras** dentro de los niveles, que se **encogerán con el tiempo**, obligando a los jugadores a enfrentarse.
- **Tres tipos de puertas**:
  - **Puerta de desafío**: Para los valientes, esta puerta conduce al siguiente nivel de aventura.
  - **Puerta de escape**: Salir de la mazmorra y renunciar a cualquier recompensa **Token** no resuelta.
  - **Puerta de asentamiento**: Establecerse y recolectar recompensas **Token** en una cierta proporción.
",,"Cuando mueres, hay una posibilidad de que se caigan los objetos de tu mochila.
",0;0,"0,0","661,1","8,24",,,
1,0,22001,0,"1,3",DungeonSceneLoading_7_9.jpg,0,Arena Individual Junior,,-1,0,5,PVPDungeonSceneSoloLv1-3,2,3,2,10000,"1,2","0,10000","55,0,54",1,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging","## Recompensas
- **Derrotar monstruos o recolectar**: Los jugadores recibirán recompensas **Token** invertidas por los tótems.
- **Eliminar a otros jugadores**: Los jugadores pueden reclamar las recompensas **LUASUD** no resueltas de sus oponentes derrotados.
- **Derrotar jefes**: Los jugadores pueden obtener **materiales especiales misteriosos** esenciales para la progresión del juego.
## Resumen de las reglas
- **Estructura de niveles**: La mazmorra consta de **3 niveles caóticos**, cada uno presentando sus propios desafíos.
- **Zonas seguras**: Hay **zonas seguras** dentro de los niveles, que se **encogerán con el tiempo**, obligando a los jugadores a enfrentarse.
- **Tres tipos de puertas**:
  - **Puerta de desafío**: Para los valientes, esta puerta conduce al siguiente nivel de aventura.
  - **Puerta de escape**: Salir de la mazmorra y renunciar a cualquier recompensa **Token** no resuelta.
  - **Puerta de asentamiento**: Establecerse y recolectar recompensas **Token** en una cierta proporción.
",,"Cuando mueres, hay una posibilidad de que se caigan los objetos de tu mochila.
",0;0,"0,0","659,1","3,24",,,
1,0,22002,0,"4,6",PVPDungeonSceneLoading_4_6.jpg,0,Arena Individual Intermedia,,-1,0,5,PVPDungeonSceneSoloLv4-6,2,3,2,10000,"1,2","0,10000","37,39,38",1,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging","## Recompensas
- **Derrotar monstruos o recolectar**: Los jugadores recibirán recompensas **Token** invertidas por los tótems.
- **Eliminar a otros jugadores**: Los jugadores pueden reclamar las recompensas **LUASUD** no resueltas de sus oponentes derrotados.
- **Derrotar jefes**: Los jugadores pueden obtener **materiales especiales misteriosos** esenciales para la progresión del juego.
## Resumen de las reglas
- **Estructura de niveles**: La mazmorra consta de **3 niveles caóticos**, cada uno presentando sus propios desafíos.
- **Zonas seguras**: Hay **zonas seguras** dentro de los niveles, que se **encogerán con el tiempo**, obligando a los jugadores a enfrentarse.
- **Tres tipos de puertas**:
  - **Puerta de desafío**: Para los valientes, esta puerta conduce al siguiente nivel de aventura.
  - **Puerta de escape**: Salir de la mazmorra y renunciar a cualquier recompensa **Token** no resuelta.
  - **Puerta de asentamiento**: Establecerse y recolectar recompensas **Token** en una cierta proporción.
",,"Cuando mueres, hay una posibilidad de que se caigan los objetos de tu mochila.
",0;0,"0,0","660,1","3,24",,,
1,0,22003,0,"7,9",PVPDungeonSceneLoading_4_6.jpg,0,Arena Individual Avanzada,,-1,0,5,PVPDungeonSceneSoloLv7-9,2,3,2,10000,"1,2","0,10000","61,71,66",1,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging","## Recompensas
- **Derrotar monstruos o recolectar**: Los jugadores recibirán recompensas **Token** invertidas por los tótems.
- **Eliminar a otros jugadores**: Los jugadores pueden reclamar las recompensas **LUASUD** no resueltas de sus oponentes derrotados.
- **Derrotar jefes**: Los jugadores pueden obtener **materiales especiales misteriosos** esenciales para la progresión del juego.
## Resumen de las reglas
- **Estructura de niveles**: La mazmorra consta de **3 niveles caóticos**, cada uno presentando sus propios desafíos.
- **Zonas seguras**: Hay **zonas seguras** dentro de los niveles, que se **encogerán con el tiempo**, obligando a los jugadores a enfrentarse.
- **Tres tipos de puertas**:
  - **Puerta de desafío**: Para los valientes, esta puerta conduce al siguiente nivel de aventura.
  - **Puerta de escape**: Salir de la mazmorra y renunciar a cualquier recompensa **Token** no resuelta.
  - **Puerta de asentamiento**: Establecerse y recolectar recompensas **Token** en una cierta proporción.",,"Cuando mueres, hay una posibilidad de que se caigan los objetos de tu mochila.",0;0,"0,0","661,1","3,24",,,
0,0,23001,0,"1,3",DungeonSceneLoading_7_9.jpg,0,Junior Arena - Mini ,,-1,0,0,PVPDungeonSceneSoloLv1-3,2,3,2,10000,"1,2","0,10000","55,0,54",2,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging"," Recompensas
- Derrotar Monstruos o Recolectar: Los jugadores recibirán recompensas de Token invertidas por tótems.
- Eliminar a Otros Jugadores: Los jugadores pueden reclamar las recompensas LUASUD no resueltas de sus oponentes derrotados.
- Derrotar Jefes: Los jugadores pueden obtener materiales especiales misteriosos esenciales para la progresión del juego.
Resumen de Reglas
- Estructura de Niveles: La mazmorra consta de 3 niveles caóticos, cada uno presentando su propio conjunto de desafíos.
- Zonas Seguras: Hay zonas seguras dentro de los niveles, que se reducirán con el tiempo, obligando a los jugadores a confrontarse.
- Tres Tipos de Puertas:
  - Puerta de Desafío: Para los valientes, esta puerta conduce al siguiente nivel de aventura.
  - Puerta de Escape: Salir de la mazmorra y renunciar a cualquier recompensa de Token no resuelta.
  - Puerta de Asentamiento: Establecer y recoger recompensas de Token a cierta proporción.",,"Cuando mueres, hay una posibilidad de que se caigan los objetos de tu mochila.",0;0,"1200,1320;720,840","934,1","5,24",,,
0,0,23002,0,"4,6",PVPDungeonSceneLoading_4_6.jpg,0, Arena Intermedia - Mini ,,-1,0,0,PVPDungeonSceneSoloLv4-6,2,3,2,10000,"1,2","0,10000","37,39,38",2,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging"," Recompensas
- Derrotar Monstruos o Recolectar: Los jugadores recibirán recompensas de Token invertidas por tótems.
- Eliminar a Otros Jugadores: Los jugadores pueden reclamar las recompensas LUASUD no resueltas de sus oponentes derrotados.
- Derrotar Jefes: Los jugadores pueden obtener materiales especiales misteriosos esenciales para la progresión del juego.
Resumen de Reglas
- Estructura de Niveles: La mazmorra consta de 3 niveles caóticos, cada uno presentando su propio conjunto de desafíos.
- Zonas Seguras: Hay zonas seguras dentro de los niveles, que se reducirán con el tiempo, obligando a los jugadores a confrontarse.
- Tres Tipos de Puertas:
  - Puerta de Desafío: Para los valientes, esta puerta conduce al siguiente nivel de aventura.
  - Puerta de Escape: Salir de la mazmorra y renunciar a cualquier recompensa de Token no resuelta.
  - Puerta de Asentamiento: Establecer y recoger recompensas de Token a cierta proporción.",,"Cuando mueres, hay una posibilidad de que se caigan los objetos de tu mochila.",0;0,"1200,1320;720,840","935,1","5,24",,,
0,0,23003,0,"7,9",PVPDungeonSceneLoading_4_6.jpg,0, Arena Avanzada - Mini,,-1,0,0,PVPDungeonSceneSoloLv7-9,2,3,2,10000,"1,2","0,10000","61,71,66",2,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging"," Recompensas
- Derrotar Monstruos o Recolectar: Los jugadores recibirán recompensas de Token invertidas por tótems.
- Eliminar a Otros Jugadores: Los jugadores pueden reclamar las recompensas LUASUD no resueltas de sus oponentes derrotados.
- Derrotar Jefes: Los jugadores pueden obtener materiales especiales misteriosos esenciales para la progresión del juego.
Resumen de Reglas
- Estructura de Niveles: La mazmorra consta de 3 niveles caóticos, cada uno presentando su propio conjunto de desafíos.
- Zonas Seguras: Hay zonas seguras dentro de los niveles, que se reducirán con el tiempo, obligando a los jugadores a confrontarse.
- Tres Tipos de Puertas:
  - Puerta de Desafío: Para los valientes, esta puerta conduce al siguiente nivel de aventura.
  - Puerta de Escape: Salir de la mazmorra y renunciar a cualquier recompensa de Token no resuelta.
  - Puerta de Asentamiento: Establecer y recoger recompensas de Token a cierta proporción.",,"Cuando mueres, hay una posibilidad de que se caigan los objetos de tu mochila.",0;0,"1200,1320;720,840","936,1","5,24",,,
0,0,30001,0,"1,9",DungeonSceneLoading_1_3.jpg,5,Desafío diario,,-1,0,1,DailyDungeon,1,3,2,0,1,"10000,20000,30000,40000,50000,60000,70000,80000,90000","6,7,8",1,"102,103,104,105,106,107,108,109,110",;;;;;;;;,",,,,,,,,","6,12,24,48,96,192,384,768,1536","0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0","120,90,90,90,90,90,90,90,90","Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Level 9",Desafío diario,,Sin pena de muerte,0;0;0;0;0;0;0;0;0,"0,1440","733,1",,,,
0,0,30002,0,"1,9",PVPDungeonSceneLoading_4_6.jpg,0,Campo de entrenamiento,,-1,0,1,PVPTrainingDungeon,2,3,2,1850,"1,2","0,10000","55,0,54",1,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging","Campo de entrenamiento PVEP - Admite batallas de 12 a 24 jugadores, la muerte no tendrá ninguna caída, tickets de misiones diarias.",,Sin pena de muerte,0;0,"0,1440","733,1","8,24",,,
0,160,40001,1,"0,3",HomeSceneLoading.jpg,5, Desafío de recolección junior,,100,0,3,GatherDungeon1-3,1,3,3,10000,1,"10000,20000,30000","123,122,121",2,"159,160,161","22,18,19;18,19;18,19","178,179,180","28,56,112","0,0;0,0;0,0","120,190,400","Gather Challenge Chapter 1/3,Gather Challenge Chapter 2/3,Gather Challenge Chapter 3/3"," Los desafiantes que completen el desafío tendrán la oportunidad de recibir una recompensa en forma de medalla.
En el Desafío de Recolección, la defensa de los Recursos se incrementará. Como correspondencia, los jugadores recibirán un beneficio que convierte la competencia en recolección en ataque de recolección.
",188,Sin pena de muerte,0;0;0,"0,1440","775,1",,,,
