actions-int[],conditionType-int,conditions-int[],desc-string,id-int,name-string,type-int
1,1,2,怪物防御值增强了,1,Fortaleza,1
2,1,2,怪物攻击力增强了,2, Ira,1
3,1,2,玩家防御值削弱了,3, Maldición,1
4,1,2,玩家攻击力削弱了,4, Debilidad,1
5,1,2,怪物最大血量增加了,5, Sacrificio de sangre,1
6,1,2,怪物防御值削弱了,6, Ruptura de armadura,1
7,1,2,怪物攻击力削弱了,7, Atenuación,1
8,1,2,玩家防御值增强了,8, Protección,1
9,1,2,玩家攻击力增强了,9, Inspirador,1
10,1,2,怪物最大血量减少了,10, Apoyo,1
6,2,"17,18,19,20,21",怪物防御值削弱了,11, Ruptura de armadura,2
7,2,"17,18,19,20,21",怪物攻击力削弱了,12, Atenuación,2
8,2,"17,18,19,20,21",玩家防御值增强了,13, Protección,2
9,2,"17,18,19,20,21",玩家攻击力增强了,14, Inspirador,2
10,2,"17,18,19,20,21",怪物最大血量减少了,15, Apoyo,2
11,1,1,减益,16, Evento Aleatorio de Combate,1
12,1,3,增益,17, Evento Aleatorio de Combate,1
13,1,1,减益,18, Evento Aleatorio de Recolecta,1
14,1,3,增益,19, Evento Aleatorio de Recolecta,1
15,1,5,减益,20, Evento Aleatorio Agrícola,1
16,1,7,增益,21, Evento Aleatorio Agrícola,1
"37,38",1,8,变化,22, Evento Básico de Recolecta,1
39,2,"5,6",种田副本削减成长时间,23, Crecimiento acelerado,1
