desc-string,id-int,parameters_1-int[],parameters_2-int[][],type-int
La defensa del monstruo ha sido mejorada.,1,2,650,2
 El poder de ataque del monstruo ha sido mejorado.,2,2,651,2
 La defensa del jugador ha sido debilitada.,3,1,652,2
 El poder de ataque del jugador ha sido debilitado.,4,1,653,2
 La HP máxima del monstruo ha aumentado.,5,2,654,2
 La defensa del monstruo ha sido debilitada.,6,2,655,2
 El poder de ataque del monstruo ha sido debilitado.,7,2,656,2
 La defensa del jugador ha sido mejorada.,8,1,657,2
 El poder de ataque del jugador ha sido mejorado.,9,1,658,2
 La HP máxima del monstruo ha disminuido.,10,2,659,2
 Se ha activado un evento de debuff aleatorio en combate.,11,,"10000,1;10000,2;10000,3;10000,4;10000,5",1
 Se ha activado un evento de buff aleatorio en combate.,12,,"10000,6;10000,7;10000,8;10000,9;10000,10",1
 Se ha activado un evento de debuff aleatorio durante la recolección.,13,,"10000,17;10000,18;10000,19;10000,20",1
 Se ha activado un evento de buff aleatorio durante la recolección.,14,,"10000,21;10000,18;10000,23;10000,24",1
 Se ha activado un evento de debuff aleatorio en la agricultura.,15,,"10000,25;10000,26;10000,28;10000,29;10000,30",1
 Se ha activado un evento de buff aleatorio en la agricultura.,16,,"10000,31;10000,32;10000,34;10000,35;10000,36",1
 La defensa del objeto de recolección ha sido mejorada.,17,5,"60,1,150,60,4;61,1,150,61,4;62,1,150,62,4",3
 El valor máximo de progreso del objeto de recolección ha sido mejorado.,18,5,"76,1,100,76,4",3
 El poder de ataque de recolección del jugador ha sido debilitado.,19,1,660,2
 La velocidad de movimiento del jugador se ha reducido.,20,1,661,2
 La defensa del objeto de recolección ha sido debilitada.,21,5,"60,1,-150,60,4;61,1,-150,61,4;62,1,-150,62,4",3
 El valor máximo de progreso del objeto de recolección ha sido debilitado.,22,5,"76,1,-100,76,4",3
 El poder de ataque de recolección del jugador ha sido mejorado.,23,1,662,2
 La velocidad de movimiento del jugador ha aumentado.,24,1,663,2
 El requisito de agua para los cultivos ha aumentado.,25,8,"71,1,100,71,4",3
El requisito de competencia para los cultivos ha aumentado.,26,8,"73,1,25,73,4",3
 Los cultivos han vuelto a la etapa de crecimiento anterior.,27,,"1,-1",4
 Los cultivos necesitan ser regados nuevamente.,28,,"2,0",4
 La velocidad de riego del jugador se ha reducido.,29,1,664,2
 La competencia de siembra del jugador se ha debilitado.,30,1,665,2
 El requisito de agua para los cultivos ha disminuido.,31,8,"71,1,-100,71,4",3
 El requisito de competencia para los cultivos ha disminuido.,32,8,"73,1,-25,73,4",3
 Los cultivos han entrado en la siguiente etapa de crecimiento.,33,,"1,1",4
 Todos los cultivos han sido regados.,34,,"2,1",4
 La velocidad de riego del jugador ha aumentado.,35,1,666,2
 La competencia de siembra del jugador se ha mejorado.,36,1,667,2
 Recálculo de las estadísticas de recolección del jugador.,37,1,668,2
 Recálculo de las estadísticas del objeto de recolección.,38,5,,3
,39,8,,3
