desc-string,duration-int,effectType-int,id-int,isRepeat-bool,maxLayer-int,parameters-int[],showBuffIcon-bool,buffIcon-string,parameters2-int[][],effectInterval-int,effectFlag-int[],effectImmuneFlag-int[],entityEffect-string
Daño base (coeficiente milésimo),0,1,1,0,1,"1000,1,2",0,,,,,,
 Desplazamiento frontal (cm),500,2,2,0,1,"100,0,1",0,,,,,,
 Desplazamiento (cm) para repulsión,500,3,3,0,1,100,0,,,,,,
 Invencible,1000,4,4,0,1,,0,,,,,,
 Físico dominante,1000,5,5,0,10,,0,buff-icon-5,,,,,
" Búsqueda de desplazamiento (distancia mínima, máxima en cm)",100,6,6,0,1,"50,150,0,1,1",0,,,,,,
" Modificación de atributos (ID de atributo, tipo de modificación, valor de modificación)",,7,7,0,1,,0,,"11,1,100;13,1,10",,,,
 Efecto básico de mareo,,8,8,0,1,,1,buff-icon-8,,,,,
 Daño continuo (coeficiente milésimo),500,9,9,0,5,"100,1",0,,,500,,,
 Disparador de colisión (lista de bolas de efecto),500,10,10,0,1,"15,17",0,,,,,,
" Liberación rápida de habilidades (lista de ID de habilidades, tipo de disparador, probabilidad de liberación, ID de habilidad)",0,11,11,0,1,,0,,"14,15,16;1,500,65",,,,
" Agregar bolas de efecto (tipo de objetivo, límite de objetivo; lista de bolas de efecto) dentro del rango.",,12,12,0,1,,0,,"1,1;15,730",500,,,
" Efecto de ira sanguínea (ID de atributo, tipo de cambio, valor de ganancia por pérdida de 1% de HP)",,13,13,0,1,,0,,"11,1,100;13,1,10",,,,
" Aumentar el valor del atributo después de un período de tiempo sin recibir daño (duración en ms) (ID de atributo, tipo de cambio, valor de ganancia por pérdida de 1% de salud)",-1,14,14,0,1,3000,0,,"11,1,100;13,1,10",,,,
 Daño base,0,1,15,0,1,"1000,1,2",0,,,,,,
 Distancia de desplazamiento previo al lanzamiento del protagonista,200,2,16,0,1,"90,0,1",0,,,,,,
 Efecto de distancia de empuje universal,200,3,17,0,1,90,0,,,,,,
 Movimiento de rodadura del jugador,250,2,18,0,1,"350,0,1",0,,,,,,
 Invencibilidad al rodar del jugador,500,4,19,0,1,,0,,,,,,
 Distancia de desplazamiento previo al ataque 3 del protagonista.,200,2,20,0,1,"110,0,1",0,,,,,,
 Efecto de distancia de empuje básico del tercer ataque,275,3,21,0,1,100,0,,,,,,
 Armadura hiper de 1 segundo,1000,5,22,1,10,,0,buff-icon-22,,,,,
 Prueba de mareo,3000,8,23,0,1,,1,buff-icon-23,,,,,
 El perro enlatado tiene una fuerte capacidad de combate cuerpo a cuerpo,730,5,24,0,10,,0,buff-icon-24,,,,,
" Hombre calabaza, tanque cuerpo a cuerpo",1300,5,25,0,10,,0,buff-icon-25,,,,,
" Soldado de fruta dragón, dominación cuerpo a cuerpo",1100,5,26,0,10,,0,buff-icon-26,,,,,
" Persona árbol, tanque cuerpo a cuerpo",1000,5,27,0,10,,0,buff-icon-27,,,,,
" Rey lobo, tanque cuerpo a cuerpo",2000,5,28,0,10,,0,buff-icon-28,,,,,
" Rey lobo, empuje cuerpo a cuerpo",1000,3,29,0,1,100,0,,,,,,
 Habilidad del Rey lobo: desplazamiento,1000,2,30,0,1,"1200,0,1",0,,,,,,
 Efecto de desplazamiento de detección,150,6,31,0,1,"80,200,0,1,1",0,,,,,,
" Ataque +100, límite de HP +100, tasa de crítico +50%",-1,7,32,0,1,,0,,"13,1,100;11,1,100;19,1,500",,,,
" Ataque +50%, Max HP +50%",-1,7,33,0,1,,0,,"13,2,500;11,2,500",,1,2,
" Max HP +100, Ataque +10%",10000,7,34,0,10,,0,,"11,1,100;13,2,100",,,,
 Mareo por 3 segundos,3000,8,35,0,1,,1,buff-icon-35,,,,,
 Buff sangriento,5000,9,36,0,5,"100,1",0,,,500,,,
 Lesión por colisión,1500,1,37,0,1,"1500,1,2",0,,,100,,,
" Buff de ira sanguínea, pérdida de 1% de HP = bonificación de 1 de daño",-1,13,38,0,1,,0,,"21,1,10",,,,
" 3s sin daño, buff de daño +10%",-1,14,39,0,1,,0,,"21,1,100",,,,
 Empuje por colisión,300,3,40,0,1,500,0,,,,,,
 Daño y empuje por colisión,400,10,41,0,1,"37,40",0,,,,,,
 Desplazamiento de sprint,300,2,42,0,1,"400,0,1",0,,,,,,
 Ataque a mano desnuda desencadena ataque de espada,-1,11,43,0,1,,0,,"14,15,16;1,500,65",,,,
 Daño aleatorio a un solo objetivo dentro del rango,5000,12,44,0,1,,0,,"1,1;15,730",500,,,
 Daño grupal en alcance,5000,12,45,0,1,,0,,"1,20;15,730",500,,,
" Núcleo de combate 1, aumenta 1% de poder de ataque",-1,7,46,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
