col-int,desc-string,gainsArgs-string,gainsType-int[],icon-string,id-int,isTrunk-bool,layer-int,lvLimit-int,name-string,type-int,upgradeEXP-int[],upgradeRequireTreeLv-int,preNode-int[],resetCost-int,upgradeToken-int[]
0,"ATK de Combate + 5
DEF de Combate + 5
MaxHP de Combate + 20
MaxEnergy + 10
Desbloquear Recetas de Energía","51,588#1199,10000","1,2,3",talentTree-1,1,1,1,1, Maestría en Combate 1 ,2,450,0,,0,0
0,"ATK de Combate + 5
DEF de Combate + 5
MaxHP de Combate + 20
MaxEnergy + 10
Desbloquear Recetas de Energía","52,585#1194,10000","1,2,3",talentTree-2,2,1,2,1, Maestría en Combate 2 ,2,900,1,1,0,0
0,"ATK de Combate + 5
DEF de Combate + 5
MaxHP de Combate + 20
MaxEnergy + 10
Desbloquear Recetas de Energía","53,592#1192,10000","1,2,3",talentTree-3,3,1,3,1, Maestría en Combate 3 ,2,1800,2,2,5,500
0,"Combate ATK +5
Combate DEF +5
Combate MaxHP +20
MaxEnergy +10
Desbloquear recetas de energía","54,590#1197,10000","1,2,3",talentTree-4,4,1,4,1, Maestría en Combate 4 ,2,3600,3,3,10,2500
0,"Combate Atq + 5
Combate DEF + 5
Combate HP Máx + 20
Energía Máx + 10
Desbloquear Recetas de Energía","55,589#1196,10000","1,2,3",talentTree-5,5,1,5,1, Maestría en Combate 5 ,2,7200,4,4,15,5000
0,"Combate ATK + 5
Combate DEF + 5
Combate HP Máx + 20
Energía Máx + 10
Desbloquear Recetas de Energía","56,595#1195,10000","1,2,3",talentTree-6,6,1,6,1, Maestría en Combate 6 ,2,14400,5,5,20,8000
0,"ATK de combate +5
DEF de combate +5
MaxHP de combate +20
MaxEnergy +10
Desbloquear recetas de energía","57,614#1200,10000","1,2,3",talentTree-7,7,1,7,1, Maestría en Combate 7 ,2,28800,6,6,25,11500
0,"ATK de Combate + 5
DEF de Combate + 5
HP Máximo de Combate + 20
Energía Máxima + 10
Desbloquear Recetas de Energía","58,615#1193,10000","1,2,3",talentTree-8,8,1,8,1, Maestría en Combate 8 ,2,57600,7,7,30,15500
0,"ATK de Combate + 5
DEF de Combate + 5
HP Máximo de Combate + 20
Energía Máxima + 10
Desbloquear Recetas de Energía","59,619#1198,10000","1,2,3",talentTree-9,9,1,9,1, Maestría en Combate 9 ,2,115200,8,8,35,20000
-3,"Reduce la velocidad de movimiento del enemigo
",332,1,talentTree-10,10,0,2,1, Pisotear - Mejora ,2,175,0,11,0,0
-3,"Aturdir a los enemigos a tu alrededor
",63,0,talentTree-11,11,0,1,1, Pisotear ,2,95,0,,0,0
0,"Capacidad de Fertilidad + 1
Competencia en Plantación + 4
Capacidad de Felicidad de Mascotas + 1
Competencia en Cría + 4
MaxEnergy + 10
Aptitud Agrícola: Convierte la competencia en agricultura en defensa de combate y límites de salud en proporción a un cierto porcentaje, efectivo al usar herramientas agrícolas
Desbloquear Recetas de Energía","66#531,591#597#1183,10000","1,2,3",talentTree-13,13,1,1,1, Maestría en Agricultura 1 ,1,450,0,,0,0
0,"Capacidad de Fertilidad + 1
Competencia en Plantación + 4
Capacidad de Felicidad de Mascotas + 1
Competencia en Cría + 4
MaxEnergy + 10
Desbloquear Recetas de Energía","67,593#598#1184,10000","1,2,3",talentTree-14,14,1,2,1, Maestría en Agricultura 2 ,1,900,1,13,0,0
0,"Capacidad de Fertilidad + 1
Competencia en Plantación + 4
Capacidad de Felicidad de Mascotas + 1
Competencia en Reproducción + 4
MaxEnergy + 10
Desbloquear Recetas de Energía","68,596#599#1188,10000","1,2,3",talentTree-15,15,1,3,1, Maestría en Agricultura 3 ,1,1800,2,14,5,500
0,"FertilityCapacity +1
PlantingProficiency +4
PetHappinessCapacity +1
BreedingProficiency +4
MaxEnergy +10
Desbloquear recetas de energía","69,594#600#1190,10000","1,2,3",talentTree-16,16,1,4,1, Maestría en Agricultura 4 ,1,3600,3,15,10,2500
0,"Capacidad de Fertilidad + 1
Competencia de Plantación + 4
Capacidad de Felicidad de Mascotas + 1
Competencia de Reproducción + 4
Energía Máx + 10
Desbloquear Recetas de Energía","70,601#587#1185,10000","1,2,3",talentTree-17,17,1,5,1, Maestría en Agricultura 5 ,1,7200,4,16,15,5000
0,"Capacidad de Fertilidad + 1
Competencia de Plantación + 4
Capacidad de Felicidad de Mascotas + 1
Competencia de Reproducción + 4
Energía Máx + 10
Desbloquear Recetas de Energía","71,602#586#1189,10000","1,2,3",talentTree-18,18,1,6,1, Maestría en Agricultura 6 ,1,14400,5,17,20,8000
0,"Capacidad de fertilidad +1
Competencia de plantación +4
Capacidad de felicidad de mascota +1
Competencia de reproducción +4
MaxEnergy +10
Desbloquear recetas de energía","72,620#617#1187,10000","1,2,3",talentTree-19,19,1,7,1, Maestría en Agricultura 7 ,1,28800,6,18,25,11500
0,"Capacidad de Fertilidad + 1
Competencia en Plantación + 4
Capacidad de Felicidad de Mascotas + 1
Competencia en Reproducción + 4
Energía Máxima + 10
Desbloquear Recetas de Energía","73,624#621#1186,10000","1,2,3",talentTree-20,20,1,8,1, Maestría en Agricultura 8 ,1,57600,7,19,30,15500
0,"Capacidad de Fertilidad + 1
Competencia en Plantación + 4
Capacidad de Felicidad de Mascotas + 1
Competencia en Reproducción + 4
Energía Máxima + 10
Desbloquear Recetas de Energía","74,625#616#1191,10000","1,2,3",talentTree-21,21,1,9,1, Maestría en Agricultura 9 ,1,115200,8,20,35,20000
1,"Capacidad de fertilidad + 1.
",228,1,talentTree-22,22,0,1,1, Agricultura - Producción de fertilidad por unidad de tierra ,1,95,0,,0,0
-1,"Riega los campos pequeños a tu alrededor
",99,0,talentTree-23,23,0,2,1, Maestría en Regadera ,1,210,0,77,0,0
0,"Ataque de Hierba + 5
Ataque de Árbol + 5
Ataque de Mineral + 5
Competencia en Hierba + 5
Competencia en Árbol + 5
Competencia en Mineral + 5
MaxEnergy + 10
Aptitud de Recolecta: Convierte la competencia en recolección en defensa de combate y salud en una cierta proporción, efectivo al usar herramientas de recolección
Desbloquear Recetas de Energía","81#530,267#605,10000","1,2,3",talentTree-24,24,1,1,1, Maestría en Recolectar 1 ,3,450,0,,0,0
0,"Ataque de Hierba + 5
Ataque de Árbol + 5
Ataque de Mineral + 5
Competencia en Hierba + 5
Competencia en Árbol + 5
Competencia en Mineral + 5
MaxEnergy + 10
Desbloquear Recetas de Energía","82,268#606,10000","1,2,3",talentTree-25,25,1,2,1, Recolectar Combate 2 ,3,900,1,24,0,0
0,"Ataque de Hierba + 5
Ataque de Árbol + 5
Ataque de Mineral + 5
Competencia en Hierba + 5
Competencia en Árbol + 5
Competencia en Mineral + 5
MaxEnergy + 10
Desbloquear Recetas de Energía","83,269#607,10000","1,2,3",talentTree-26,26,1,3,1, Recolectar Combate 3 ,3,1800,2,25,5,500
