id-int,queueLimit-int,recipeId-int[]
1,20,"44,45,46,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,149,150,151,189,207,208,313,270,292,314,315,271,316,317,318,272,293,273,274,275,294,295,296,297,340,341,342,364,373,374,375,365,366,367,368,369,370,371,372"
2,20,"70,71,72,74,75,76,111,177,178,179,180,112,181,182,183,184,113,185,186,187,188,95,96,132,92,93,94,197,198,199,101,102,103,158,159,160,195,196,201,203,204,320,277,299,319,321,276,278,298,300,322,323,279,324,325,326,280,301,281,288,289,302,303,304,305,343,344,345,269,267,268,346,347,348,382,383,384,404"
4,20,"62,63,64,66,67,68,108,165,166,167,168,109,169,170,171,172,110,173,174,175,176,152,153,154,155,156,157,190,191,192,193,194,206,205,123,125,127,128,124,126,131,327,282,306,329,330,284,331,332,333,285,308,286,287,291,309,310,311,312,334,335,336,337,338,339,376,377,378,379,380,381,129,130,405,406,407,410,411,412,413,414,415,416,417,418"
6,20,"398,397"
7,20,"396,397"
8,20,"422,419,420,421"
9,20,"434,423,424,425,426,427,428,429,430,431,432,433"
10,20,"471,464,469,470,467,482,479,579,494,492,493,497,495,496,498,489,521,508,511,512,517,518,513,581,546,531,534,535,540,541,536,582,570,569,571,572,555,561,559,583"
11,20,"468,461,474,478,465,476,477,480,491,504,483,485,486,503,484,488,514,515,524,525,519,516,529,576,537,539,542,543,544,538,552,577,578,556,554,557,558,562,565,566"
12,20,"466,463,460,462,473,472,475,481,505,506,490,500,501,499,487,580,522,520,523,526,509,510,507,528,547,545,548,549,532,533,530,551,574,575,573,560,568,564,563,553"
