assetRes-string,dropId-int,exp-int,grassDef-int,homeAction-int,icon-string,id-int,initialAttribute-int[][],lv-int,maxActionValue-int,name-string,oreDef-int,progressScore-int,rankScore-int,requiredProficiency-int,tokenTaskLevel-int[],totemScore-int,treeDef-int
2D_caijiziyuan_shumu01_1,27,15,0,6,2D_caijiziyuan_shumu01_1,4,"60,0,0;61,100,0;62,0,0;63,150,0;76,750,0",1,750,['Lv 1 Bois ordinaire'],0,2,14,150,"0, 1",1,100
Slice_12,27,15,0,6,Slice_12,5,"60,0,0;61,100,0;62,0,0;63,150,0;76,750,0",1,750,['Lv 1 Bois ordinaire'],0,2,14,150,999,1,100
2D_caijiziyuan_xianrenzhang,28,21.21320344,0,6,2D_caijiziyuan_xianrenzhang,6,"60,0,0;61,200,0;62,0,0;63,300,0;76,1500,0",2,1500,"[""Lv 2 Bois d'arbre du désert""]",0,4,20,300,2,2,200
2D_caijiziyuan_hongguoshi,34,30,300,5,2D_caijiziyuan_hongguoshi,7,"60,300,0;61,0,0;62,0,0;63,450,0;76,2250,0",3,2250,Lv 3 Lv 3 Maguey,0,8,28,450,3,3,0
2D_caijiziyuan_shikuai_3,26,15,0,7,2D_caijiziyuan_shikuai_3,8,"60,0,0;61,0,0;62,100,0;63,150,0;76,750,0",1,750,['Lv 1 Minéral'],100,2,14,150,"0, 1",1,0
2D_caijiziyuan_heitikuang,30,21.21320344,0,7,2D_caijiziyuan_heitikuang,9,"60,0,0;61,0,0;62,200,0;63,300,0;76,1500,0",2,1500,['Lv 2 Fer noir'],200,4,20,300,2,2,0
2D_caijiziyuan_hongbaoshi,31,30,0,7,2D_caijiziyuan_hongbaoshi,11,"60,0,0;61,0,0;62,300,0;63,450,0;76,2250,0",3,2250,Lv 3 Lv 3 Minerai de cristal rouge,300,8,28,450,3,3,0
Slice_11,32,15,100,5,Slice_11,14,"60,100,0;61,0,0;62,0,0;63,150,0;76,750,0",1,750,['Lv 1 Fibre végétale'],0,2,14,150,"0, 1",1,0
2D_caijiziyuan_bingyuanzhiwu,33,21.21320344,200,5,2D_caijiziyuan_bingyuanzhiwu,15,"60,200,0;61,0,0;62,0,0;63,300,0;76,1500,0",2,1500,['Lv 2 Champignon gelé'],0,4,20,300,2,2,0
2D_caijiziyuan_anheimucai,29,30,0,6,2D_caijiziyuan_anheimucai,16,"60,0,0;61,300,0;62,0,0;63,450,0;76,2250,0",3,2250,Lv 3 Lv 3 Bois sombre,0,8,28,450,3,3,300
homeresource-19,0,0,100,5,homeresource-19,19,"60,100,0;61,0,0;62,0,0;63,150,0;76,750,0",1,750,['Lv 1 Fibre végétale'],0,2,14,150,999,1,0
homeresource-20,0,0,100,5,homeresource-20,20,"60,100,0;61,0,0;62,0,0;63,150,0;76,750,0",1,750,['Lv 1 Fibre végétale'],0,2,14,150,"0, 1",1,0
2D_caijiziyuan_cao3,0,0,100,5,2D_caijiziyuan_cao3,21,"60,100,0;61,0,0;62,0,0;63,150,0;76,750,0",1,750,['Lv 1 Fibre végétale'],0,2,14,150,999,1,0
homeresource-22,0,0,100,5,homeresource-22,22,"60,100,0;61,0,0;62,0,0;63,150,0;76,750,0",1,750,,0,2,14,150,999,1,0
homeresource-24,0,0,100,5,homeresource-24,24,"60,100,0;61,0,0;62,0,0;63,150,0;76,750,0",1,750,,0,2,14,150,999,1,0
homeresource-25,0,0,100,5,homeresource-25,25,"60,100,0;61,0,0;62,0,0;63,150,0;76,750,0",1,750,,0,2,14,150,999,1,0
homeresource-26,0,0,100,5,homeresource-26,26,"60,100,0;61,0,0;62,0,0;63,150,0;76,750,0",1,750,,0,2,14,150,999,1,0
homeresource-27,0,0,100,5,homeresource-27,27,"60,100,0;61,0,0;62,0,0;63,150,0;76,750,0",1,750,,0,2,14,150,999,1,0
