id-int,name-string,pageIds-int[]
1,Ressource d'objet,
2,Ressource d'objet,
3,Ressource d'objet,
4,Tuer un monstre,7
5,Tuer un monstre,8
6,Tuer un monstre,9
7,Tuer un monstre,10
8,Tuer un monstre,11
9,Tuer un monstre,12
10,Tuer un monstre,13
11,Tuer un monstre,14
12,Tuer un monstre,16
13,Tuer un monstre,17
14,Tuer un monstre,18
15,Tuer un monstre,19
16,Tuer un monstre,20
17,Tuer un monstre,21
18,Tuer un monstre,22
19,Tuer un monstre,23
20,Tuer un monstre,24
21,Tuer un monstre,25
22,Tuer un monstre,26
23,Tuer un monstre,27
24,Tuer un monstre,28
25,Tuer un monstre,29
26,Tuer un monstre,30
27,Tuer un monstre,31
28,Tuer un monstre,32
29,Tuer un monstre,33
30,Tuer un monstre,34
31,Rassembler,"35,36"
32,Défi du donjon,411
33,Rassembler,"37,38"
34,Défi du donjon,412
35,Rassembler,"39,40"
36,Défi du donjon,413
37,Rassembler,"41,42"
38,Défi du donjon,414
39,Rassembler,"43,44"
40,Défi du donjon,415
41,Rassembler,"45,46"
42,Défi du donjon,416
43,Rassembler,"47,48"
44,Défi du donjon,427
45,Rassembler,"49,50"
46,Défi du donjon,428
47,Rassembler,"51,52"
48,Défi du donjon,429
49,Rassembler,"53,54,55"
50,Démanteler l'équipement d'agriculture,430
51,Rassembler,"56,57"
52,Démonter l'équipement de combat,431
53,Rassembler,"58,59"
54,Démantèlement de l'équipement de collecte,432
55,Rassembler,"60,61"
56,Artisanat,433
57,Rassembler,"62,63"
58,Artisanat,434
59,Rassembler,"64,65"
60,Artisanat,435
61,Rassembler,"66,67"
62,Artisanat,436
63,Rassembler,"68,69"
64,Artisanat,437
65,Rassembler,"70,71"
66,Artisanat,438
67,Ressource d'objet,72
68,Artisanat,439
69,Rassembler,"73,74,72"
70,Artisanat,440
71,Rassembler,"75,76"
72,Artisanat,441
73,Rassembler,"77,78"
74,Artisanat,442
75,Rassembler,"79,80"
76,Artisanat,443
77,Rassembler,"81,82"
78,Artisanat,444
79,Rassembler,"83,84"
80,Artisanat,445
81,Rassembler,"85,86"
82,Artisanat,446
83,Rassembler,"87,88"
84,Artisanat,447
85,Rassembler,"89,90"
86,Artisanat,448
87,Planter,384
88,Planter,385
89,Planter,386
90,Planter,387
91,Planter,388
92,Planter,389
93,Planter,390
94,Planter,391
95,Planter,392
96,Planter,393
97,Planter,394
98,Planter,395
99,Planter,396
100,Planter,397
101,Planter,398
102,Planter,399
103,Planter,400
104,Planter,401
105,Planter,402
106,Planter,403
107,Planter,404
108,Planter,405
109,Planter,406
110,Planter,407
111,Planter,408
112,Planter,409
113,Planter,410
114,Bétail,356
115,Bétail,357
116,Bétail,358
117,Bétail,359
118,Bétail,360
119,Bétail,361
120,Bétail,362
121,Bétail,363
122,Bétail,365
123,Bétail,366
124,Bétail,367
125,Bétail,368
126,Bétail,369
127,Bétail,370
128,Bétail,371
129,Bétail,372
130,Bétail,373
131,Bétail,374
132,Bétail,375
133,Bétail,376
134,Bétail,377
135,Bétail,378
136,Bétail,379
137,Bétail,380
138,Bétail,381
139,Bétail,382
140,Bétail,383
141,Artisanat,91
142,Artisanat,92
143,Artisanat,93
144,Artisanat,94
145,Artisanat,95
146,Artisanat,96
147,Artisanat,97
148,Artisanat,98
149,Artisanat,99
150,Artisanat,100
151,Artisanat,101
152,Artisanat,102
153,Artisanat,103
154,Artisanat,104
155,Artisanat,105
156,Artisanat,106
157,Artisanat,107
158,Artisanat,108
159,Artisanat,109
160,Artisanat,110
161,Artisanat,111
162,Artisanat,112
163,Artisanat,113
164,Artisanat,114
165,Artisanat,115
166,Artisanat,116
167,Artisanat,117
168,Artisanat,118
169,Artisanat,119
170,Artisanat,120
171,Artisanat,121
172,Artisanat,122
173,Artisanat,123
174,Artisanat,124
175,Artisanat,125
176,Artisanat,126
177,Artisanat,127
178,Artisanat,128
179,Artisanat,129
180,Artisanat,130
