classifyLevel-int,desc-string,displayType-int,icon-string,id-int,level-int,matItemId-int[][],name-string,productId-int[][],productTypes-int[],proficiency-int,recipesSort-int,sourceText-int,timeCost-int,timesLimit-int,type-int,unlockCondition-int,unlockType-int,useDitamin-int,useToken-int
1,Artisanat Lv 1 Épée en pierre,2,recipe-icon-44,44,1,"210,1;213,1",Recette d'épée en pierre de niveau 1 ,"40,1,1,10000",1,0,99044,1,10,-,2,0,4,0,0
0,Artisanat Lv 2 Épée en fer,2,recipe-icon-45,45,2,"207,2;211,1;214,1", Recette d'épée en fer de niveau 2 ,"41,1,1,6000;41,2,1,4000",1,0,98045,1,10,-,2,0,4,0,0
0,Artisanat Lv 3 Épée en cristal,2,recipe-icon-46,46,3,"208,2;212,1;215,1", Recette d'épée en cristal de niveau 3 ,"42,1,1,4736;42,2,1,3157;42,3,1,2105",1,0,97046,1,10,-,2,0,4,0,0
0,Artisanat Lv 1 Houe en fer,2,recipe-icon-62,62,1,"207,2", Recette de houe en fer de niveau 1 ,"80,1,1,10000",1,0,99062,1,10,-,1,0,4,0,0
0,Artisanat Lv 0 Engrais hydratant,2,recipe-icon-94,94,1,"69,1", Recette d'engrais hydratant de niveau 0 ,"130,1,1,10000",3,0,99094,1,10,-,1,0,4,0,0
0,Artisanat Lv 3 Houe bénie,2,recipe-icon-64,64,3,"217,2;209,2", Recette de houe bénie de niveau 3 ,"82,1,1,10000",1,0,97064,1,10,-,1,0,4,0,0
0,Artisanat Lv 0 Engrais stimulant le rendement,2,recipe-icon-93,93,1,"61,1", Recette d'engrais augmentant le rendement de niveau 0 ,"129,1,1,10000",3,0,99093,1,10,-,1,0,4,0,0
0,Artisanat Lv 2 Bouilloire maudite,2,recipe-icon-67,67,2,"216,2;208,2", Recette de bouilloire maudite de niveau 2 ,"85,2,1,4000;84,1,1,6000",1,0,98067,1,10,-,1,0,4,0,0
0,Artisanat Lv 3 Hache bénie,2,recipe-icon-76,76,3,"211,1;214,1;218,2", Recette de hache bénie de niveau 3 ,"94,1,1,10000",1,0,97076,1,10,-,3,0,4,0,0
0,Artisanat Lv 0 Potion de guérison secondaire,2,recipe-icon-95,95,1,"66,5;32,5", Recette de potion de guérison mineure de niveau 0 ,"134,1,1,5031;135,1,1,993;136,1,1,993;137,1,1,993;139,1,1,993;138,1,1,993",3,0,99095,1,10,-,3,0,4,0,0
0,Artisanat Lv 1 Potion de guérison,2,recipe-icon-96,96,2,"67,2;75,2;35,2", Recette de potion de guérison de niveau 1 ,"140,1,1,5031;142,1,1,993;141,1,1,993;143,1,1,993;145,1,1,993;144,1,1,993",3,0,98096,1,10,-,3,0,4,0,0
0,Artisanat Lv 2 Houe maudite,2,recipe-icon-63,63,2,"216,2;208,2", Recette de houe maudite de niveau 2 ,"81,1,1,10000",1,0,98063,1,10,-,1,0,4,0,0
0,Artisanat Lv 2 Pioche maudite,2,recipe-icon-71,71,2,"210,1;213,1;217,2", Recette de pioche maudite de niveau 2 ,"89,1,1,6000;89,2,1,4000",1,0,98071,1,10,-,3,0,4,0,0
0,Artisanat Lv 1 Pioche en fer,2,recipe-icon-70,70,1,"216,2", Recette de pioche en fer de niveau 1 ,"88,1,1,10000",1,0,99070,1,10,-,3,0,4,0,0
0,Artisanat Lv 3 Pioche bénie,2,recipe-icon-72,72,3,"211,1;214,1;218,2", Recette de pioche bénie de niveau 3 ,"90,1,1,10000",1,0,97072,1,10,-,3,0,4,0,0
0,Artisanat Lv 3 Bouilloire bénie,2,recipe-icon-68,68,3,"217,2;209,2", Recette de bouilloire bénie de niveau 3 ,"86,1,1,10000",1,0,97068,1,10,-,1,0,4,0,0
0,Artisanat Lv 1 Hache en fer,2,recipe-icon-74,74,1,"216,2", Recette de hache en fer de niveau 1 ,"92,1,1,10000",1,0,99074,1,10,-,3,0,4,0,0
0,Artisanat Lv 1 Bouilloire en fer,2,recipe-icon-66,66,1,"207,2", Recette de bouilloire en fer de niveau 1 ,"84,1,1,10000",1,0,99066,1,10,-,1,0,4,0,0
