desc-string,id-int,parameters_1-int[],parameters_2-int[][],type-int
La défense du monstre a été renforcée.,1,2,650,2
 La puissance d'attaque du monstre a été renforcée.,2,2,651,2
 La défense du joueur a été affaiblie.,3,1,652,2
 La puissance d'attaque du joueur a été affaiblie.,4,1,653,2
 Les PV maximum du monstre ont augmenté.,5,2,654,2
 La défense du monstre a été affaiblie.,6,2,655,2
 La puissance d'attaque du monstre a été affaiblie.,7,2,656,2
 La défense du joueur a été renforcée.,8,1,657,2
 La puissance d'attaque du joueur a été renforcée.,9,1,658,2
 Les PV maximum du monstre ont diminué.,10,2,659,2
 Déclenchement d'un événement de debuff aléatoire en combat.,11,,"10000,1;10000,2;10000,3;10000,4;10000,5",1
 Déclenchement d'un événement de buff aléatoire en combat.,12,,"10000,6;10000,7;10000,8;10000,9;10000,10",1
 Déclenchement d'un événement de debuff aléatoire lors de la collecte.,13,,"10000,17;10000,18;10000,19;10000,20",1
 Déclenchement d'un événement de buff aléatoire lors de la collecte.,14,,"10000,21;10000,18;10000,23;10000,24",1
 Déclenchement d'un événement de debuff aléatoire en agriculture.,15,,"10000,25;10000,26;10000,28;10000,29;10000,30",1
 Déclenchement d'un événement de buff aléatoire en agriculture.,16,,"10000,31;10000,32;10000,34;10000,35;10000,36",1
 La défense de l'objet de collecte a été renforcée.,17,5,"60,1,150,60,4;61,1,150,61,4;62,1,150,62,4",3
 La valeur de progression maximale de l'objet de collecte a été renforcée.,18,5,"76,1,100,76,4",3
 La puissance d'attaque de collecte du joueur a été affaiblie.,19,1,660,2
 La vitesse de déplacement du joueur a ralenti.,20,1,661,2
 La défense de l'objet de collecte a été affaiblie.,21,5,"60,1,-150,60,4;61,1,-150,61,4;62,1,-150,62,4",3
 La valeur de progression maximale de l'objet de collecte a été affaiblie.,22,5,"76,1,-100,76,4",3
 La puissance d'attaque de collecte du joueur a été renforcée.,23,1,662,2
 La vitesse de déplacement du joueur a augmenté.,24,1,663,2
 Les besoins en eau des cultures ont augmenté.,25,8,"71,1,100,71,4",3
L'exigence de compétence pour les cultures a augmenté.,26,8,"73,1,25,73,4",3
 Les cultures sont revenues à la phase de croissance précédente.,27,,"1,-1",4
 Les cultures doivent être à nouveau arrosées.,28,,"2,0",4
 La vitesse d'arrosage du joueur a ralenti.,29,1,664,2
 La compétence de plantation du joueur a été affaiblie.,30,1,665,2
 Les besoins en eau des cultures ont diminué.,31,8,"71,1,-100,71,4",3
 L'exigence de compétence pour les cultures a diminué.,32,8,"73,1,-25,73,4",3
 Les cultures sont entrées dans la prochaine phase de croissance.,33,,"1,1",4
 Toutes les cultures ont été arrosées.,34,,"2,1",4
 La vitesse d'arrosage du joueur a augmenté.,35,1,666,2
 La compétence de plantation du joueur a été améliorée.,36,1,667,2
 Recalcul des statistiques de collecte du joueur.,37,1,668,2
 Recalcul des statistiques de l'objet de collecte.,38,5,,3
