dropId-int,exp-int,growRes-string[],growTotalTime-int,harvestRes-string,id-int,lv-int,needWaterValue-int,plantingDifficulty-int,requiredFertilizer-int,requirementProficiency-int,witherTime-int
16,16.66666667,"seed-146-p1,seed-146-p2,seed-146-p3,seed-146-p4",30,seed-146-final,146,1,100,[800],[80.49844719],[100],172800
17,16.66666667,"seed-147-p1,seed-147-p2,seed-147-p3",30,seed-147-final,147,1,100,[800],[80.49844719],[100],172800
18,16.66666667,"seed-148-p1,seed-148-p2,seed-148-p3",30,seed-148-final,148,1,100,[800],[80.49844719],[100],172800
19,51.84262426,"seed-149-p1,seed-149-p2,seed-149-p3",60,seed-149-final,149,2,150,[1846.153846],[98.59006035],[200],172800
20,51.84262426,"seed-150-p1,seed-150-p2,seed-150-p3,seed-150-p4",60,seed-150-final,150,2,150,[1846.153846],[98.59006035],[200],172800
21,51.84262426,"seed-151-p1,seed-151-p2,seed-151-p3",60,seed-151-final,151,2,150,[1846.153846],[98.59006035],[200],172800
22,121.6849856,"seed-152-p1,seed-152-p2,seed-152-p3,seed-152-p4",90,seed-152-final,152,3,200,[4000],[113.8419958],[300],172800
23,121.6849856,"seed-153-p1,seed-153-p2,seed-153-p3",90,seed-153-final,153,3,200,[4000],[113.8419958],[300],172800
24,121.6849856,"seed-154-p1,seed-154-p2,seed-154-p3,seed-154-p4",90,seed-154-final,154,3,200,[4000],[113.8419958],[300],172800
65,204,"seed-413-p1,seed-413-p2,seed-413-p3",,seed-413-final,413,4,"250
",[6666.666667],[127.2792206],[400],172800
66,204,"seed-414-p1,seed-414-p2,seed-414-p3",,seed-414-final,414,4,"250
",[6666.666667],[127.2792206],[400],172800
67,204,"seed-415-p1,seed-415-p2,seed-415-p3",,seed-415-final,415,4,"250
",[6666.666667],[127.2792206],[400],172800
68,295,"seed-416-p1,seed-416-p2,seed-416-p3",,seed-416-final,416,5,"300
",[8000],[139.4274005],[500],172800
69,295,"seed-417-p1,seed-417-p2,seed-417-p3",,seed-417-final,417,5,"300
",[8000],[139.4274005],[500],172800
70,295,"seed-418-p1,seed-418-p2,seed-418-p3",,seed-418-final,418,5,"300
",[8000],[139.4274005],[500],172800
71,393,"seed-419-p1,seed-419-p2,seed-419-p3,seed-419-p4",,seed-419-final,419,6,"350
",[11200],[150.5988048],[600],172800
72,393,"seed-420-p1,seed-420-p2,seed-420-p3,seed-420-p4",,seed-420-final,420,6,"350
",[11200],[150.5988048],[600],172800
73,393,"seed-421-p1,seed-421-p2,seed-421-p3,seed-421-p4",,seed-421-final,421,6,"350
",[11200],[150.5988048],[600],172800
