flyAvatar-string,flyDistance-int,flySpeed-int,flyTime-int,flyerType-int,id-int
Skill_Arrow,2000,3000,0,1,1
Projectile_ball,2000,1000,0,5,2
CaptureRope,2000,2000,0,2,3
Resource_ball,2000,1500,0,3,4
Projectile_ball_Dark,2000,1000,0,5,5
Skill_Arrow_big,2000,3000,0,1,7
Skill_Bee_flyer,2000,800,0,1,8
Skill_Bomb_flyer,1500,1500,0,5,9
Skill_Stun_flyer,1500,1500,0,5,10
Skill_Moderate_flyer,1500,1500,0,5,11
Skill_Burning_flyer,1500,1500,0,5,12
Skill_Laser,2000,10000,0,4,13
Skill_EmptyFlyer,3000,0,2000,5,14
Skill_Push_flyer,10000,5000,0,1,15
Skill_Bomb_flyer,10000,1500,0,5,16
Skill_Snowball_flyer,2000,1500,0,5,17
Skill_SnowStorm_empty,2000,0,1000,5,18
Skill_SkeletonArrow,2000,2000,0,1,19
Skill_SkeletonArrowRain,2000,0,1000,5,20
Skill_BleedingMagic,2000,1000,0,1,21
Skill_TreeBoss,2000,0,1000,5,22
Skill_ArcticBoss,2000,0,3000,5,23
Skill_SoulBoss,2000,0,2000,5,24
Skill_blackHole_1,600,0,500,5,25
