designateOptions-string,details-string,difficulty-int,expReward-int[][],id-int,isSelfEnd-bool,itemReward-int,name-string,reputation-int,type-int,level-int[][],preTaskReq-int[],chanceOptions-string,unlockDungeon-int[]
"{""options"":[{""optionType"":2,""value"":""134,1"",""guiderPoint"":0}]}"," Pour l'amour et la paix, veuillez vous rendre à l'endroit désigné.",0,"1,147",1,0,11,10001,0,2,,,,
"{""options"":[{""optionType"":1,""value"":""134,2"",""guiderPoint"":0},{""optionType"":2,""value"":""134,1"",""guiderPoint"":0}]}"," Pour l'amour et la paix, veuillez vous rendre à l'endroit désigné.",0,"1,147",2,0,11,10002,0,2,"1,1;2,1",1,,
"{""options"":[{""optionType"":3,""value"":""30,1"",""guiderPoint"":0}]}"," Pour l'amour et la paix, veuillez vous rendre à l'endroit désigné.",0,"1,147",3,0,11,10003,0,2,"2,2",2,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}"," Pour l'amour et la paix, veuillez vous rendre à l'endroit désigné.",0,"1,147",4,0,11,10004,0,2,"2,3",3,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}"," Pour l'amour et la paix, veuillez vous rendre à l'endroit désigné.",0,"1,147",5,0,11,10005,0,2,"2,4",4,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}"," Pour l'amour et la paix, veuillez vous rendre à l'endroit désigné.",0,"1,147",6,0,11,10006,0,2,,5,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}"," Pour l'amour et la paix, veuillez vous rendre à l'endroit désigné.",0,"1,147",7,1,11,10007,0,2,,5,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}"," Pour l'amour et la paix, veuillez vous rendre à l'endroit désigné.",0,"1,147",8,1,11,10008,0,2,,"6,7",,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}"," Pour l'amour et la paix, veuillez vous rendre à l'endroit désigné.",0,"1,147",9,1,11,En voyage,0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}"," Pour l'amour et la paix, veuillez vous rendre à l'endroit désigné.",0,"1,147",10,1,11,En voyage,0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}"," Pour l'amour et la paix, veuillez vous rendre à l'endroit désigné.",0,"1,147",11,1,11,En voyage,0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}"," Pour l'amour et la paix, veuillez vous rendre à l'endroit désigné.",0,"1,147",12,1,11,En voyage,0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}"," Pour l'amour et la paix, veuillez vous rendre à l'endroit désigné.",0,"1,147",13,1,11,En voyage,0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}"," Pour l'amour et la paix, veuillez vous rendre à l'endroit désigné.",0,"1,147",14,1,11,En voyage,0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}"," Pour l'amour et la paix, veuillez vous rendre à l'endroit désigné.",0,"1,147",15,1,11,En voyage,0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}"," Pour l'amour et la paix, veuillez vous rendre à l'endroit désigné.",0,"1,147",16,1,11,En voyage,0,2,,,,
," Pour l'amour et la paix, veuillez me donner cela.",0,"3,84",17,1,24,Collecte,0,,,,"{""options"":[{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0},{""optionType"":1,""value"":""70,10,100"",""guiderPoint"":0},{""optionType"":1,""value"":""33,2,300"",""guiderPoint"":0},{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0}]}",
," Pour l'amour et la paix, veuillez me donner cela.",0,"3,84",18,1,24,Collecte,0,,,,"{""options"":[{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0},{""optionType"":1,""value"":""58,3,200"",""guiderPoint"":0},{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0}]}",
," Pour l'amour et la paix, veuillez me donner cela.",0,"3,84",19,1,24,Collecte,0,,,,"{""options"":[{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0},{""optionType"":1,""value"":""58,3,200"",""guiderPoint"":0},{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0}]}",
," Pour l'amour et la paix, veuillez me donner cela.",0,"3,84",20,1,24,Collecte,0,,,,"{""options"":[{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0},{""optionType"":1,""value"":""58,3,200"",""guiderPoint"":0},{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0}]}",
"{""options"":[{""optionType"":4,""value"":""111,3"",""guiderPoint"":30107}]}",Aidez Gunner à tuer une Chauve-souris Citrouille.,0,"2,465",21,0,0,Nouveau départ,0,1,,,,30001
