backGround-string,desc-string,id-int,pictureAsset-string
Assets/Res/Sprite/Instructions/Background/Common.png,@@ Membunuh Monster--Anjing Logam,7,Assets/Res/Sprite/Icon/Head/monster-icon-6.png
Assets/Res/Sprite/Instructions/Background/Common.png, Membunuh Monster--Setan Labu,8,Assets/Res/Sprite/Icon/Head/monster-icon-7.png
Assets/Res/Sprite/Instructions/Background/Common.png, Membunuh Monster--Prajurit Kaktus,9,Assets/Res/Sprite/Icon/Head/monster-icon-8.png
Assets/Res/Sprite/Instructions/Background/Common.png, Membunuh Monster--Kucingku,10,Assets/Res/Sprite/Icon/Head/monster-icon-9.png
Assets/Res/Sprite/Instructions/Background/Common.png, Membunuh Monster--Lebah Berdengung,11,Assets/Res/Sprite/Icon/Head/monster-icon-11.png
Assets/Res/Sprite/Instructions/Background/Common.png, Membunuh Monster--Pengintai Daun,12,Assets/Res/Sprite/Icon/Head/monster-icon-10.png
Assets/Res/Sprite/Instructions/Background/Common.png, Membunuh Monster--Momok Kekacauan,13,Assets/Res/Sprite/Icon/Head/monster-icon-12.png
Assets/Res/Sprite/Instructions/Background/Common.png, Membunuh Monster--Siput Merah,14,Assets/Res/Sprite/Icon/Head/monster-icon-13.png
Assets/Res/Sprite/Instructions/Background/Common.png, Membunuh Monster--Minion Beku,16,Assets/Res/Sprite/Icon/Head/monster-icon-14.png
Assets/Res/Sprite/Instructions/Background/Common.png, Membunuh Monster--Prj. Tulang,17,Assets/Res/Sprite/Icon/Head/monster-icon-96.png
Assets/Res/Sprite/Instructions/Background/Common.png, Membunuh Monster--Kepala Telur Daun Oranye,18,Assets/Res/Sprite/Icon/Head/monster-icon-97.png
Assets/Res/Sprite/Instructions/Background/Common.png, Membunuh Monster--Tonggak Marah,19,Assets/Res/Sprite/Icon/Head/monster-icon-98.png
Assets/Res/Sprite/Instructions/Background/Common.png, Membunuh Monster--Sprite Salju Gelap,20,Assets/Res/Sprite/Icon/Head/monster-icon-101.png
Assets/Res/Sprite/Instructions/Background/Common.png, Membunuh Monster--Kapten Tulang,21,Assets/Res/Sprite/Icon/Head/monster-icon-99.png
Assets/Res/Sprite/Instructions/Background/Common.png, Membunuh Monster--Behemoth Bayangan,22,Assets/Res/Sprite/Icon/Head/monster-icon-100.png
Assets/Res/Sprite/Instructions/Background/Common.png, Membunuh Monster--Pemanah Tulang,23,Assets/Res/Sprite/Icon/Head/monster-icon-103.png
Assets/Res/Sprite/Instructions/Background/Common.png, Membunuh Monster--Penyihir Kelinci,24,Assets/Res/Sprite/Icon/Head/monster-icon-104.png
Assets/Res/Sprite/Instructions/Background/Common.png, Membunuh Monster--Raksasa Cangkang Es,25,Assets/Res/Sprite/Icon/Head/monster-icon-102.png
