id-int,name-string,pageIds-int[]
1,Sumber Daya Item,
2,Sumber Daya Item,
3,Sumber Daya Item,
4,Membunuh Monster,7
5,Membunuh Monster,8
6,Membunuh Monster,9
7,Membunuh Monster,10
8,Membunuh Monster,11
9,Membunuh Monster,12
10,Membunuh Monster,13
11,Membunuh Monster,14
12,Membunuh Monster,16
13,Membunuh Monster,17
14,Membunuh Monster,18
15,Membunuh Monster,19
16,Membunuh Monster,20
17,Membunuh Monster,21
18,Membunuh Monster,22
19,Membunuh Monster,23
20,Membunuh Monster,24
21,Membunuh Monster,25
22,Membunuh Monster,26
23,Membunuh Monster,27
24,Membunuh Monster,28
25,Membunuh Monster,29
26,Membunuh Monster,30
27,Membunuh Monster,31
28,Membunuh Monster,32
29,Membunuh Monster,33
30,Membunuh Monster,34
31,Mengumpulkan,"35,36"
32,Tantangan Penjara Bawah Tanah,411
33,Mengumpulkan,"37,38"
34,Tantangan Penjara Bawah Tanah,412
35,Mengumpulkan,"39,40"
36,Tantangan Penjara Bawah Tanah,413
37,Mengumpulkan,"41,42"
38,Tantangan Penjara Bawah Tanah,414
39,Mengumpulkan,"43,44"
40,Tantangan Penjara Bawah Tanah,415
41,Mengumpulkan,"45,46"
42,Tantangan Penjara Bawah Tanah,416
43,Mengumpulkan,"47,48"
44,Tantangan Penjara Bawah Tanah,427
45,Mengumpulkan,"49,50"
46,Tantangan Penjara Bawah Tanah,428
47,Mengumpulkan,"51,52"
48,Tantangan Penjara Bawah Tanah,429
49,Mengumpulkan,"53,54,55"
50,Membongkar Peralatan Pertanian,430
51,Mengumpulkan,"56,57"
52,Membongkar Peralatan Tempur,431
53,Mengumpulkan,"58,59"
54,Membongkar Peralatan Mengumpulkan,432
55,Mengumpulkan,"60,61"
56,Kerajinan,433
57,Mengumpulkan,"62,63"
58,Kerajinan,434
59,Mengumpulkan,"64,65"
60,Kerajinan,435
61,Mengumpulkan,"66,67"
62,Kerajinan,436
63,Mengumpulkan,"68,69"
64,Kerajinan,437
65,Mengumpulkan,"70,71"
66,Kerajinan,438
67,Sumber Daya Item,72
68,Kerajinan,439
69,Mengumpulkan,"73,74,72"
70,Kerajinan,440
71,Mengumpulkan,"75,76"
72,Kerajinan,441
73,Mengumpulkan,"77,78"
74,Kerajinan,442
75,Mengumpulkan,"79,80"
76,Kerajinan,443
77,Mengumpulkan,"81,82"
78,Kerajinan,444
79,Mengumpulkan,"83,84"
80,Kerajinan,445
81,Mengumpulkan,"85,86"
82,Kerajinan,446
83,Mengumpulkan,"87,88"
84,Kerajinan,447
85,Mengumpulkan,"89,90"
86,Kerajinan,448
87,Menanam,384
88,Menanam,385
89,Menanam,386
90,Menanam,387
91,Menanam,388
92,Menanam,389
93,Menanam,390
94,Menanam,391
95,Menanam,392
96,Menanam,393
97,Menanam,394
98,Menanam,395
99,Menanam,396
100,Menanam,397
101,Menanam,398
102,Menanam,399
103,Menanam,400
104,Menanam,401
105,Menanam,402
106,Menanam,403
107,Menanam,404
108,Menanam,405
109,Menanam,406
110,Menanam,407
111,Menanam,408
112,Menanam,409
113,Menanam,410
114,Ternak,356
115,Ternak,357
116,Ternak,358
117,Ternak,359
118,Ternak,360
119,Ternak,361
120,Ternak,362
121,Ternak,363
122,Ternak,365
123,Ternak,366
124,Ternak,367
125,Ternak,368
126,Ternak,369
127,Ternak,370
128,Ternak,371
129,Ternak,372
130,Ternak,373
131,Ternak,374
132,Ternak,375
133,Ternak,376
134,Ternak,377
135,Ternak,378
136,Ternak,379
137,Ternak,380
138,Ternak,381
139,Ternak,382
140,Ternak,383
141,Kerajinan,91
142,Kerajinan,92
143,Kerajinan,93
144,Kerajinan,94
145,Kerajinan,95
146,Kerajinan,96
147,Kerajinan,97
148,Kerajinan,98
149,Kerajinan,99
150,Kerajinan,100
151,Kerajinan,101
152,Kerajinan,102
153,Kerajinan,103
154,Kerajinan,104
155,Kerajinan,105
156,Kerajinan,106
157,Kerajinan,107
158,Kerajinan,108
159,Kerajinan,109
160,Kerajinan,110
161,Kerajinan,111
162,Kerajinan,112
163,Kerajinan,113
164,Kerajinan,114
165,Kerajinan,115
166,Kerajinan,116
167,Kerajinan,117
168,Kerajinan,118
169,Kerajinan,119
170,Kerajinan,120
171,Kerajinan,121
172,Kerajinan,122
173,Kerajinan,123
174,Kerajinan,124
175,Kerajinan,125
176,Kerajinan,126
177,Kerajinan,127
178,Kerajinan,128
179,Kerajinan,129
180,Kerajinan,130
181,Kerajinan,131
182,Kerajinan,132
183,Kerajinan,133
184,Kerajinan,134
185,Kerajinan,135
186,Kerajinan,136
187,Kerajinan,137
188,Kerajinan,138
189,Kerajinan,139
190,Kerajinan,140
191,Kerajinan,141
192,Kerajinan,142
193,Kerajinan,143
194,Kerajinan,144
195,Kerajinan,145
196,Kerajinan,146
197,Kerajinan,147
198,Kerajinan,148
