col-int,desc-string,gainsArgs-string,gainsType-int[],icon-string,id-int,isTrunk-bool,layer-int,lvLimit-int,name-string,resetCost-int,type-int,upgradeEXP-int[],upgradeRequireTreeLv-int,preNode-int[],upgradeToken-int[]
0,"Serangan Tempur + 5
Pertahanan Tempur + 5
Maksimum HP Tempur + 20
Maksimum Energi + 10
Buka Resep Energi","51,588#1199#1259,10000","1,2,3",talentTree-1,1,1,1,1,Combat Mastery 1,0,2,450,0,,0
0,"Serangan Tempur + 5
Pertahanan Tempur + 5
Max HP Tempur + 20
Max Energi + 10
Buka Resep Energi","52,585#1194#1260,10000","1,2,3",talentTree-2,2,1,2,1,Combat Mastery 2,0,2,900,1,1,0
0,"Serangan Tempur + 5
Pertahanan Tempur + 5
Max HP Tempur + 20
Max Energi + 10
Buka Resep Energi","53,592#1192#1261,10000","1,2,3",talentTree-3,3,1,3,1,Combat Mastery 3,10000,2,1800,2,2,500
0,"Combat ATK + 5: ATK Pertempuran +5
Combat DEF + 5: DEF Pertempuran +5
Combat MaxHP + 20: Meningkatkan MaxHP Pertempuran sebesar +20
MaxEnergy + 10: Energi Maksimum +10
Unlock Energy Recipes: Membuka Resep Energi","54,590#1197#1262,10000","1,2,3",talentTree-4,4,1,4,1,Combat Mastery 4,20000,2,3600,3,3,2500
0," Combat ATK + 5
Combat DEF + 5
Combat MaxHP + 20
MaxEnergy + 10
Membuka Resep Energi ","55,589#1196#1263,10000","1,2,3",talentTree-5,5,1,5,1,Combat Mastery 5,30000,2,7200,4,4,5000
0,"Combat ATK + 5
Combat DEF + 5
Combat HP Maks + 20
Energi Maks + 10
Buka Resep Energi","56,595#1195#1264,10000","1,2,3",talentTree-6,6,1,6,1,Combat Mastery 6,40000,2,14400,5,5,8000
0,"Serangan Tempur +5
Pertahanan Tempur +5
HP Maksimum Tempur +20
Energi Maksimum +10
Membuka Resep Energi","57,614#1200#1265,10000","1,2,3",talentTree-7,7,1,7,1,Combat Mastery 7,50000,2,28800,6,6,11500
0,"Serangan Tempur + 5
Pertahanan Tempur + 5
HP Maksimum Tempur + 20
Energi Maksimum + 10
Buka Resep Energi","58,615#1193#1266,10000","1,2,3",talentTree-8,8,1,8,1,Combat Mastery 8,60000,2,57600,7,7,15500
0,"Serangan Tempur + 5
Pertahanan Tempur + 5
HP Maksimum Tempur + 20
Energi Maksimum + 10
Buka Resep Energi","59,619#1198#1267,10000","1,2,3",talentTree-9,9,1,9,1,Combat Mastery 9,70000,2,115200,8,8,20000
-1," Kurangi kecepatan gerakan musuh
",332,1,talentTree-10,10,0,2,1,Trampling - Enhance,0,2,175,0,11,0
-1," Stun musuh di sekitarmu
",63,0,talentTree-11,11,0,1,1,Trampling,0,2,15,0,,0
0,"Kapasitas Kesuburan + 1
Kemahiran Menanam + 4
Kapasitas Kebahagiaan Hewan Peliharaan + 1
Kemahiran Berkembang Biak + 4
Maksimum Energi + 10
Kebugaran Pertanian: Mengubah kemahiran pertanian menjadi pertahanan tempur dan batas kesehatan secara proporsional dengan persentase tertentu, efektif saat menggunakan alat pertanian
Buka Resep Energi","66#531,591#597#1183#1277,10000","1,2,3",talentTree-13,13,1,1,1,Farming Mastery 1,0,1,450,0,,0
0,"Kapasitas Kesuburan + 1
Kemahiran Menanam + 4
Kapasitas Kebahagiaan Hewan Peliharaan + 1
Kemahiran Berkembang Biak + 4
Max Energi + 10
Buka Resep Energi","67,593#598#1184#1278,10000","1,2,3",talentTree-14,14,1,2,1,Farming Mastery 2,0,1,900,1,13,0
0,"Kapasitas Kesuburan + 1
Kemahiran Menanam + 4
Kapasitas Kebahagiaan Hewan Peliharaan + 1
Kemahiran Berkembang Biak + 4
Max Energi + 10
Buka Resep Energi","68,596#599#1188#1279,10000","1,2,3",talentTree-15,15,1,3,1,Farming Mastery 3,10000,1,1800,2,14,500
0,"FertilityCapacity + 1: Kapasitas Kesuburan +1
PlantingProficiency + 4: Kemahiran Penanaman +4
PetHappinessCapacity + 1: Kapasitas Kebahagiaan Hewan Peliharaan +1
BreedingProficiency + 4: Kemahiran Pembiakan +4
MaxEnergy + 10: Energi Maksimum +10
Unlock Energy Recipes: Membuka Resep Energi","69,594#600#1190#1280,10000","1,2,3",talentTree-16,16,1,4,1,Farming Mastery 4,20000,1,3600,3,15,2500
0," FertilityCapacity + 1
Kemahiran Penanaman + 4
PetHappinessCapacity + 1
Kemahiran Berkembang Biak + 4
MaxEnergy + 10
Membuka Resep Energi ","70,601#587#1185#1281,10000","1,2,3",talentTree-17,17,1,5,1,Farming Mastery 5,30000,1,7200,4,16,5000
0,"Kapasitas Kesuburan + 1
Kemahiran Menanam + 4
Kapasitas Kebahagiaan Hewan Peliharaan + 1
Kemahiran Berkembang Biak + 4
Energi Maks + 10
Buka Resep Energi","71,602#586#1189#1282,10000","1,2,3",talentTree-18,18,1,6,1,Farming Mastery 6,40000,1,14400,5,17,8000
0,"Kapasitas Kesuburan +1
Kemahiran Menanam +4
Kapasitas Kebahagiaan Hewan Peliharaan +1
Kemahiran Berkembang Biak +4
Energi Maksimum +10
Membuka Resep Energi","72,620#617#1187#1283,10000","1,2,3",talentTree-19,19,1,7,1,Farm Mastery 7,50000,1,28800,6,18,11500
0,"Kapasitas Kesuburan + 1
Kemahiran Menanam + 4
Kapasitas Kebahagiaan Hewan Peliharaan + 1
Kemahiran Berkembang Biak + 4
Energi Maksimum + 10
Buka Resep Energi","73,624#621#1186#1284,10000","1,2,3",talentTree-20,20,1,8,1,Farming Mastery 8,60000,1,57600,7,19,15500
0,"Kapasitas Kesuburan + 1
Kemahiran Menanam + 4
Kapasitas Kebahagiaan Hewan Peliharaan + 1
Kemahiran Berkembang Biak + 4
Energi Maksimum + 10
Buka Resep Energi","74,625#616#1191#1285,10000","1,2,3",talentTree-21,21,1,9,1,Farming Mastery 9,70000,1,115200,8,20,20000
1,"FertilityCapacity + 1
",228,1,talentTree-22,22,0,1,1,Farm - Output kesuburan per unit lahan,0,1,95,0,,0
-1," Siram ladang kecil di sekitarmu
",99,0,talentTree-23,23,0,2,1,Watering Can Mastery,0,1,210,0,77,0
0,"Serangan Rumput + 5
Serangan Pohon + 5
Serangan Bijih + 5
Kemahiran Memetik Rumput + 5
Kemahiran Memotong Pohon + 5
Kemahiran Penambangan + 5
Maksimum Energi + 10
Kebugaran Mengumpulkan: Mengubah kemahiran mengumpulkan menjadi pertahanan tempur dan kesehatan secara proporsional, efektif saat menggunakan alat mengumpulkan
Buka Resep Energi","81#530,267#605#1268,10000","1,2,3",talentTree-24,24,1,1,1,Gather Mastery 1,0,3,450,0,,0
0,"Serangan Rumput + 5
Serangan Pohon + 5
Serangan Bijih + 5
Kemahiran Memetik Rumput + 5
Kemahiran Memotong Pohon + 5
Kemahiran Penambangan + 5
Max Energi + 10
Buka Resep Energi","82,268#606#1269,10000","1,2,3",talentTree-25,25,1,2,1,Gather Combat 2,0,3,900,1,24,0
0,"Serangan Rumput + 5
Serangan Pohon + 5
Serangan Bijih + 5
Kemahiran Memetik Rumput + 5
Kemahiran Memotong Pohon + 5
Kemahiran Penambangan + 5
Max Energi + 10
Buka Resep Energi","83,269#607#1270,10000","1,2,3",talentTree-26,26,1,3,1,Gather Combat 3,10000,3,1800,2,25,500
0,"GrassAtt + 5: Serangan Rumput +5
TreeAtt + 5: Serangan Pohon +5
OreAtt + 5: Serangan Bijih +5
GrassProficiency + 5: Kemahiran Memetik Rumput +5
TreeProficiency + 5: Kemahiran Memotong Pohon +5
OreProficiency + 5: Kemahiran Penambangan +5
MaxEnergy + 10: Energi Maksimum +10
Unlock Energy Recipes: Membuka Resep Energi","84,382#608#1271,10000","1,2,3",talentTree-27,27,1,4,1,Gather Combat 4,20000,3,3600,3,26,2500
0," GrassAtt + 5
TreeAtt + 5
OreAtt + 5
GrassProficiency + 5
TreeProficiency + 5
OreProficiency + 5
MaxEnergy + 10
Membuka Resep Energi ","85,383#609#1272,10000","1,2,3",talentTree-28,28,1,5,1,Gather Combat 5,30000,3,7200,4,27,5000
0,"Serangan Rumput + 5
Serangan Pohon + 5
Serangan Bijih + 5
Kemahiran Memetik Rumput + 5
Kemahiran Memotong Pohon + 5
Kemahiran Penambangan + 5
Energi Maks + 10
Buka Resep Energi","86,384#610#1273,10000","1,2,3",talentTree-29,29,1,6,1,Gather Combat 6,40000,3,14400,5,28,8000
0,"Serangan Rumput +5
Serangan Pohon +5
Serangan Bijih +5
Kemahiran Memetik Rumput +5
Kemahiran Memotong Pohon +5
Kemahiran Penambangan +5
Energi Maksimum +10
Membuka Resep Energi","87,623#611#1274,10000","1,2,3",talentTree-30,30,1,7,1,Gather Combat 7,50000,3,28800,6,29,11500
0,"Serangan Rumput + 5
Serangan Pohon + 5
Serangan Bijih + 5
Kemahiran Memetik Rumput + 5
Kemahiran Memotong Pohon + 5
Kemahiran Penambangan + 5
Energi Maksimum + 10
Buka Resep Energi","88,618#612#1275,10000","1,2,3",talentTree-31,31,1,8,1,Gather Combat 8,60000,3,57600,7,30,15500
0,"Serangan Rumput + 5
Serangan Pohon + 5
Serangan Bijih + 5
Kemahiran Memetik Rumput + 5
Kemahiran Memotong Pohon + 5
Kemahiran Penambangan + 5
Energi Maksimum + 10
Buka Resep Energi","89,622#613#1276,10000","1,2,3",talentTree-32,32,1,9,1,Gather Combat 9,70000,3,115200,8,31,20000
-3,"Membuka Resep Set Peralatan LV 1, membuka resep Pengecoran dan resep kerajinan fragmen saat mencapai level maksimum.",70#74#201;111#178;177#179#180,2,talentTree-33,33,0,1,3,Gather Set Recipes,0,3,"131,131,131",0,,"0,0,0"
-3," Membuka Resep Set Peralatan LV 2, membuka resep Pengecoran dan resep kerajinan fragmen saat mencapai level maksimum.",71#75#203;112#182;181#183#184#480#468#477#461#478#465#476#474#956#960#963#969#971#972#973#975,2,talentTree-34,34,0,2,3,Gather Set Recipes,0,3,"262,262,262",0,33,"0,0,0"
-1,"Sentuhan Manis
",415,0,talentTree-45,45,0,3,1,Lovely Touch,0,1,420,0,23,0
-1,"Keterampilan Efisiensi - Cangkul Kelompok
",103,0,talentTree-46,46,0,4,1,Earth Splitter,0,1,840,0,45,1500
2,"Kemahiran Penanaman + 4
",246,1,talentTree-48,48,0,3,1,Farm - Profisi panen,0,1,420,0,81,0
-2," Buka Resep Esensi Hewan Peliharaan Tingkat 2
",156,2,talentTree-49,49,0,2,1,Pet Essence Recipes,0,1,210,0,72,0
2,"Kemahiran Penanaman + 4
",249,1,talentTree-50,50,0,4,1,Farm - Profisi panen,0,1,840,0,48,1500
-1,"Meningkatkan durasi pingsan musuh
",333,1,talentTree-52,52,0,3,1,Trampling - Enhance,0,2,323,0,10,0
-2," Charge, dorong musuh, 50% kerusakan
",122,0,talentTree-54,54,0,2,1,Bull Rush,0,2,175,0,,0
-2,"Mengurangi kecepatan gerakan musuh
",336,1,talentTree-55,55,0,3,1,Bull Rush - Enhance,0,2,323,0,54,0
-2,"Mengurangi kecepatan gerakan musuh
",337,1,talentTree-56,56,0,4,1,Bull Rush - Enhance,0,2,646,0,55,1500
-2,"Mendorong musuh dalam area kecil di depan Anda dan melompat mundur.
",123,0,talentTree-57,57,0,5,1,Escape: Melarikan diri,0,2,1292,0,56,2000
-3,"Memberikan kerusakan tinggi pada 5 monster di sekitarnya
",137,0,talentTree-60,60,0,3,1,Slight Flurry,0,2,323,0,,0
-1,"Membuat musuh pusing dalam jangkauan tertentu, tidak dapat mengenai saat melepaskan skill
",485,0,talentTree-61,61,0,4,1,War Trampling,0,2,646,0,52,1500
