dropList-int[][],id-int
"32,1,1,7500;146,1,1,2500",7
"31,1,1,7500;148,1,1,2500",8
"30,1,1,7500;147,1,1,2500",9
"33,1,1,7500;151,1,1,2500",10
"35,1,1,7500;149,1,1,2500",11
"34,1,1,7500;150,1,1,2500",12
"36,1,1,7500;153,1,1,2500",13
"37,1,1,7500;152,1,1,2500",14
"38,1,1,7500;154,1,1,2500",15
"70,1,1,10000,40;146,1,1,2500,41;146,1,1,2500",16
"71,1,1,10000,40;147,1,1,2500,41;147,1,1,2500",17
"72,1,1,10000,40;148,1,1,2500,41;148,1,1,2500",18
"73,1,1,10000,40;149,1,1,2500,41;149,1,1,2500",19
"74,1,1,10000,40;150,1,1,2500,41;150,1,1,2500",20
"75,1,1,10000,40;151,1,1,2500,41;151,1,1,2500",21
"76,1,1,10000,40;152,1,1,2500,41;152,1,1,2500",22
"77,1,1,10000,40;153,1,1,2500,41;153,1,1,2500",23
"78,1,1,10000,40;154,1,1,2500,41;154,1,1,2500",24
"58,1,1,7500;148,1,1,2500,41",26
"62,1,1,7500;146,1,1,2500,41",27
"63,1,1,7500;151,1,1,2500,41",28
"64,1,1,7500;69,1,1,1000;154,1,1,2500,41",29
"59,1,1,7500;149,1,1,2500,41",30
"60,1,1,7500;61,1,1,1000;152,1,1,2500,41",31
"66,1,1,7500;147,1,1,2500",32
"67,1,1,7500;150,1,1,2500",33
"68,1,1,7500;153,1,1,2500;65,1,1,1000",34
"178,1,1,7500",36
"179,1,1,7500",37
"177,1,1,7500",38
"182,1,1,7500",39
"180,1,1,7500",40
"181,1,1,7500",41
"183,1,1,7500",42
"184,1,1,7500",43
"185,1,1,7500",44
"44,1,1,50;47,1,1,50;50,1,1,50;53,1,1,50;56,1,1,50;33,1,2,7500;34,1,2,7500;35,1,2,7500",45
"45,1,1,50;48,1,1,50;51,1,1,50;54,1,1,50;57,1,1,50;36,1,2,7500;37,1,2,7500;38,1,2,7500",46
"365,1,1,7500;413,1,1,2500",47
"366,1,1,7500;414,1,1,2500",48
"367,1,1,7500;415,1,1,2500",49
"368,1,1,7500;416,1,1,2500",50
"369,1,1,7500;417,1,1,2500",51
"370,1,1,7500;418,1,1,2500",52
"371,1,1,7500;419,1,1,2500",53
"372,1,1,7500;420,1,1,2500",54
"373,1,1,7500;421,1,1,2500",55
"374,1,1,10000;413,1,1,2500",56
"375,1,1,10000;414,1,1,2500",57
"376,1,1,10000;415,1,1,2500",58
"377,1,1,7500;416,1,1,2500",59
"378,1,1,7500;417,1,1,2500",60
"379,1,1,7500;418,1,1,2500",61
"380,1,1,7500;419,1,1,2500",62
"381,1,1,7500;420,1,1,2500",63
"382,1,1,7500;421,1,1,2500",64
"383,1,1,10000",65
"384,1,1,10000",66
"385,1,1,10000",67
"386,1,1,10000",68
"387,1,1,7500",69
"388,1,1,10000",70
"389,1,1,10000",71
"390,1,1,10000",72
"391,1,1,10000",73
"392,1,1,7500",74
"393,1,1,7500",75
"394,1,1,7500",76
"395,1,1,7500",77
"396,1,1,7500",78
"397,1,1,7500",79
"398,1,1,7500",80
"399,1,1,7500",81
"400,1,1,7500",82
,83
,84
,85
"462,1,1,10000",86
"463,1,1,10000",87
