assetRes-string,dropId-int,exp-int,grassDef-int,homeAction-int,icon-string,id-int,lv-int,maxActionValue-int,name-string,oreDef-int,rankScore-int,requiredProficiency-int,totemScore-int,treeDef-int
2D_caijiziyuan_shumu01_1,27,15,0,6,2D_caijiziyuan_shumu01_1,4,1,750,Lv 1 一般的な木材,0,14,150,1,100
Slice_12,27,15,0,6,Slice_12,5,1,750,Lv 1 一般的な木材,0,14,150,1,100
2D_caijiziyuan_xianrenzhang,28,21.21320344,0,6,2D_caijiziyuan_xianrenzhang,6,2,1500,Lv 2 砂漠の木の木,0,20,300,2,200
2D_caijiziyuan_hongguoshi,34,30,300,5,2D_caijiziyuan_hongguoshi,7,3,2250,Lv 3 テキーラ,0,28,450,3,0
2D_caijiziyuan_shikuai_3,26,15,0,7,2D_caijiziyuan_shikuai_3,8,1,750,Lv 1 石,100,14,150,1,0
2D_caijiziyuan_heitikuang,30,21.21320344,0,7,2D_caijiziyuan_heitikuang,9,2,1500,Lv 2 黒い鉄鉱石,200,20,300,2,0
2D_caijiziyuan_hongbaoshi,31,30,0,7,2D_caijiziyuan_hongbaoshi,11,3,2250,Lv 3 赤い水晶鉱山,300,28,450,3,0
Slice_11,32,15,100,5,Slice_11,14,1,750,Lv 1 植物繊維,0,14,150,1,0
2D_caijiziyuan_bingyuanzhiwu,33,21.21320344,200,5,2D_caijiziyuan_bingyuanzhiwu,15,2,1500,Lv 2 アイスキノコ,0,20,300,2,0
2D_caijiziyuan_anheimucai,29,30,0,6,2D_caijiziyuan_anheimucai,16,3,2250,Lv 3 ダークウッド,0,28,450,3,300
homeresource-19,0,0,100,5,2D_caijiziyuan_cao2 ,19,1,750,Lv 1 植物繊維,0,14,150,1,0
homeresource-20,0,0,100,5,2D_caijiziyuan_cao1,20,1,750,Lv 1 植物繊維,0,14,150,1,0
2D_caijiziyuan_cao3,0,0,100,5,2D_caijiziyuan_cao3,21,1,750,Lv 1 植物繊維,0,14,150,1,0
homeresource-22,0,0,100,5,2D_caijiziyuan_zhuangshicaoye_4,22,1,750,,0,14,150,1,0
homeresource-24,0,0,100,5,2D_caijiziyuan_zhuangshicaoye_3,24,1,750,,0,14,150,1,0
homeresource-25,0,0,100,5,2D_caijiziyuan_zhuangshicaoye_2,25,1,750,,0,14,150,1,0
homeresource-26,0,0,100,5,2D_caijiziyuan_zhuangshicaoye_1,26,1,750,,0,14,150,1,0
homeresource-27,0,0,100,5,2D_caijiziyuan_zhuangshikucaoye_4,27,1,750,,0,14,150,1,0
homeresource-28,0,0,100,5,2D_caijiziyuan_zhuangshikucaoye_3,28,1,750,,0,14,150,1,0
homeresource-29,0,0,0,6,2D_caijiziyuan_kushu_1,29,1,750,Lv 1 一般的な木材,0,14,150,1,100
