boothFees-int[][],canDropScene-int[],canMint-int,desc-string,destructible-bool,givenSkillId-int,icon-string,id-int,name-string,onChainDelay-int,quality-int[],resourceInstructions-int[],sellable-bool,subType-int,talentId-int[],tokenTaskLevel-int[],tokenTaskRefreshType-int,type-int,useLv-int,userType-int
"792,1","1,3,4",1,"このアイテムは合成によって入手できます。使用すると特殊効果が発生します。

-------
ペットフィードはレベル0のペットに適した消耗品であり、ペットの満腹度と成長値を増やすことができます。天然の植物と栄養素から作られており、さわやかな味で消化吸収が容易です。各パックのペットフィードは軽量で持ち運びに便利であり、ペット飼い主にとって必須のアイテムです。
",0,27,item-icon-28,28,小さな餌,0,1,434,1,0,1,"1,0",0,3,0,1
"792,1","1,3,4",1,"このアイテムは合成によって入手できます。使用すると特殊効果が発生します。

-------
動物の餌は、健康な成長を維持するために必要な栄養素を提供する消耗品です。さまざまな家畜やペットに適しており、生産性と寿命を向上させることができます。
",0,27,item-icon-29,29,大きなフィード,0,1,435,1,0,1,"1,0",0,3,0,1
"792,1","1,3,4",1,"かつて誰かがこの素材を海辺で見かけました。装備やアイテムの製作に使用することができます。

-------
このグリーンスライムは、さまざまな戦闘装備を作るための珍しい原料です。非常に強力な接着力を持ち、さまざまな材料と結合することができます。
",0,0,item-icon-30,30,グリーンスライム,0,1,6,1,0,2,"1,0",1,4,1,1
"792,1","1,3,4",1,"かつて誰かがこの素材を海辺で見かけました。装備やアイテムの製作に使用することができます。

-------
カボチャの蔓は、武器や防具を作るための原料です。堅い質感と優れた耐久性を持ち、戦闘において頼りになる防御力と攻撃力を提供します。
",0,0,item-icon-31,31,カボチャの蔓,0,1,5,1,0,2,"1,0",1,4,1,1
"792,1","1,3,4",1,"かつて誰かがこの素材を海辺で見かけました。装備やアイテムの製作に使用することができます。

-------
この種類の有刺鉄線は戦闘用の原料であり、高い強度と耐久性を持つ防御構造物や装備の製造に使用することができます。
",0,0,item-icon-32,32,有刺鉄線,0,1,4,1,0,2,"1,0",1,4,1,1
"793,1","1,3,4",1,"かつて誰かがこの素材を砂漠で見かけました。装備やアイテムの製作に使用することができます。

-------
鉱石から得られるマイニングキャットの尖った牙は、武器や防具を作るための鋭い原料です。鉱山に生息するネコ科の動物から得られ、強力な戦闘能力と敏捷性を持っています。
",0,0,item-icon-33,33,マイナーキャットの牙,0,1,7,1,0,2,2,1,4,2,1
"793,1","1,3,4",1,"かつて誰かがこの素材を草原で見かけました。装備やアイテムの製作に使用することができます。

-------
この軽量フィルムは戦闘用の原料であり、さまざまな防御装備や武器の製造に使用することができます。
",0,0,item-icon-34,34,軽量フィルム,0,1,8,1,0,2,2,1,4,2,1
"793,1","1,3,4",1,"かつて誰かがこの素材を峡谷で見かけました。装備やアイテムの製作に使用することができます。

-------
グラスヘッドクラウンは、グラスデーモンの頭部から作られた2段階目の戦闘用素材で、強力な戦闘能力を持っています。
",0,0,item-icon-35,35,グラスヘッドクラウン,0,1,9,1,0,2,2,1,4,2,1
"794,1","1,3,4",1,"かつて誰かがこの素材を黒い森で見かけました。装備やアイテムの製作に使用することができます。

-------
このフッククローは、硬い金属で作られており、非常に鋭く、戦闘に適しています。その形状は細身であり、敵の防御を容易に貫通することができます。
",0,0,item-icon-36,36,スレンダーフック,0,1,10,1,0,2,3,1,4,3,1
"794,1","1,3,4",1,"かつて誰かがこの素材を赤い森で見かけました。装備やアイテムの製作に使用することができます。

-------
赤い毛皮は優れた防御性能を持つ高級な毛皮であり、戦闘装備の製作に適しています。高い収集難度を持つ珍しい原料です。
",0,0,item-icon-37,37,赤い毛皮,0,1,11,1,0,2,3,1,4,3,1
"794,1","1,3,4",1,"かつて誰かがこの素材を雪山で見かけました。装備やアイテムの製作に使用することができます。

-------
これは戦闘で入手できる珍しい原料です。氷と雪のような外観で、触れたくなるようなふわふわした質感があります。
",0,0,item-icon-38,38,氷雪,0,1,12,1,0,2,3,1,4,3,1
