describe-string,id-int,module-string,value-string
资源不存在,5001,家园错误码,ペットがいっぱいです
操作不支持,5002,家园错误码,放棄
家园道具扣除异常,5003,家园错误码,置き換え
捕捉动物请求异常,6001,畜牧错误码,動物の捕獲リクエスト例外
捕捉动物无效,6002,畜牧错误码,動物の捕獲が無効です
,10001001,通用,OK
,10001002,通用,キャンセル
,10001003,通用,確認
,10001004,通用,閉じる
,10001005,通用,接続中
,10001006,通用,サービスが混雑しています。しばらくお待ちください
,10001007,通用,ウォレットが切断されました。アプリケーションを再起動してください。
,10001008,通用,システムのプロンプト
,10001009,通用,アプリケーションのバージョンが更新されました。アプリケーションを再起動してください。
,10001010,通用,ゲーム開始
,10001011,通用,獲得{0}
,10001012,通用,アイテム不足。
,10001013,通用,PvPエリアではアセットを売ることはできません。
,10001014,通用,ウィッシュプール
,10001015,通用,戦闘願いの木
,10001016,通用, 願いの木を集める
,10001017,通用, 倉庫を借りる。
,10001018,通用,オープニング
,10001019,,要件なし
,10001020,, 能力レベル
,10001021,, 必要
,10001022,, 参加
,10001023,, 能力レベルが足りません。
,10004021,装备属性-生命上限,最大HP
,10004022,装备属性-生命恢复,HP回復
,10004023,装备属性-攻击点数,攻撃ポイント
,10004024,装备属性-攻击速度,攻撃速度
,10004025,装备属性-防御点数,防御ポイント
,10004026,装备属性-暴击点数,クリティカルポイント
,10004027,装备属性-暴击伤害,クリティカルダメージ
,10004028,装备属性-命中点数,ヒットポイント
,10004029,装备属性-闪避点数,回避ポイント
,10004030,装备属性-移动速度,移動速度
,10022007,画板,Lumiterra
,10027010,机器人,LV.{0}
,10060001,UI tips EXP,モンスターを倒したり、タスクを完了するなど、経験値を得る方法があります。
,10060002,UI tips token,バウンティミッションを1ラウンド完了するたびに、多くの経験値を得ることができます。LNCOはカーブや暗号通貨取引所で購入することができます。また、ゲームアイテムをマーケットプレイスで売ることでもLNCOを入手することができます。
,10060003,UI tips Proficiency,武器の強さ、装備の強さ、ポーションの作成は、それぞれのクラフトスキルの熟練度を上げます。
,10070001,通用提示文案-外观穿戴1,外観を着用する前に、装備を着用する必要があります。
,10070002,通用提示文案-外观穿戴2,現在の装備と同じ種類の外観のみを着用できます。
,10080013,大世界钱包地址复制提示,ウォレットアドレスがコピーされました
,10080014,大世界NFT物件拆除确认提示,削除を確認してください
,10080015,大世界NFT物件拆除不返还提示,Ditaminは返却されません
,10080016,聊天窗文本复制提示,テキストがコピーされました
,10080017,大世界放弃领地弹窗,"この土地を放棄してもよろしいですか？({0}, {1})"
,10080018,大世界24小时预计奖励tips,予想24時間の収益：{0} Ditamin
,10080019,大世界超出占地限制tips,報酬制限：{0} 占有された土地
,10080020,聊天禁言提示,あなたは禁止され、解除されるまでチャットすることはできません
,10080021,创建地图达到上限提示,マップ作成の最大制限は{0}です。
,10080022,销毁道具提示,{0} * {1}を破壊しますか？破壊後は復元できません！
,10080023,销毁道具成功提示,破壊成功！
,10081001,实体地图操作界面,マップは既に実行中で、これが実行中のマップの最後のポータルです。現在のポータル設定を変更すると、ライブマップのプレイヤーのゲームプレイ体験に影響が出ます。確認してください。
,10081002,实体地图操作界面,マップはクラウドサーバー上で実行されており、現在のサービス料金は：0Ditamin/時間です。
,10081003,实体地图操作界面,マップは既に実行中で、これが実行中のマップの最後のポータルです。現在のポータル設定を変更すると、ライブマップのプレイヤーのゲームプレイ体験に影響が出ます。確認してください。
,10081004,实体地图操作界面,マップは既に実行中です。マップデータを更新すると、ライブマップのプレイヤーのゲームプレイ体験に影響が出ます。確認してください。
,10081005,实体地图操作界面,マップは既に実行中です。マップを閉じると、ライブマップのプレイヤーのゲームプレイ体験に影響が出ます。確認してください。
,10082001,功能提示,テキストを音声に変換する機能は一時的に利用できません
,10089001,打地鼠,モグラたたき
,10089002,记数字和符号,キャラクターメモリー
,10089003,打气球,風船割り
,10089004,裁剪艺术,欠けているピース
,10089005,旋转剪影,回転するシルエット
,10089006,数方块,ブロックの計算
,10089007,调整时钟,時計の調整
,10089008,鸟笼洗牌,鳥かごのシャッフル
,10089009,敲积木求和,ブロックの割れ目
,10089010,卡片记忆,カードメモリー
,10089011,逆转记忆,逆さまメモリー
,10089012,PVP邀请链接复制提示,招待リンクがコピーされました
,10089013,PVP PK房间准备超时提示,PKルームのタイムアウト
,10089014,PVP主动认输,ゲームを放棄しますか？
,10089015,装备插槽升级提示,装備スロットがレベルアップしました！
,10089016,装备插槽等级不足提示,スロットのレベルが足りません
,10090001,打地鼠小游戏提示1,同じ絵をクリックしてください！
,10090002,快闪记忆提示1,数字と記号を覚えてください！
,10090003,快闪记忆提示2,{0}桁
,10090004,顺序气球提示,小さい数字から順に風船を割ってください！
,10090005,积木计算提示,ブロックの数は何個ですか？
,10090006,旋转剪影提示,どれがシルエットと一致しますか？
,10090007,剪裁艺术提示,どの絵が最も適していますか？
,10090008,调整时钟quiz提示,時計を調整してください！
,10090009,拾取非归属于自己的道具提醒,拾うことはできません、それはあなたのものではありません
