bodyCapacity-int,captureHp-int,captureSkillCastPool-int[][],combatDist-int,combatPotentiality-int[],desc-string,exp-int,farmPotentiality-int[],favoriteItem-int[],gatherPotentiality-int[],icon-string,id-int,initialAttribute-int[][],lockEnemyRange-int,name-string,pushDist-int,pushDmg-int,roleAssetID-int,skillCastPool-int[][],dropId-int
66,40,"169,100",5000,"800,1200",Big Dryad,19,"800,1200",30,"800,1200",monster-icon-4,4,"13,85,1;15,105,1;11,825,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",240,ドライアド,30,20,13,"34,100",
30,20,"169,100",3000,"800,1200",,17,"800,1200",6961,"800,1200",monster-icon-6,6,"13,105,1;15,90,1;11,750,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",500,金属の犬,30,20,10,"179,100;359,100;31,100",7
30,20,"169,100",4000,"800,1200",,19,"800,1200",6961,"800,1200",monster-icon-7,7,"13,100,1;15,80,1;11,600,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",800,カボチャの悪魔,30,20,11,"32,100;180,100;40,100;361,100",8
30,20,"169,100",3000,"800,1200",,17,"800,1200",6961,"800,1200",monster-icon-8,8,"13,85,1;15,105,1;11,825,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",500,サボテンの戦士,30,30,12,"33,100;181,100;360,100",9
30,30,"169,100",3000,"800,1200",,18,"800,1200",6961,"800,1200",monster-icon-9,9,"13,85,1;15,105,1;11,825,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",500,鉱石を持つ猫,30,20,28,"112,100;184,100;363,100",10
30,30,"169,100",3000,"800,1200",,23,"800,1200",6961,"800,1200",monster-icon-10,10,"13,105,1;15,90,1;11,750,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",500,リーフラーカー,30,20,29,"111,100;183,100;364,100",11
30,30,"169,100",4000,"800,1200",,21,"800,1200",6961,"800,1200",monster-icon-11,11,"13,100,1;15,80,1;11,600,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",550,ブンブン蜂,30,20,27,"96,100;182,100;346,100;362,100",12
30,40,"169,100",5000,"800,1200",,26,"800,1200",6961,"800,1200",monster-icon-12,12,"13,100,1;15,80,1;11,600,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,カオス・スペクター,20,20,37,"206,100;207,100;366,100",13
30,40,"169,100",5000,"800,1200",,21,"800,1200",6961,"800,1200",monster-icon-13,13,"13,105,1;15,90,1;11,750,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",700,クリムゾンスラッガー,20,20,36,"208,100;209,100;365,100",14
30,40,"169,100",5000,"800,1200",,24,"800,1200",6961,"800,1200",monster-icon-14,14,"13,85,1;15,105,1;11,825,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",600,フロストミニオン,10,20,31,"210,100;211,100;367,100",15
50,200010,,0,"800,1200",,42,"800,1200",,"800,1200",monster-icon-18,18,"13,100,1;15,100,1;11,30000,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",2000,サイバーレス,10,200,56,"369,100;370,100;371,100",45
100,300010,,0,"800,1200",,48,"800,1200",,"800,1200",monster-icon-19,19,"13,100,1;15,100,1;11,30000,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",2000,フロストロード,10,500,57,"372,100;373,100;374,100",46
