classifyLevel-int,desc-string,displayType-int,icon-string,id-int,level-int,matItemId-int[][],name-string,productId-int[][],productTypes-int[],proficiency-int,recipesSort-int,sourceText-int,timeCost-int,timesLimit-int,type-int,unlockCondition-int,unlockType-int,useDitamin-int,useToken-int
1,クラフトLv1の石剣,2,recipe-icon-44,44,1,"210,1;213,1",Lv1石剣レシピ,"40,1,1,10000",1,0,10900044,1,10,-,2,0,4,0,0
2,クラフトLv2 鉄の剣,2,recipe-icon-45,45,2,"207,2;211,1;214,1",Lv2鉄の剣のレシピ,"41,1,1,6000;41,2,1,4000",1,0,50800045,1,10,-,2,0,4,0,0
3,クリスタルソードをLv3にする,2,recipe-icon-46,46,3,"208,2;212,1;215,1",Lv3クリスタルソードレシピ,"42,1,1,6000;42,2,1,4000",1,0,50700046,1,10,-,2,0,4,0,0
1,鉄の鍬をLv1にする,2,recipe-icon-62,62,1,"207,2",Lv1 鉄の鍬のレシピ,"80,1,1,10000",1,0,10900062,1,10,-,1,0,4,0,0
2,Lv2の呪われた鍬を作る,2,recipe-icon-63,63,2,"216,2;208,2",Lv2 呪われた鍬のレシピ,"81,1,1,10000",1,0,10800063,1,10,-,1,0,4,0,0
3,Lv3の祝福された鍬を作る,2,recipe-icon-64,64,3,"217,2;209,2",Lv3 祝福の鍬レシピ,"82,1,1,10000",1,0,10700064,1,10,-,1,0,4,0,0
1,クラフトLv1 鉄瓶,2,recipe-icon-66,66,1,"207,2",Lv1鉄瓶レシピ,"84,1,1,10000",1,0,10900066,1,10,-,1,0,4,0,0
2,クラフトLv2 呪いの水筒,2,recipe-icon-67,67,2,"216,2;208,2",Lv2 呪われた釜のレシピ,"85,2,1,4000;85,1,1,6000",1,0,50800067,1,10,-,1,0,4,0,0
3,Lv3の祝福の水筒を作る,2,recipe-icon-68,68,3,"217,2;209,2",Lv3 祝福のやかんレシピ,"86,1,1,10000",1,0,10700068,1,10,-,1,0,4,0,0
1,Lv1の鉄のつるはしを作る,2,recipe-icon-70,70,1,"216,2",Lv1 鉄のつるはし レシピ,"88,1,1,10000",1,0,10900070,1,10,-,3,0,4,0,0
2,クラフトLv2 呪われたつるはし,2,recipe-icon-71,71,2,"210,1;213,1;217,2",Lv2 呪われたつるはしのレシピ,"89,1,1,6000;89,2,1,4000",1,0,50800071,1,10,-,3,0,4,0,0
3,Lv3の祝福原稿を作成,2,recipe-icon-72,72,3,"211,1;214,1;218,2",Lv3 祝福写本レシピ,"90,1,1,10000",1,0,10700072,1,10,-,3,0,4,0,0
