armatureRes-string,attackSound-string,deathSound-string,desc-string,hurtedCritSound-string,hurtedSound-string,id-int,patrolRadius-int,patrolSpd-int,idleSound-string,aiName-string,patrolPath-string
boy_armature_SkeletonData,GGGrasslands - Box Destroy (Split) - Hit_mp3,GGGrasslands - Death_mp3,男玩家,GGGrasslands - Jump (Land)_mp3,GGGrasslands - Hit 2_mp3,1,5,2,,,
boy_armature_SkeletonData,GGGrasslands - Box Destroy (Split) - Hit_mp3,GGGrasslands - Death_mp3,女玩家,GGGrasslands - Jump (Land)_mp3,GGGrasslands - Hit 2_mp3,2,5,2,,,
wildboar,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Boar,GGGrasslands - Hit 2_mp3,meethited_mp3,3,5,2,wildboarout_mp3,,
grape_dog,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Metal Mutt,GGGrasslands - Hit 2_mp3,meethited_mp3,10,5,2,,MonsterAI-Attack-Grape,
pumpkin,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Pumpkin Fiend,GGGrasslands - Hit 2_mp3,meethited_mp3,11,5,2,,MonsterAI-Spd-Pumpkin,
cactus,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Cactus Warrior,GGGrasslands - Hit 2_mp3,meethited_mp3,12,5,2,,MonsterAI-Def-Cactus,
big_Dryad,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Big Dryad,GGGrasslands - Hit 2_mp3,meethited_mp3,13,5,2,,,
bigwolfking,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,WolfKing,GGGrasslands - Hit 2_mp3,meethited_mp3,14,5,2,,,
Spine GameObject (pang),,,Pang,,,15,5,2,,,
Spine GameObject (hunhun),,,Hun,,,16,5,2,,,
crystal_lion,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Buzz Buddy,GGGrasslands - Hit 2_mp3,meethited_mp3,27,5,2,,MonsterAI-Spd-BuzzBuddy,
Mine_cat,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Mine Cat,GGGrasslands - Hit 2_mp3,meethited_mp3,28,5,2,,MonsterAI-Def-MineCat,
Crystalback_Beast,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Leafy Lurker,GGGrasslands - Hit 2_mp3,meethited_mp3,29,5,2,,MonsterAI-Attack-LeafLurker,
Spine_Monster_FrostyPaws,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Frosty Paw,GGGrasslands - Hit 2_mp3,meethited_mp3,31,5,2,,MonsterAI-Def-FrostyPow,
Tramp-Beach,,,流浪汉-海边,,,32,5,2,,,
Blacksmith-MainTown,,,铁匠-主城,,,33,5,2,,,
Mayor-MainTown,,,镇长-主城,,,34,5,2,,,
Pharmacist-MainTown,,,药剂师-主城,,,35,5,2,,,
Spine_Monster_CrimsonGnasher,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Crimson Gnasher,GGGrasslands - Hit 2_mp3,meethited_mp3,36,5,2,,MonsterAI-Attack-Crimson,
Spine_Monster_ChaosWraith,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Chaos Wraith,GGGrasslands - Hit 2_mp3,meethited_mp3,37,5,2,,MonsterAI-Spd-ChaosWraith,
Spine_NPC_Quincy,,,NPC Quincy,,,38,5,2,,NPCAI-Wild-Quincy,Wild-Quincy
Spine_NPC_Terrance,,,NPC Terrance,,,39,5,2,,,
