desc-string,id-int,parameters_1-int[],parameters_2-int[][],type-int
モンスターの防御力が強化されました。,1,2,650,2
モンスターの攻撃力が強化されました。,2,2,651,2
プレイヤーの防御力が弱体化しました。,3,1,652,2
プレイヤーの攻撃力が弱体化しました。,4,1,653,2
モンスターの最大HPが増加しました。,5,2,654,2
モンスターの防御力が弱体化しました。,6,2,655,2
モンスターの攻撃力が弱体化しました。,7,2,656,2
プレイヤーの防御力が強化されました。,8,1,657,2
プレイヤーの攻撃力が強化されました。,9,1,658,2
モンスターの最大HPが減少しました。,10,2,659,2
戦闘中にランダムなデバフイベントが発生しました。,11,,"10000,1;10000,2;10000,3;10000,4;10000,5",1
戦闘中にランダムなバフイベントが発生しました。,12,,"10000,6;10000,7;10000,8;10000,9;10000,10",1
採集中にランダムなデバフイベントが発生しました。,13,,"10000,17;10000,18;10000,19;10000,20",1
採集中にランダムなバフイベントが発生しました。,14,,"10000,21;10000,18;10000,23;10000,24",1
農業中にランダムなデバフイベントが発生しました。,15,,"10000,25;10000,26;10000,28;10000,29;10000,30",1
農業中にランダムなバフイベントが発生しました。,16,,"10000,31;10000,32;10000,34;10000,35;10000,36",1
採集アイテムの防御力が強化されました。,17,5,"60,1,150,60,4;61,1,150,61,4;62,1,150,62,4",3
採集アイテムの最大進行値が強化されました。,18,5,"76,1,100,76,4",3
プレイヤーの採集攻撃力が弱体化しました。,19,1,660,2
プレイヤーの移動速度が低下しました。,20,1,661,2
採集アイテムの防御力が弱体化しました。,21,5,"60,1,-150,60,4;61,1,-150,61,4;62,1,-150,62,4",3
採集アイテムの最大進行値が弱体化しました。,22,5,"76,1,-100,76,4",3
プレイヤーの採集攻撃力が強化されました。,23,1,662,2
プレイヤーの移動速度が増加しました。,24,1,663,2
作物の水要求量が増加しました。,25,8,"71,1,100,71,4",3
作物の熟練度要件が増加しました。,26,8,"73,1,25,73,4",3
作物が前の成長段階に戻りました。,27,,"1,-1",4
作物に再び水をやる必要があります。,28,,"2,0",4
プレイヤーの水やり速度が遅くなりました。,29,1,664,2
プレイヤーの植栽熟練度が弱まりました。,30,1,665,2
作物の水の必要量が減少しました。,31,8,"71,1,-100,71,4",3
作物の熟練度要件が減少しました。,32,8,"73,1,-25,73,4",3
作物が次の成長段階に入りました。,33,,"1,1",4
すべての作物に水をやりました。,34,,"2,1",4
プレイヤーの水やり速度が増加しました。,35,1,666,2
プレイヤーの植栽熟練度が向上しました。,36,1,667,2
プレイヤーの収集ステータスの再計算。,37,1,668,2
収集アイテムのステータスの再計算。,38,5,,3
"@@[1]All crops growth speed has increased.{0}@@

すべての作物の成長速度が上昇しました。",39,8,,3
