designateOptions-string,details-string,difficulty-int,expReward-int[][],id-int,isSelfEnd-bool,itemReward-int,name-string,reputation-int,type-int,level-int[][],preTaskReq-int[],chanceOptions-string,unlockDungeon-int[]
"{""options"":[{""optionType"":2,""value"":""134,1"",""guiderPoint"":0}]}",愛と平和のために、指定された場所に行ってください。,0,"1,147",1,0,11,10001,0,2,,,,
"{""options"":[{""optionType"":1,""value"":""134,2"",""guiderPoint"":0},{""optionType"":2,""value"":""134,1"",""guiderPoint"":0}]}",愛と平和のために、指定された場所に行ってください。,0,"1,147",2,0,11,10002,0,2,"1,1;2,1",1,,
"{""options"":[{""optionType"":3,""value"":""30,1"",""guiderPoint"":0}]}",愛と平和のために、指定された場所に行ってください。,0,"1,147",3,0,11,10003,0,2,"2,2",2,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}",愛と平和のために、指定された場所に行ってください。,0,"1,147",4,0,11,10004,0,2,"2,3",3,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}",愛と平和のために、指定された場所に行ってください。,0,"1,147",5,0,11,10005,0,2,"2,4",4,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}",愛と平和のために、指定された場所に行ってください。,0,"1,147",6,0,11,10006,0,2,,5,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}",愛と平和のために、指定された場所に行ってください。,0,"1,147",7,1,11,10007,0,2,,5,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}",愛と平和のために、指定された場所に行ってください。,0,"1,147",8,1,11,10008,0,2,,"6,7",,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}",愛と平和のために、指定された場所に行ってください。,0,"1,147",9,1,11,旅行,0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}",愛と平和のために、指定された場所に行ってください。,0,"1,147",10,1,11,旅行,0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}",愛と平和のために、指定された場所に行ってください。,0,"1,147",11,1,11,旅行,0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}",愛と平和のために、指定された場所に行ってください。,0,"1,147",12,1,11,旅行,0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}",愛と平和のために、指定された場所に行ってください。,0,"1,147",13,1,11,旅行,0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}",愛と平和のために、指定された場所に行ってください。,0,"1,147",14,1,11,旅行,0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}",愛と平和のために、指定された場所に行ってください。,0,"1,147",15,1,11,旅行,0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}",愛と平和のために、指定された場所に行ってください。,0,"1,147",16,1,11,旅行,0,2,,,,
,愛と平和のために、これらをください。,0,"3,84",17,1,24,収集,0,,,,"{""options"":[{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0},{""optionType"":1,""value"":""70,10,100"",""guiderPoint"":0},{""optionType"":1,""value"":""33,2,300"",""guiderPoint"":0},{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0}]}",
,愛と平和のために、これらをください。,0,"3,84",18,1,24,収集,0,,,,"{""options"":[{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0},{""optionType"":1,""value"":""58,3,200"",""guiderPoint"":0},{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0}]}",
,愛と平和のために、これらをください。,0,"3,84",19,1,24,収集,0,,,,"{""options"":[{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0},{""optionType"":1,""value"":""58,3,200"",""guiderPoint"":0},{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0}]}",
,愛と平和のために、これらをください。,0,"3,84",20,1,24,収集,0,,,,"{""options"":[{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0},{""optionType"":1,""value"":""58,3,200"",""guiderPoint"":0},{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0}]}",
"{""options"":[{""optionType"":4,""value"":""111,3"",""guiderPoint"":30107}]}",ガンナーを助けてカボチャのコウモリを倒してください。,0,"2,465",21,0,0,新人,0,1,,,,30001
"{""options"":[{""optionType"":13,""value"":""878,84,586,5"",""guiderPoint"":30109}]}",ナッシュを見つけて情報を彼に持って行ってください。,0,,22,0,158,知能,0,2,,,,
"{""options"":[{""optionType"":15,""value"":""1,1"",""guiderPoint"":0},{""optionType"":15,""value"":""11,1"",""guiderPoint"":0}]}","キーを押して才能ツリーインターフェースを開きます
- メインブランチをアップグレードするを選択します
- War Stompスキルをアップグレードするを選択します
- スキルをクイックスロットに配置します",0,"2,50;3,50;1,50",23,0,209,ヘルプ,0,1,,21,,
"{""options"":[{""optionType"":3,""value"":""39,1"",""guiderPoint"":0}]}",木の剣を作成します,0,"2,50;3,50;1,50",233,0,210,木の剣を作る,0,1,,23,,
"{""options"":[{""optionType"":2,""value"":""146,5"",""guiderPoint"":3601},{""optionType"":2,""value"":""147,5"",""guiderPoint"":3601},{""optionType"":2,""value"":""148,5"",""guiderPoint"":3601}]}","畑で鍬を使って土を緩め、緩んだ土に種をまきます。
畑に竹の種5個、クローバーの種5個、にんじんの種5個を植えます。",0,"1,261",24,0,31,鍬と種まき,0,2,,45,,
"{""options"":[{""optionType"":1,""value"":""70,2"",""guiderPoint"":3601},{""optionType"":1,""value"":""71,2"",""guiderPoint"":3601},{""optionType"":1,""value"":""72,2"",""guiderPoint"":3601}]}",種を植えた後、それらは成熟する前に3回または4回の辛抱強い水やりが必要です。準備ができたら、それらを収穫するために近づくことができます。その後、サイラスを見つけてください。彼はそれらが必要です。,0,"3,261",25,0,0,辛抱強く水やりと収穫,0,2,,24,,
"{""options"":[{""optionType"":3,""value"":""842,1"",""guiderPoint"":0}]}",ギャザークラフティングを開き、ギャザーエッセンスを精製してください。その前に、十分な材料を入手する必要があります。,0,"3,280",26,0,0,職業の本質,0,1,,27,,
"{""options"":[{""optionType"":17,""value"":""113,1"",""guiderPoint"":30107},{""optionType"":17,""value"":""114,1"",""guiderPoint"":30107},{""optionType"":17,""value"":""115,1"",""guiderPoint"":30107}]}",ギャザーツールを使用して、以下のアイテムを集めてください：,0,"3,280",27,0,197,もっと物を選ぶ,0,1,,213,,
"{""options"":[{""optionType"":15,""value"":""33,1"",""guiderPoint"":0},{""optionType"":3,""value"":""88,1"",""guiderPoint"":0}]}",普通の木材と繊維、石を集めてエッセンスを作りましょう。その後、鉄のつるはしを作ることができます。,0,"3,261",28,0,0,鉄のつるはしを作る,0,2,,228,,
"{""options"":[{""optionType"":3,""value"":""59,1"",""guiderPoint"":20103},{""optionType"":3,""value"":""63,1"",""guiderPoint"":20203},{""optionType"":3,""value"":""67,1"",""guiderPoint"":20201}]}","あなたは才能の木をアップグレードし、装備を作る方法を学びました。より高度な素材を集めてみてください：
ダークアイアン鉱石を手に入れてください。
砂漠の木を手に入れてください。
アイスキャップキノコを手に入れてください。",0,"3,261",29,0,0,より高度な挑戦,0,2,,28,,
"{""options"":[{""optionType"":4,""value"":""6,1"",""guiderPoint"":2101},{""optionType"":4,""value"":""7,1"",""guiderPoint"":3401},{""optionType"":4,""value"":""8,1"",""guiderPoint"":3501}]}","最新の情報に基づいて：
メタルマット - 高い攻撃力を持っています。十分なダメージを与えると、攻撃欲求が減少します。
サボテンの戦士 - 高い防御力を持ち、重い攻撃を使用すると防御を突破できます。
カボチャの悪魔 - 遠隔スキルを持っており、踏みつけることで遠隔スキルを使用できなくすることができます。",0,"2,261",30,0,40,彼らに教訓を教える,0,2,,228,,
"{""options"":[{""optionType"":15,""value"":""95,1"",""guiderPoint"":0},{""optionType"":3,""value"":""40,1"",""guiderPoint"":0}]}","戦闘クラフティングで石の剣を作ってみてください。より強力な武器は戦闘中によりリラックスした状態になることができます。
その前に、才能ツリーで石の剣のレシピを解除する必要があります。",0,"2,261",32,0,30,石の剣を作る,0,2,,30,,
"{""options"":[{""optionType"":4,""value"":""10,1"",""guiderPoint"":20103},{""optionType"":4,""value"":""9,1"",""guiderPoint"":20203},{""optionType"":4,""value"":""11,1"",""guiderPoint"":20102}]}","あなたは才能の木をアップグレードし、装備を作る方法を学びました。より強力なモンスターに挑戦してみてください：
バズバディを倒してください。
マイニングキャットを倒してください。
リーフラーカーを倒してください。",0,"2,261",33,0,0,より高度な挑戦,0,2,,32,,
