areaSort-int,deathDrop-int[],deathEXPDrop-int,deathTaxation-int[][],desc-string,id-int,lockBackpack-bool,name-string,type-int
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",사형 없음,1,0,Town,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", 사형 없음,2,0,Surrounding Town,1
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5", 경미한 사형(가방 아이템의 백분율),3,0,Snow Moutain,2
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5", 경미한 사형(가방 아이템의 백분율),4,0,PvEP Fight Area,2
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", 사형 없음,5,0,Home,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", 사형 없음,6,0,Beach,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", 사형 없음,7,0,Red Forest,1
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5", 경미한 사형(가방 아이템의 백분율),8,0,Black Forest,2
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", 사형 없음,9,0,Stormy Desert,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", 사형 없음,10,0,Canyon,1
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5", 경미한 사형(가방 아이템의 백분율),11,0,Hero Fish Statue,2
0,"30,20,15",5,"100,20,15;100,15,10;80,15,10;80,15,10;30,15,10;30,15,10", 보통 사형(가방 아이템의 백분율),12,1,Cemetery,3
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5", 경미한 사형(가방 아이템의 백분율),13,0,Soul's Rest,2
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5", 경미한 사형(가방 아이템의 백분율),14,0,Celestial Lake Mountain,2
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", 사형 없음,15,0,Central Altar,1
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5", 경미한 사형(가방 아이템의 백분율),16,0,Surrounding Altar,2
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5", 경미한 사형(가방 아이템의 백분율),17,0,Ice Plain,2
0,"30,20,15",5,"100,20,15;100,15,10;80,15,10;80,15,10;30,15,10;30,15,10", 보통 사형(가방 아이템의 백분율),18,1,Depths of Ice Plain,3
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", 사형 없음,19,0,Wilderness,1
1,"30,3,1","0,0,0","0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", 심한 사형(가방 아이템의 백분율),20,1,Novice Arena 1/3,3
2,"30,3,1","0,0,0","0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", 심한 사형(가방 아이템의 백분율),21,1,Novice Arena 2/3,3
3,"30,3,1","0,0,0","0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", 심한 사형(가방 아이템의 백분율),22,1,Novice Arena 3/3,3
1,"30,3,1","0,0,0","0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", 심한 사형(가방 아이템의 백분율),23,1,Intermediate Arena 1/3,3
2,"30,3,1","0,0,0","0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", 심한 사형(가방 아이템의 백분율),24,1,Intermediate Arena 2/3,3
3,"30,3,1","0,0,0","0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", 심한 사형(가방 아이템의 백분율),25,1,Intermediate Arena 3/3,3
1,"30,3,1","0,0,0","0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", 심한 사형(가방 아이템의 백분율),26,1,Advanced Arena 1/3,3
2,"30,3,1","0,0,0","0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", 심한 사형(가방 아이템의 백분율),27,1,Advanced Arena 2/3,3
3,"30,3,1","0,0,0","0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", 심한 사형(가방 아이템의 백분율),28,1,Advanced Arena 3/3,3
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", 사형 없음,29,0,Matchmaking Camp,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", 사형 없음,30,0,Respawn Altar,1
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5", 경미한 사형(가방 아이템의 백분율),31,0,Challenge,2
