describe-string,id-int,module-string,value-string
资源不存在,5001,家园错误码, 자원이 존재하지 않음
操作不支持,5002,家园错误码, 지원되지 않는 작업
家园道具扣除异常,5003,家园错误码, 집 아이템 차감이 비정상적입니다
捕捉动物请求异常,6001,畜牧错误码, 동물 포획 요청 예외
捕捉动物无效,6002,畜牧错误码, 동물 포획이 잘못되었습니다
,2010000,, 비어 있음
,10001001,通用, 확인
,10001002,通用, 취소
,10001003,通用, 확인
,10001004,通用, 닫기
,10001005,通用, 연결 중
,10001006,通用, 서비스가 바쁩니다. 기다려 주세요
,10001007,通用, 지갑이 연결이 끊겼습니다. 애플리케이션을 다시 시작해 주세요
,10001008,通用, 시스템 알림
,10001009,通用, 애플리케이션 버전이 업데이트되었습니다. 애플리케이션을 다시 시작해 주세요
,10001010,通用, 게임 시작
,10001011,通用, 획득한 것: {0}
,10001012,通用, 아이템이 부족합니다.
,10001013,通用, PVP 지역에서 자산을 판매할 수 없습니다.
,10001014,通用, 소원 풀
,10001015,通用, 전투 소원 나무
,10001016,通用, 소원 나무 수집
,10001017,通用, 농장 소원 나무
,10004021,装备属性-生命上限,최대 체력
,10004022,装备属性-生命恢复, 체력 회복
,10004023,装备属性-攻击点数, 공격 포인트
,10004024,装备属性-攻击速度, 공격 속도
,10004025,装备属性-防御点数, 방어 포인트
,10004026,装备属性-暴击点数, 치명타 포인트
,10004027,装备属性-暴击伤害, 치명타 피해
,10004028,装备属性-命中点数, 명중 포인트
,10004029,装备属性-闪避点数, 회피 포인트
,10004030,装备属性-移动速度, 이동 속도
,10022007,画板, 루미테라
,10027010,机器人, LV.{0}
,10060001,UI tips EXP," 경험치를 얻는 방법에는 몬스터 처치, 퀘스트 완료 등이 있습니다.바운티 미션을 완료할 때마다 많은 경험치를 얻을 수 있습니다."
,10060002,UI tips token, LNCO는 곡선 또는 암호 거래소를 통해 구매할 수 있습니다.또한 게임 아이템을 마켓플레이스에서 판매하여 LNCO를 얻을 수도 있습니다.
,10060003,UI tips Proficiency," 무기 강화, 장비 강화 및 물약 제작은 해당 제작 기술의 숙련도를 증가시킵니다.아이템 제작 레벨이 높을수록 증가된 숙련도가 더 많아집니다."
,10070001,通用提示文案-外观穿戴1, 외형을 입기 전에 장비를 착용해야 합니다.
,10070002,通用提示文案-外观穿戴2, 현재 장비와 동일한 유형의 외형만 입을 수 있습니다.
,10080013,大世界钱包地址复制提示, 지갑 주소가 복사되었습니다.
,10080014,大世界NFT物件拆除确认提示, 제거 확인
,10080015,大世界NFT物件拆除不返还提示, 디타민은 반환되지 않습니다.
,10080016,聊天窗文本复制提示, 텍스트가 복사되었습니다.
,10080017,大世界放弃领地弹窗," 이 땅을 포기하시겠습니까 ({0}, {1})?"
,10080018,大世界24小时预计奖励tips, 예상 24시간 수익: {0} 디타민
,10080019,大世界超出占地限制tips, 보상 한도: {0} 점령된 땅
,10080020,聊天禁言提示, 금지되었으며 해제될 때까지 채팅할 수 없습니다.
,10080021,创建地图达到上限提示, 최대 지도 생성 한도는 {0}입니다.
,10080022,销毁道具提示, {0} * {1}를 파괴하시겠습니까? 파괴 후에는 복구할 수 없습니다!
,10080023,销毁道具成功提示, 성공적으로 파괴되었습니다!
,10081001,实体地图操作界面, 현재 지도가 실행 중이며 이것은 실행 중인 지도의 마지막 포털입니다. 현재 포털 설정을 변경하면 라이브 지도에서 플레이어의 게임 플레이 경험을 방해할 수 있습니다. 확인해 주세요.
,10081002,实体地图操作界面, 현재 지도가 클라우드 서버에서 실행 중이며 현재 서비스 요금은:0Ditamin/시간.
,10081003,实体地图操作界面, 현재 지도가 실행 중이며 이것은 실행 중인 지도의 마지막 포털입니다. 현재 포털 설정을 변경하면 라이브 지도에서 플레이어의 게임 플레이 경험을 방해할 수 있습니다. 확인해 주세요.
,10081004,实体地图操作界面, 현재 지도가 이미 실행 중입니다. 지도 데이터를 업데이트하면 라이브 지도에서 플레이어의 게임 플레이 경험을 방해할 수 있습니다. 확인해 주세요.
,10081005,实体地图操作界面, 현재 지도가 이미 실행 중입니다. 지도를 닫으면 라이브 지도에서 플레이어의 게임 플레이 경험을 방해할 수 있습니다. 확인해 주세요.
,10082001,功能提示, 텍스트를 음성으로 변환하는 기능이 일시적으로 사용할 수 없습니다.
,10089001,打地鼠, 두더지 치기
,10089002,记数字和符号, 캐릭터 메모리
,10089003,打气球, 풍선 터뜨리기
,10089004,裁剪艺术, 빠진 조각
,10089005,旋转剪影, 회전하는 실루엣
,10089006,数方块, 블록 계산
,10089007,调整时钟, 시계 조정
,10089008,鸟笼洗牌, 새장 섞기
,10089009,敲积木求和, 블록 깨기
,10089010,卡片记忆, 카드 메모리
,10089011,逆转记忆, 역전 메모리
,10089012,PVP邀请链接复制提示, 초대 링크가 복사되었습니다.
,10089013,PVP PK房间准备超时提示, PK 방 시간 초과
,10089014,PVP主动认输, 게임을 포기하시겠습니까?
,10089015,装备插槽升级提示, 장비 슬롯 레벨 업!
,10089016,装备插槽等级不足提示, 슬롯 레벨이 충분하지 않습니다.
,10090001,打地鼠小游戏提示1,같은 그림을 클릭하세요!
,10090002,快闪记忆提示1, 숫자와 기호를 기억하세요!
,10090003,快闪记忆提示2, {0}자리 숫자
,10090004,顺序气球提示, 작은 숫자부터 큰 숫자로 풍선을 파괴하세요!
,10090005,积木计算提示, 블록의 숫자는 무엇인가요?
,10090006,旋转剪影提示, 실루엣과 같은 것은 무엇인가요?
,10090007,剪裁艺术提示, 어떤 그림이 가장 잘 맞을까요?
,10090008,调整时钟quiz提示, 시계를 조정하세요!
,10090009,拾取非归属于自己的道具提醒," 집어들 수 없습니다, 당신의 것이 아닙니다"
,10090010,回复%血量, 체력을 {0}% 회복합니다
,10090011,重复使用配方提醒, 이미 이 레시피를 배웠습니다.
,10090012,鸟笼洗牌提示, 닭은 어디에 있나요?
,10090013,, 필요 없는 벽돌을 치세요!
,10090014,逆向记忆提示, 역순으로 반복하세요!
,10090015,获得BUFF提示, 버프 획득: {0}
,10090016,卡牌记忆提示, 카드를 기억하세요!
,10090017,点击技能熟练度问号弹窗, 장인 기술을 향상시키세요
,10090018,奖励预览, 보상 미리보기
,10090019,恭喜获得, 축하합니다. 다음을 획득했습니다:
,10090020,放弃任务确认提示, 이 작업을 포기하시겠습니까?
,10090021,放弃每日任务提示, {0}분 내에 포기할 수 없습니다
,20010001,断网标题, 연결이 끊어졌습니다
,20010002,断网提示, 네트워크가 끊어졌습니다
,20010003,被T提示, 다른 곳에서 로그인된 계정입니다
,20010004,被T提示, 시스템에 의해 발각된 부정행위
,20010005,被T提示, 서버가 오프라인 상태입니다
,20010006,被T提示, 시스템 오류
,20010007,被T提示, 활동 부족으로 자동 오프라인
,20010008,,No permission{0}@@: 권한 없음
道具不足,20020001,家园相关, 아이템 부족
,20020002,家园相关, 보관함에 아무것도 없습니다!
,20020003,家园相关," 네트워크 변동, 비정상 데이터 복원"
,20020004,,오늘의 명성을 위한 농사 시간이 모두 소진되었습니다.
,20020005,, 농장 서비스는 {0}초 후에 종료됩니다.
,20020006,,유지보수 중입니다. 잠시 기다려주세요.
,20030001,保存技能配置, 저장 성공
超过上限提示,20040001,畜牧,{0} 스프라이트[/color]를 가질 수 있습니다공간 부족으로 이 스프라이트를 포기하거나 다른 스프라이트로 대체해야 합니다
超过上限提示标题,20040002,畜牧, 애완동물이 가득 찼습니다
放弃按钮,20040003,畜牧, 포기
替换按钮,20040004,畜牧, 대체
,20040005,畜牧, 집 데이터 가져오기 오류
,20040006,畜牧, 집 데이터 가져오기 시간 초과
,20040007,畜牧, 집 데이터 불완전
,20040008,畜牧, 음식 그릇 중 하나가 비어 있습니다
,20040009,畜牧, 음식 그릇 중 하나가 음식으로 채워졌습니다
,20040010,畜牧, 애완동물과의 유대 관계가 증가했습니다
,20040011,畜牧, 일시적으로 애완동물을 만지지 마세요
,20040012,畜牧,토양 비옥도가 부족합니다
,20040013,畜牧, 동물 행복도가 부족합니다
,20040014,畜牧, 현재 토양 비옥도가 부족합니다
,20040015,畜牧,숙련도 부족[/color]
,20050001,捕获取消操作, 포획 취소
,20050002,捕获距离太远, 너무 멀리 떨어져 있습니다
,20050003,捕获绳子断开, 로프가 부러졌습니다
,20050004,捕获超时, 포획 시간 초과
,20050005,捕获过程道具不足, 소품 부족
,20050006,,
释放技能正在CD中,20060001,技能, 스킬 쿨다운 중
,20070001,登录, 시스템
,20070002,登录, 로그인 중
,20070003,登录, 로그인 실패
,20070004,登录," 로그인 실패, 다시 시도해 주세요"
,20070005,登录, 다시 시도
,20070006,登录, 씬 로딩 중
,20070007,登录, 이름에 부적절한 문자가 포함되어 있습니다
,20070008,登录, 이름을 비워 둘 수 없습니다
,20070009,登录, 이름은 {0}자를 초과할 수 없습니다
,20070010,登录, 자원 로딩 중 {0}
,20070011,登录, 지갑 연결 중
,20070012,登录, 게임 연결 중
,20070013,登录, 게임 연결 실패
,20070014,登录," 게임 연결 실패, 다시 시도해 주세요"
,20070015,登录, 대기열 : {0}
,20070016,登录, 유효한 코드를 입력해주세요
,20070017,登录, 대상 장면에 로그인하지 못했습니다
,20070018,登录, 활성화 코드(선택 사항)
,20070019,登录, LINE #{0}
,20070020,登录, 먼저 서버를 선택해 주세요
,20070021,登录, 유효하지 않은 이름입니다.
,20070022,, 서비스 로딩 중
,20070023,, 이름에 민감한 단어가 포함되어 있습니다.
,20070024,,이름은 적어도 {0}자여야 합니다. 
,20070025,,이름이 너무 깁니다. 
,20070026,,이름이 중복되었습니다. 
,20080001,设置, 언어 설정을 적용하려면 앱을 다시 시작하세요
,20080002,设置, 지금 종료
,20080003,设置, 나중에
,20080004,设置, 경고! 안전하지 않은 지역에서 로그아웃 중입니다. 플레이어는 일정 시간 동안 비활동 상태일 때 정상적으로 게임을 나갈 수 있습니다
,20080005,设置, 안전하지 않은 지역에서 로그아웃 중입니다. 게임에 다시 접속하려면 다시 연결하세요
,20090001,任务, {0} 퀘스트 상자 보상 받기
,20090002,任务, {0} 퀘스트 완료
,20090003,任务, 제작 페이지에서 아이템 제작
,20090004,任务, 제작 페이지에서 {0} 제작
,20090005,任务, {0} 사용
,20090006,任务, {0} 제출
,20090007,任务, {0} 처치
,20090008,任务," 지도 좌표 ({0}, {1}) 주변을 둘러보기"
,20090009,任务, 캐릭터 업그레이드
,20090010,任务, {0} 획득
,20090011,任务, {0} 슬롯 업그레이드
,20090012,任务, {0} 노드를 {1} 레벨로 업그레이드
,20090013,任务, {0}개 아이템 선택됨
,20090014,任务, {0}개 아이템 선택됨
,20090015,任务, 알 수 없음
,20090016,任务, 매일
,20090017,任务, 현상금
,20090018,任务, 수확 {0}
,20090019,任务, 작업이 완료되지 않았습니다.
,20090020,任务, 수집 {0}
,20090021,任务, 진행 중인 작업이 있습니다.
,20090022,任务, 수동 새로 고침 횟수가 상한에 도달했습니다.
,20090023,, {0}에게 말을 걸기
,20090024,, {0}을(를) 포획하기
,20090025,, {1}에서 {0} 장을 완료하세요.
,20090026,, 토큰 작업을 수신하였습니다.
,20090027,, 능력 레벨이 부족합니다.
,20090028,, 작업이 만료되었습니다.
,20090029,, 토큰 작업
,20090030,, 초기화
,20090031,, 받음
,20090032,, 수락
,20090033,, 포기
,20090034,, 완료됨
,"20100000
",专精, 일반
,20100001,专精, 농사
,20100002,专精, 전투
,20100003,专精, 채집
,20100004,专精, 애완동물
,20100005,专精, 레벨이 최대입니다
,20100006,专精, {0} EXP 부족
,20100007,专精, 토큰 부족
,20100008,专精, 재설정 성공!
,20100009,, 던전 전투 중에는 재능을 업그레이드할 수 없습니다.
,20110000,nft 关键字, 체력 회복
,20110001,nft 关键字, 버프 추가
,20110002,nft 关键字, 레시피 배우기
,20110003,nft 关键字, 머리 방어구
,20110004,nft 关键字, 가슴 방어구
,20110005,nft 关键字, 다리 방어구
,20110006,nft 关键字, 발 방어구
,20110007,nft 关键字, 손 방어구
,20110008,nft 关键字, 검
,20110009,nft 关键字, 활
,20110010,nft 关键字,단검
,20110011,nft 关键字, 창
,20110012,nft 关键字, 소비품
,20110013,nft 关键字, 재료
,20110014,nft 关键字, 배치 가능
,20110015,nft 关键字, 착용 가능
,20110016,nft 关键字, 미스터리 상자
,20110017,nft 关键字 在配置中的类型, 장비
,20110018,nft 关键字 在配置中的类型, 소비품
,20110019,nft 关键字 在配置中的类型, 재료
,20110020,nft 关键字 在配置中的类型, 건물
,20110021,nft 关键字 在配置中的类型, 애완동물 알
,20110022,, 토템
,20120005,登录, 지갑 연결 시작됨
,20120006,登录, 지갑 연결 업데이트됨
,20120007,登录, 지갑 연결 완료
,20120008,登录, 지갑 연결 실패
,20120009,登录, 지갑 연결 준비 완료
,20120010,登录, 지갑 로그인 시작
,20120011,登录, 지갑 로그인 페이지 열기
,20120012,登录, 지갑 로그인 성공
,20120013,登录, 지갑 로그인 실패
,20120014,登录, 지갑 초기화
,20120015,登录, 지갑 초기화 시간 초과
,20120016,登录, 지갑 연결이 끊어졌습니다
,20130000,组队, {0}의 팀
,20130001,组队, 요청 전송됨
,20130002,组队, 이미 팀에 가입했습니다. 먼저 팀을 나가주세요
,20130003,组队, 요청이 만료되었습니다
,20130004,组队, 잘못된 이름 형식
,20130005,组队, 설명 형식이 잘못되었습니다
,20130006,组队, 이미 여기에 있습니다
,20130007,组队, {0}님이 당신을 팀에 초대했습니다
,20140001,网络," 네트워크 예외 발생, 다시 시도해 주세요"
弱网提示标题,20140002,网络, 네트워크
,20150001,副本, 도망가면 실패에 대한 벌칙이 가해집니다. 정말 그만두시겠습니까?
,20150002,副本, 실패 시 착용 중인 장비 {0}개가 손상될 수 있습니다. 계속 도전하시겠습니까?
场景服务启动失败,20150003,副本, 인스턴스 시작에 실패했습니다. 나중에 다시 시도해 주세요
切换场景超时,20150004,副本," 인스턴스 진입 시간 초과, 나중에 다시 시도해 주세요"
门票不足,20150005,副本,티켓이 부족합니다
门票扣除失败,20150006,副本, 티켓 차감에 실패했습니다
副本未解锁,20150007,副本, 아직 잠금 해제되지 않은 인스턴스입니다
已在当前场景,20150008,副本, 이미 여기에 있습니다
重复申请,20150009,副本, 중복된 신청
没有权限进入场景,20150010,副本, 입장 권한이 없습니다
无效地图类型 参数错误(地图id or subtype信息错误),20150011,副本, 맵에 입장하지 못했습니다. 관리자에게 문의하세요
地图不支持当前的挑战类型(单人多人挑战类型),20150012,副本, 혼자 입장할 수 없습니다
玩家在队伍中(单人挑战不能有队伍),20150013,副本, 현재 팀을 나가주세요
玩家队伍不存在(非单人挑战类型必须有队伍),20150014,副本, 팀에 가입해주세요
成员不在附近  （成员不在npc附近） （成员不在队长附近）已经离线(member entity 离开当前服务器),20150015,副本, 너무 멀리 떨어져 있습니다
地图需要XX级才能进入,20150016,副本, 캐릭터 레벨이 부족합니다. 레벨이 필요합니다
角色数据错误,20150017,副本," 캐릭터 데이터 오류, 관리자에게 문의하세요"
NPC 不存在,20150018,副本, NPC를 찾을 수 없습니다. 관리자에게 문의하세요
,20150019,副本, 던전에 입장을 거부했습니다
,20160000,副本, 티켓 부족
,20160001,副本, 현재 팀을 나가주세요
,20160002,副本, 도전할 팀이 필요합니다
,20160003,副本, 팀 리더만 팀 도전을 시작할 수 있습니다
,20160004,副本, 아직 잠금 해제되지 않았습니다
,20160005,副本, 시스템 오류
,20160006,副本, 오픈 월드
,20160007,副本, 의 집
,20160008,副本, 던전
,20160009,副本, 알 수 없는 지역
,20160010,副本, 팀 리더만 조작할 수 있습니다.
,20160011,副本, 레벨 불일치
,20160012,副本, 아직 열리지 않음
,20160013,副本, 매칭 실패
,20160014,副本, 나중에 다시 시도하거나 다른 던전에 도전해 주세요
,20160015,副本, 레벨 불일치.
,20160016,副本, 추가 드롭
,20160017,副本," 던전에 입장할 때 ""추가 드롭"" 이벤트를 발생시킬 수 있는 기회가 있습니다:지정된 몬스터를 처치하거나 아이템을 수집하거나 작물을 수확하면 추가 드롭 보상을 받을 수 있습니다.이 이벤트가 발생할 수 있는 총 횟수에는 고정된 전역 최대 제한이 있습니다."
,20160018,,
,20160019,副本,
,20170000,合成, 대기열에 들어가기
,20170001,合成, 제작 대기열이 가득 찼습니다.
,20170002,合成, 제작 레시피가 잠겨 있지 않습니다.
,20170003,合成, 재료가 부족합니다.
,20170004,合成, 토큰이 부족합니다.
