actions-int[],conditionType-int,conditions-int[],desc-string,id-int,name-string,type-int
1,1,2,怪物防御值增强了,1,요새,1
2,1,2,怪物攻击力增强了,2, 분노,1
3,1,2,玩家防御值削弱了,3, 저주,1
4,1,2,玩家攻击力削弱了,4, 약점,1
5,1,2,怪物最大血量增加了,5, 피 희생,1
6,1,2,怪物防御值削弱了,6, 갑옷 파괴,1
7,1,2,怪物攻击力削弱了,7, 무효화,1
8,1,2,玩家防御值增强了,8, 방어,1
9,1,2,玩家攻击力增强了,9, 고무,1
10,1,2,怪物最大血量减少了,10, 지원,1
6,2,"17,18,19,20,21",怪物防御值削弱了,11, 갑옷 파괴,2
7,2,"17,18,19,20,21",怪物攻击力削弱了,12, 무효화,2
8,2,"17,18,19,20,21",玩家防御值增强了,13, 방어,2
9,2,"17,18,19,20,21",玩家攻击力增强了,14, 고무,2
10,2,"17,18,19,20,21",怪物最大血量减少了,15, 지원,2
11,1,1,减益,16, 전투 랜덤 이벤트,1
12,1,3,增益,17, 전투 랜덤 이벤트,1
13,1,1,减益,18, 채집 랜덤 이벤트,1
14,1,3,增益,19, 채집 랜덤 이벤트,1
15,1,5,减益,20, 농사 랜덤 이벤트,1
16,1,7,增益,21, 농사 랜덤 이벤트,1
"37,38",1,8,变化,22, 기본 채집 이벤트,1
39,2,"5,6",种田副本削减成长时间,23, 가속 성장,1
