desc-string,id-int,parameters_1-int[],parameters_2-int[][],type-int
@@ 몬스터의 방어력이 강화되었습니다.,1,2,650,2
 몬스터의 공격력이 강화되었습니다.,2,2,651,2
 플레이어의 방어력이 약화되었습니다.,3,1,652,2
 플레이어의 공격력이 약화되었습니다.,4,1,653,2
 몬스터의 최대 HP가 증가했습니다.,5,2,654,2
 몬스터의 방어력이 약화되었습니다.,6,2,655,2
 몬스터의 공격력이 약화되었습니다.,7,2,656,2
 플레이어의 방어력이 강화되었습니다.,8,1,657,2
 플레이어의 공격력이 강화되었습니다.,9,1,658,2
 몬스터의 최대 HP가 감소했습니다.,10,2,659,2
 전투 중 무작위 디버프 이벤트가 발생했습니다.,11,,"10000,1;10000,2;10000,3;10000,4;10000,5",1
 전투 중 무작위 버프 이벤트가 발생했습니다.,12,,"10000,6;10000,7;10000,8;10000,9;10000,10",1
 채집 중 무작위 디버프 이벤트가 발생했습니다.,13,,"10000,17;10000,18;10000,19;10000,20",1
 채집 중 무작위 버프 이벤트가 발생했습니다.,14,,"10000,21;10000,18;10000,23;10000,24",1
 농사 중 무작위 디버프 이벤트가 발생했습니다.,15,,"10000,25;10000,26;10000,28;10000,29;10000,30",1
 농사 중 무작위 버프 이벤트가 발생했습니다.,16,,"10000,31;10000,32;10000,34;10000,35;10000,36",1
 채집 아이템의 방어력이 강화되었습니다.,17,5,"60,1,150,60,4;61,1,150,61,4;62,1,150,62,4",3
 채집 아이템의 최대 진행 값이 강화되었습니다.,18,5,"76,1,100,76,4",3
 플레이어의 채집 공격력이 약화되었습니다.,19,1,660,2
 플레이어의 이동 속도가 감소했습니다.,20,1,661,2
 채집 아이템의 방어력이 약화되었습니다.,21,5,"60,1,-150,60,4;61,1,-150,61,4;62,1,-150,62,4",3
 채집 아이템의 최대 진행 값이 약화되었습니다.,22,5,"76,1,-100,76,4",3
 플레이어의 채집 공격력이 강화되었습니다.,23,1,662,2
 플레이어의 이동 속도가 증가했습니다.,24,1,663,2
 작물의 물 요구량이 증가했습니다.,25,8,"71,1,100,71,4",3
 작물의 숙련도 요구량이 증가했습니다.,26,8,"73,1,25,73,4",3
 작물이 이전 성장 단계로 되돌아갔습니다.,27,,"1,-1",4
 작물에 다시 물을 주어야 합니다.,28,,"2,0",4
 플레이어의 물 주는 속도가 감소했습니다.,29,1,664,2
 플레이어의 심기 숙련도가 약화되었습니다.,30,1,665,2
 작물의 물 요구량이 감소했습니다.,31,8,"71,1,-100,71,4",3
 작물의 숙련도 요구량이 감소했습니다.,32,8,"73,1,-25,73,4",3
 작물이 다음 성장 단계로 진입했습니다.,33,,"1,1",4
 모든 작물에 물을 주었습니다.,34,,"2,1",4
 플레이어의 물 주는 속도가 증가했습니다.,35,1,666,2
 플레이어의 심기 숙련도가 강화되었습니다.,36,1,667,2
 플레이어의 채집 스탯 재계산.,37,1,668,2
 채집 아이템의 스탯 재계산.,38,5,,3
 모든 작물의 성장 속도가 증가했습니다.,39,8,,3
