gearAttribute-int[][],gearAvatar-int,gearDurabilityMax-int,gearQuality-int,gearType-int,gender-string,givenSkillId-int[],id-int,itemId-int
"13,1,20,25;19,1,15,45;51,1,20,25",1,999,1,8,unisex,"17,18,19",1,39
"15,1,4,14;11,1,30,90",50,999,1,1,male,,3,43
"15,1,6,16;11,1,23,69",56,999,1,2,male,,5,46
"11,1,31,93;15,1,5,13",62,999,1,3,male,,7,49
"7,1,5,10;15,1,4,14;11,1,31,93",65,999,1,4,unisex,,9,55
"13,1,3,9;15,1,4,10;11,1,23,69",59,999,1,5,unisex,,11,52
"13,1,27,81;19,1,24,54;51,1,20,25;16,1,0,0",2,999,1,8,unisex,"17,18,19",13,40
"39,1,50,80;49,1,6,17;50,1,6,17;44,1,122,367;47,1,122,367",54,999,1,1,unisex,,26,98
"39,1,80,110;49,1,17,23;50,1,17,23;44,1,367,489;47,1,367,489",83,999,1,1,unisex,,27,99
"39,1,140,160;49,1,29,33;50,1,29,33;44,1,612,693;47,1,612,693",84,999,1,1,unisex,,28,100
"40,1,30,50;49,1,4,13;50,1,4,13;44,1,146,439;47,1,146,439",57,999,1,2,unisex,,29,101
"40,1,50,80;49,1,13,17;50,1,13,17;44,1,439,585;47,1,439,585",85,999,1,2,unisex,,30,102
"40,1,110,140;49,1,22,25;50,1,22,25;44,1,732,829;47,1,732,829",94,999,1,2,unisex,,31,103
"37,1,50,80;49,1,6,18;50,1,6,18;44,1,116,349;47,1,116,349",63,999,1,3,unisex,,32,104
"37,1,80,110;49,1,18,24;49,1,18,24;50,1,18,24;50,1,18,24;44,1,349,465;44,1,367,489;47,1,349,465;47,1,367,489",87,999,1,3,unisex,,33,105
"37,1,140,160;49,1,31,35;50,1,31,35;44,1,582,659;47,1,582,659",96,999,1,3,unisex,,34,106
"41,1,30,50;49,1,4,13;50,1,4,13;44,1,92,277;47,1,92,277",60,999,1,5,unisex,,35,107
"41,1,50,80;49,1,13,17;50,1,13,17;44,1,277,369;47,1,277,369",36,999,1,5,unisex,,36,108
"41,1,80,120;49,1,22,25;50,1,22,25;44,1,462,523;47,1,462,523",95,999,1,5,unisex,,37,109
"8,1,5,10;49,1,6,18;50,1,6,18;44,1,122,367;47,1,122,367",66,999,1,4,unisex,,38,110
"8,1,11,15",88,999,1,4,unisex,,39,111
"8,1,16,20;49,1,31,35;50,1,31,35;44,1,612,693;47,1,612,693",97,999,1,4,unisex,,40,112
"34,2,50,80;54,1,6,17;55,1,6,17;56,1,6,17",67,999,1,4,unisex,,41,113
"34,2,80,110;54,1,17,22;55,1,17,22;56,1,17,22",93,999,1,4,unisex,,42,114
"34,2,130,150;54,1,28,31;55,1,28,31;56,1,28,31",102,999,1,4,unisex,,43,115
"23,1,50,80;54,1,6,17;55,1,6,17;56,1,6,17",55,999,1,1,unisex,,44,116
"23,1,80,110;54,1,17,22;55,1,17,22;56,1,17,22",89,999,1,1,unisex,,45,117
"23,1,130,150;54,1,28,31;55,1,28,31;56,1,28,31",98,999,1,1,unisex,,46,118
"26,1,50,80;54,1,7,20;55,1,7,20;56,1,7,20",58,999,1,2,unisex,,47,119
"26,1,80,110;54,1,20,26;54,1,20,26;55,1,20,26;55,1,20,26;56,1,20,26;56,1,20,26",90,999,1,2,unisex,,48,120
"26,1,130,150;54,1,33,37;55,1,33,37;56,1,33,37",99,999,1,2,unisex,,49,121
"32,1,50,80;54,1,5,16;55,1,5,16;56,1,5,16",64,999,1,3,unisex,,50,122
"32,1,80,110;54,1,16,21;55,1,16,21;56,1,16,21",92,999,1,3,unisex,,51,123
"32,1,130,150;54,1,26,29;55,1,26,29;56,1,26,29",101,999,1,3,unisex,,52,124
"30,1,50,80;51,1,3,9;22,1,3,9;29,1,3,9;54,1,4,12;55,1,4,12;56,1,4,12",61,999,1,5,unisex,,53,125
"30,1,80,110;51,1,9,12;22,1,9,12;29,1,9,12;54,1,12,16;55,1,12,16;56,1,12,16",91,999,1,5,unisex,,54,126
"30,1,130,150;51,1,15,17;22,1,15,17;29,1,15,17;54,1,21,23;55,1,21,23;56,1,21,23",100,999,1,5,unisex,,55,127
"13,1,81,108;19,1,32,62;51,1,20,25;16,1,0,2",30,999,1,8,unisex,"17,18,19",56,41
"13,1,135,153;19,1,39,67;51,1,20,25;16,1,5,6",31,999,1,8,unisex,"17,18,19",57,42
"15,1,13,18;11,1,80,110",34,999,1,1,unisex,,58,44
"15,1,23,26;11,1,132,152",39,999,1,1,unisex,,59,45
"15,1,17,22;11,1,62,85",35,999,1,2,unisex,,60,47
"15,1,28,31;11,1,102,117",40,999,1,2,unisex,,61,48
"11,1,84,115;15,1,13,17",37,999,1,3,unisex,,62,50
"11,1,139,159;15,1,22,24",42,999,1,3,unisex,,63,51
"13,1,9,12;15,1,11,14;11,1,62,85",86,999,1,5,unisex,,65,53
"13,1,15,17;15,1,18,20;11,1,102,117",41,999,1,5,unisex,,66,54
"7,1,15,20;15,1,13,18;11,1,84,115",38,999,1,4,unisex,,68,56
"7,1,30,35;15,1,23,26;11,1,139,159",43,999,1,4,unisex,,69,57
"36,1,8,12;13,1,20,25",20,999,1,8,unisex,21,70,79
"13,1,20,25;36,1,13,17;43,1,5,16",27,999,1,8,unisex,21,71,80
"13,1,20,25;36,1,18,21;43,1,15,20",28,999,1,8,unisex,21,72,81
"13,1,20,25;36,1,24,26;43,1,24,26",29,999,1,8,unisex,21,73,82
"38,1,30,40",22,999,1,8,unisex,22,74,83
"38,1,41,50",71,999,1,8,unisex,22,75,84
"38,1,51,55",72,999,1,8,unisex,22,76,85
"38,1,61,65",73,999,1,8,unisex,22,77,86
"29,1,5,10;13,1,20,25",21,999,1,8,unisex,25,78,87
"13,1,20,25;29,1,27,81",68,999,1,8,unisex,25,79,88
"13,1,20,25;29,1,81,108",69,999,1,8,unisex,25,80,89
"13,1,20,25;29,1,135,153",70,999,1,8,unisex,25,81,90
"22,1,5,10",23,999,1,8,unisex,26,82,91
"13,1,20,25;22,1,27,81",74,999,1,8,unisex,26,83,92
"13,1,20,25;22,1,81,108",75,999,1,8,unisex,26,84,93
"13,1,20,25;22,1,135,153",76,999,1,8,unisex,26,85,94
-,24,999,1,8,unisex,30,86,95
-,25,999,1,8,unisex,28,87,96
-,26,999,1,8,unisex,29,88,97
"39,1,110,140;49,1,23,29;50,1,23,29;44,1,489,612;47,1,489,612",83,999,2,1,unisex,,99,99
"39,1,160,180;49,1,33,37;50,1,33,37;44,1,693,775;47,1,693,775",84,999,2,1,unisex,,100,100
"39,1,180,200;49,1,37,41;50,1,37,41;44,1,775,857;47,1,775,857",84,999,3,1,unisex,,101,100
"40,1,80,110;49,1,17,22;50,1,17,22;44,1,585,732;47,1,585,732",85,999,2,2,unisex,,102,102
"40,1,140,170;49,1,25,28;50,1,25,28;44,1,829,927;47,1,829,927",94,999,2,2,unisex,,103,103
"40,1,170,200;49,1,28,31;50,1,28,31;44,1,927,1025;47,1,927,1025",94,999,3,2,unisex,,104,103
"37,1,110,140;49,1,24,31;50,1,24,31;44,1,465,582;47,1,465,582",87,999,2,3,unisex,,105,105
"37,1,160,180;49,1,35,39;50,1,35,39;44,1,659,737;47,1,659,737",96,999,2,3,unisex,,106,106
"37,1,180,200;49,1,39,43;50,1,39,43;44,1,737,815;47,1,737,815",96,999,3,3,unisex,,107,106
"41,1,50,80;38,1,30,40;49,1,17,22;50,1,17,22;44,1,369,462;47,1,369,462",36,999,2,5,unisex,,108,108
"41,1,120,150;38,1,41,50;49,1,25,28;50,1,25,28;44,1,523,585;47,1,523,585",95,999,2,5,unisex,,109,109
"41,1,120,150;38,1,51,55;49,1,28,31;50,1,28,31;44,1,585,647;47,1,585,647",95,999,3,5,unisex,,110,109
"8,1,11,15;36,1,8,12;49,1,24,31;50,1,24,31;44,1,489,612;47,1,489,612",88,999,2,4,unisex,,111,111
"8,1,21,25;36,1,13,17;49,1,35,39;50,1,35,39;44,1,693,775;47,1,693,775",97,999,2,4,unisex,,112,112
"8,1,21,25;36,1,18,21;49,1,39,43;50,1,39,43;47,1,775,857;44,1,775,857",97,999,3,4,unisex,,113,112
"34,2,110,130;54,1,22,28;55,1,22,28;56,1,22,28",93,999,2,4,unisex,,114,114
"34,2,50,100;54,1,31,35;55,1,31,35;56,1,31,35",102,999,2,4,unisex,,115,115
"34,2,100,150;54,1,35,39;55,1,35,39;56,1,35,39",102,999,3,4,unisex,,116,115
"23,1,110,130;54,1,22,28;55,1,22,28;56,1,22,28",89,999,2,1,unisex,,117,117
"24,1,50,100;23,1,130,150;54,1,31,35;55,1,31,35;56,1,31,35",98,999,2,1,unisex,,118,118
"24,1,100,150;23,1,130,150;54,1,35,39;55,1,35,39;56,1,35,39",98,999,3,1,unisex,,119,118
"26,1,110,130",90,999,2,2,unisex,,120,120
"27,1,50,100;26,1,130,150;54,1,37,41;55,1,37,41;56,1,37,41",99,999,2,2,unisex,,121,121
"27,1,100,150;26,1,130,150;54,1,41,46;55,1,41,46;56,1,41,46",99,999,3,2,unisex,,122,121
"32,1,110,130;54,1,21,26;55,1,21,26;56,1,21,26",92,999,2,3,unisex,,123,123
"33,1,50,100;32,1,130,150;54,1,29,33;55,1,29,33;56,1,29,33",101,999,2,3,unisex,,124,124
"33,1,100,150;32,1,130,150;54,1,33,37;55,1,33,37;56,1,33,37",101,999,3,3,unisex,,125,124
"30,1,110,130;51,1,12,15;22,1,12,15;29,1,12,15;54,1,16,21;55,1,16,21;56,1,16,21",91,999,2,5,unisex,,126,126
"31,1,50,100;30,1,130,150;51,1,17,19;22,1,17,19;29,1,17,19;54,1,23,26;55,1,23,26;56,1,23,26",100,999,2,5,unisex,,127,127
"31,1,100,150;30,1,130,150;51,1,19,21;22,1,19,21;29,1,19,21;54,1,26,29;55,1,26,29;56,1,26,29",100,999,3,5,unisex,,128,127
"13,1,108,135;19,1,32,62;51,1,20,25;16,1,2,5",30,999,2,8,unisex,"17,18,19",129,41
"13,1,153,171;19,1,39,67;51,1,20,25;16,1,6,8",31,999,2,8,unisex,"17,18,19",130,42
"13,1,171,189;19,1,39,67;51,1,20,25;16,1,8,10",31,999,3,8,unisex,"17,18,19",131,42
"15,1,18,23;11,1,110,140",34,999,2,1,unisex,,132,44
"15,1,26,29;11,1,152,172",39,999,2,1,unisex,,133,45
"15,1,29,33;11,1,172,192",39,999,3,1,unisex,,134,45
"15,1,22,27;11,1,85,108",35,999,2,2,unisex,,135,47
"15,1,31,34;11,1,117,132",40,999,2,2,unisex,,136,48
"15,1,34,38;11,1,132,148",40,999,3,2,unisex,,137,48
"11,1,115,146;15,1,17,21",37,999,2,3,unisex,,138,50
"11,1,159,180;15,1,24,27",42,999,2,3,unisex,,139,51
"11,1,180,201;15,1,27,30",42,999,3,3,unisex,,140,51
"13,1,12,15;15,1,14,17;10,1,60,75",86,999,2,5,unisex,,141,53
"13,1,17,19;15,1,20,22",41,999,2,5,unisex,,142,54
"13,1,19,21;15,1,22,24",41,999,3,5,unisex,,143,54
"7,1,21,25;15,1,18,23;11,1,115,146",38,999,2,4,unisex,,144,56
"7,1,36,40;17,2,10,10;15,1,26,29;11,1,159,180",43,999,2,4,unisex,,145,57
"7,1,41,45;17,2,20,20;15,1,29,33;11,1,180,201",43,999,3,4,unisex,,146,57
"13,1,20,25;36,1,21,23;43,1,20,25",28,999,2,8,unisex,21,147,81
"13,1,20,25;36,1,27,30;43,1,26,29",29,999,2,8,unisex,21,148,82
"13,1,20,25;36,1,31,35;43,1,29,32",29,999,3,8,unisex,21,149,82
"38,1,56,60",72,999,2,8,unisex,22,150,85
"38,1,66,70",73,999,2,8,unisex,22,151,86
"38,1,71,75",73,999,3,8,unisex,22,152,86
"13,1,20,25;29,1,108,135",69,999,2,8,unisex,25,153,89
"13,1,20,25;29,1,153,171",70,999,2,8,unisex,25,154,90
"13,1,20,25;29,1,171,189",70,999,3,8,unisex,25,155,90
"13,1,20,25;22,1,108,135",75,999,2,8,unisex,26,156,93
"13,1,20,25;22,1,153,171",76,999,2,8,unisex,26,157,94
"13,1,20,25;22,1,171,189",76,999,3,8,unisex,26,158,94
"13,1,40,50;19,1,15,45",103,999,1,8,unisex,"202,203,204",188,222
"19,1,15,45;13,1,12,18",104,999,1,8,unisex,"205,344,345",189,223
"13,1,20,25",166,999,1,8,unisex,323,192,225
"13,1,20,25;51,1,135,189",174,999,1,8,unisex,323,193,228
"13,1,20,25;51,1,27,81",167,999,1,8,unisex,323,194,226
"13,1,20,25;51,1,81,135",173,999,1,8,unisex,323,195,227
"13,1,20,25",175,999,1,8,unisex,323,196,229
"13,1,20,25",176,999,1,8,unisex,323,197,230
"13,1,20,25",177,999,1,8,unisex,323,198,231
"10,1,0,0",216,999,5,1,unisex,,199,267
"10,1,0,0",217,999,5,2,unisex,,200,268
"10,1,0,0",218,999,5,5,unisex,,201,269
"10,1,0,0",219,999,5,3,unisex,,202,270
"10,1,0,0",220,999,5,4,unisex,,203,271
"10,1,0,0",221,999,5,1,unisex,,204,272
"10,1,0,0",222,999,5,2,unisex,,205,273
"10,1,0,0",223,999,5,5,unisex,,206,274
"10,1,0,0",224,999,5,3,unisex,,207,275
"10,1,0,0",225,999,5,4,unisex,,208,276
"10,1,0,0",231,999,5,1,unisex,,209,282
"10,1,0,0",232,999,5,2,unisex,,210,283
"10,1,0,0",233,999,5,5,unisex,,211,284
"10,1,0,0",234,999,5,3,unisex,,212,285
"10,1,0,0",235,999,5,4,unisex,,213,286
"10,1,0,0",188,999,5,1,unisex,,214,241
"10,1,0,0",192,999,5,2,unisex,,215,242
"10,1,0,0",193,999,5,5,unisex,,216,243
"10,1,0,0",194,999,5,3,unisex,,217,244
"10,1,0,0",195,999,5,4,unisex,,218,245
