id-int,name-string,pageIds-int[]
1,Sumber Item,
2,Sumber Item,
3,Sumber Item,
4,Membunuh Monster,7
5,Membunuh Monster,8
6,Membunuh Monster,9
7,Membunuh Monster,10
8,Membunuh Monster,11
9,Membunuh Monster,12
10,Membunuh Monster,13
11,Membunuh Monster,14
12,Membunuh Monster,16
13,Membunuh Monster,17
14,Membunuh Monster,18
15,Membunuh Monster,19
16,Membunuh Monster,20
17,Membunuh Monster,21
18,Membunuh Monster,22
19,Membunuh Monster,23
20,Membunuh Monster,24
21,Membunuh Monster,25
22,Membunuh Monster,26
23,Membunuh Monster,27
24,Membunuh Monster,28
25,Membunuh Monster,29
26,Membunuh Monster,30
27,Membunuh Monster,31
28,Membunuh Monster,32
29,Membunuh Monster,33
30,Membunuh Monster,34
31,Kumpul,"35,36"
32,Tanda Dungeon,411
33,Kumpul,"37,38"
34,Tanda Dungeon,412
35,Kumpul,"39,40"
36,Tanda Dungeon,413
37,Kumpul,"41,42"
38,Tanda Dungeon,414
39,Kumpul,"43,44"
40,Tanda Dungeon,415
41,Kumpul,"45,46"
42,Tanda Dungeon,416
43,Kumpul,"47,48"
44,Tanda Dungeon,427
45,Kumpul,"49,50"
46,Tanda Dungeon,428
47,Kumpul,"51,52"
48,Tanda Dungeon,429
49,Kumpul,"53,54,55"
50,Membuang Peralatan Petani,430
51,Kumpul,"56,57"
52,Membuang Peralatan Pertempuran,431
53,Kumpul,"58,59"
54,Peralatan Kumpulan Membuang,432
55,Kumpul,"60,61"
56,Crafting,433
57,Kumpul,"62,63"
58,Crafting,434
59,Kumpul,"64,65"
60,Crafting,435
61,Kumpul,"66,67"
62,Crafting,436
63,Kumpul,"68,69"
64,Crafting,437
65,Kumpul,"70,71"
66,Crafting,438
67,Sumber Item,72
68,Crafting,439
69,Kumpul,"73,74,72"
70,Crafting,440
71,Kumpul,"75,76"
72,Crafting,441
73,Kumpul,"77,78"
74,Crafting,442
75,Kumpul,"79,80"
76,Crafting,443
77,Kumpul,"81,82"
78,Crafting,444
79,Kumpul,"83,84"
80,Crafting,445
81,Kumpul,"85,86"
82,Crafting,446
83,Kumpul,"87,88"
84,Crafting,447
85,Kumpul,"89,90"
86,Crafting,448
87,Tanaman,384
88,Tanaman,385
89,Tanaman,386
90,Tanaman,387
91,Tanaman,388
92,Tanaman,389
93,Tanaman,390
94,Tanaman,391
95,Tanaman,392
96,Tanaman,393
97,Tanaman,394
98,Tanaman,395
99,Tanaman,396
100,Tanaman,397
101,Tanaman,398
102,Tanaman,399
103,Tanaman,400
104,Tanaman,401
105,Tanaman,402
106,Tanaman,403
107,Tanaman,404
108,Tanaman,405
109,Tanaman,406
110,Tanaman,407
111,Tanaman,408
112,Tanaman,409
113,Tanaman,410
114,Binatang,356
115,Binatang,357
116,Binatang,358
117,Binatang,359
118,Binatang,360
119,Binatang,361
120,Binatang,362
121,Binatang,363
122,Binatang,365
123,Binatang,366
124,Binatang,367
125,Binatang,368
126,Binatang,369
127,Binatang,370
128,Binatang,371
129,Binatang,372
130,Binatang,373
131,Binatang,374
132,Binatang,375
133,Binatang,376
134,Binatang,377
135,Binatang,378
136,Binatang,379
137,Binatang,380
138,Binatang,381
139,Binatang,382
140,Binatang,383
141,Crafting,91
142,Crafting,92
143,Crafting,93
144,Crafting,94
145,Crafting,95
146,Crafting,96
147,Crafting,97
148,Crafting,98
149,Crafting,99
150,Crafting,100
151,Crafting,101
152,Crafting,102
153,Crafting,103
154,Crafting,104
155,Crafting,105
156,Crafting,106
157,Crafting,107
158,Crafting,108
159,Crafting,109
160,Crafting,110
161,Crafting,111
162,Crafting,112
163,Crafting,113
164,Crafting,114
165,Crafting,115
166,Crafting,116
167,Crafting,117
168,Crafting,118
169,Crafting,119
170,Crafting,120
171,Crafting,121
172,Crafting,122
173,Crafting,123
174,Crafting,124
175,Crafting,125
176,Crafting,126
177,Crafting,127
178,Crafting,128
179,Crafting,129
180,Crafting,130
181,Crafting,131
182,Crafting,132
183,Crafting,133
184,Crafting,134
185,Crafting,135
186,Crafting,136
187,Crafting,137
188,Crafting,138
189,Crafting,139
190,Crafting,140
191,Crafting,141
192,Crafting,142
193,Crafting,143
194,Crafting,144
195,Crafting,145
196,Crafting,146
197,Crafting,147
198,Crafting,148
199,Crafting,149
200,Crafting,150
201,Crafting,151
202,Crafting,152
203,Crafting,153
204,Crafting,154
205,Crafting,155
206,Crafting,156
207,Crafting,157
208,Crafting,158
209,Crafting,159
210,Crafting,160
211,Crafting,161
212,Crafting,162
213,Crafting,163
214,Crafting,164
215,Crafting,165
216,Crafting,166
217,Crafting,167
218,Crafting,168
219,Crafting,169
220,Crafting,170
221,Crafting,171
222,Crafting,172
223,Crafting,173
224,Crafting,174
225,Crafting,175
226,Crafting,176
227,Crafting,177
228,Crafting,178
229,Crafting,179
230,Crafting,180
231,Crafting,181
232,Crafting,182
233,Crafting,183
234,Crafting,184
235,Crafting,185
236,Crafting,186
237,Crafting,187
238,Crafting,188
239,Crafting,189
240,Crafting,190
241,Crafting,191
242,Crafting,192
243,Crafting,193
244,Crafting,194
245,Crafting,195
246,Crafting,196
247,Crafting,197
248,Crafting,198
249,Crafting,199
250,Crafting,200
251,Crafting,201
252,Crafting,202
253,Crafting,203
254,Crafting,204
255,Crafting,205
256,Crafting,206
257,Crafting,207
258,Crafting,208
259,Crafting,209
260,Crafting,210
261,Crafting,211
262,Crafting,212
263,Crafting,213
264,Crafting,214
265,Crafting,215
266,Crafting,216
267,Crafting,217
268,Crafting,218
269,Crafting,219
270,Crafting,220
271,Crafting,221
272,Crafting,222
273,Crafting,223
274,Crafting,224
275,Crafting,225
276,Crafting,226
277,Crafting,227
278,Crafting,228
279,Crafting,229
280,Crafting,230
281,Crafting,231
282,Crafting,232
283,Crafting,233
284,Crafting,234
285,Crafting,235
286,Crafting,236
287,Crafting,237
288,Crafting,238
289,Crafting,239
290,Crafting,240
291,Crafting,241
292,Crafting,242
293,Crafting,243
294,Crafting,244
295,Crafting,245
296,Crafting,246
297,Crafting,247
298,Crafting,248
299,Crafting,249
300,Crafting,250
301,Crafting,251
302,Crafting,252
303,Crafting,253
304,Crafting,254
305,Crafting,255
306,Crafting,256
307,Crafting,257
308,Crafting,258
309,Crafting,259
310,Crafting,260
311,Crafting,261
312,Crafting,262
313,Crafting,263
314,Crafting,264
315,Crafting,265
316,Crafting,266
317,Crafting,267
318,Crafting,268
319,Crafting,269
320,Crafting,270
321,Crafting,271
322,Crafting,272
323,Crafting,273
324,Crafting,274
325,Crafting,275
326,Crafting,276
327,Crafting,277
328,Crafting,278
329,Crafting,280
330,Crafting,281
331,Crafting,282
332,Crafting,283
333,Crafting,284
334,Crafting,285
335,Crafting,286
336,Crafting,287
337,Crafting,288
338,Crafting,289
339,Crafting,290
340,Crafting,291
341,Crafting,292
342,Crafting,293
343,Crafting,294
344,Crafting,295
345,Crafting,296
346,Crafting,297
347,Crafting,298
348,Crafting,299
349,Crafting,300
350,Crafting,301
351,Crafting,302
352,Crafting,303
353,Crafting,304
354,Crafting,305
355,Crafting,306
356,Crafting,307
357,Crafting,308
358,Crafting,309
359,Crafting,310
360,Crafting,311
361,Crafting,312
362,Crafting,313
363,Crafting,314
364,Crafting,315
365,Crafting,316
366,Crafting,317
367,Crafting,318
368,Crafting,319
369,Crafting,320
370,Crafting,321
371,Crafting,322
372,Crafting,323
373,Crafting,324
374,Crafting,325
375,Crafting,326
376,Crafting,327
377,Crafting,328
378,Crafting,329
379,Crafting,330
