desc-string,id-int,itemId-int,petId-int
金属狗宠物蛋,1,665,6
南瓜先生宠物蛋,2,666,7
仙人掌战士宠物蛋,3,667,8
嗡嗡蜂宠物蛋,4,668,9
叶状潜伏者宠物蛋,5,669,10
矿矿猫宠物蛋,6,670,11
混沌幽灵宠物蛋,7,671,12
深红猛击者宠物蛋,8,672,13
冰霜爪牙宠物蛋,9,673,14
愤怒树桩宠物蛋,10,674,26
橙叶蛋头宠物蛋,11,675,27
骷髅士兵宠物蛋,12,676,28
黑化雪精灵宠物蛋,13,677,29
暗黑巨目宠物蛋,14,678,30
骷髅队长宠物蛋,15,679,31
冰球巨龟宠物蛋,16,680,32
雪兔巫师宠物蛋,17,681,33
骷髅弓箭手宠物蛋,18,682,34
炫光小霸王宠物蛋,19,683,57
火岩守卫宠物蛋,20,684,58
巨岩守卫宠物蛋,21,685,59
黄纹岩怪宠物蛋,22,686,62
智眸鹰守宠物蛋,23,687,63
星辰幼龙宠物蛋,24,688,64
谜光古灵宠物蛋,25,689,67
绿石雕灵宠物蛋,26,690,68
笑面刺盾宠物蛋,27,691,69
