col-int,desc-string,gainsArgs-string,gainsType-int[],icon-string,id-int,isTrunk-bool,layer-int,lvLimit-int,name-string,type-int,upgradeEXP-int[],upgradeRequireTreeLv-int,upgradeToken-int[],preNode-int[]
0," Serangan Tempur + 5
Pertahanan Tempur + 5
HP Maksimum Tempur + 20
Tenaga Maksimum + 10
","51,10000","1,3",talentTree-1,1,1,1,1,Penguasaan Pertempuran 1,2,450,0,0,
0," Serangan Tempur + 5
Pertahanan Tempur + 5
HP Maksimum Tempur + 20
Tenaga Maksimum + 10
","52,10000","1,3",talentTree-2,2,1,2,1,Penguasaan Pertempuran 2,2,900,1,1,1
0," Serangan Tempur + 5
Pertahanan Tempur + 5
HP Maksimum Tempur + 20
Tenaga Maksimum + 10
","53,10000","1,3",talentTree-3,3,1,3,1,Penguasaan Pertempuran 3,2,1800,2,2,2
0," Serangan Tempur + 5
Pertahanan Tempur + 5
HP Maksimum Tempur + 20
Tenaga Maksimum + 10
","54,10000","1,3",talentTree-4,4,1,4,1,Penguasaan Pertempuran 4,2,3600,3,3,3
0," Serangan Tempur + 5
Pertahanan Tempur + 5
HP Maksimum Tempur + 20
Tenaga Maksimum + 10
","55,10000","1,3",talentTree-5,5,1,5,1,Penguasaan Pertempuran 5,2,7200,4,4,4
0," Serangan Tempur + 5
Pertahanan Tempur + 5
HP Maksimum Tempur + 20
Tenaga Maksimum + 10
","56,10000","1,3",talentTree-6,6,1,6,1,Penguasaan Pertempuran 6,2,14400,5,5,5
0," Serangan Tempur + 5
Pertahanan Tempur + 5
HP Maksimum Tempur + 20
Tenaga Maksimum + 10
","57,10000","1,3",talentTree-7,7,1,7,1,Penguasaan Pertempuran 7,2,28800,6,6,6
0," Serangan Tempur + 5
Pertahanan Tempur + 5
HP Maksimum Tempur + 20
Tenaga Maksimum + 10
","58,10000","1,3",talentTree-8,8,1,8,1,Penguasaan Pertempuran 8,2,57600,7,7,7
0," Serangan Tempur + 5
Pertahanan Tempur + 5
HP Maksimum Tempur + 20
Tenaga Maksimum + 10
","59,10000","1,3",talentTree-9,9,1,9,1,Penguasaan Pertempuran 9,2,115200,8,8,8
-3," Kurangkan kelajuan pergerakan musuh.
",332,1,talentTree-10,10,0,2,1,Resipi Set Kumpulan,2,175,0,1,11
-3," Membius musuh di sekeliling anda.
",63,0,talentTree-11,11,0,1,1,Resipi Set Kumpulan,2,95,0,0,
