id-int,name-string,pageIds-int[]
1,Recurso de Item,
2,Recurso de Item,
3,Recurso de Item,
4,Monstro Assassino,7
5,Monstro Assassino,8
6,Monstro Assassino,9
7,Monstro Assassino,10
8,Monstro Assassino,11
9,Monstro Assassino,12
10,Monstro Assassino,13
11,Monstro Assassino,14
12,Monstro Assassino,16
13,Monstro Assassino,17
14,Monstro Assassino,18
15,Monstro Assassino,19
16,Monstro Assassino,20
17,Monstro Assassino,21
18,Monstro Assassino,22
19,Monstro Assassino,23
20,Monstro Assassino,24
21,Monstro Assassino,25
22,Monstro Assassino,26
23,Monstro Assassino,27
24,Monstro Assassino,28
25,Monstro Assassino,29
26,Monstro Assassino,30
27,Monstro Assassino,31
28,Monstro Assassino,32
29,Monstro Assassino,33
30,Monstro Assassino,34
31,Reúna,"35,36"
32,Desafio Masmorras,411
33,Reúna,"37,38"
34,Desafio Masmorras,412
35,Reúna,"39,40"
36,Desafio Masmorras,413
37,Reúna,"41,42"
38,Desafio Masmorras,414
39,Reúna,"43,44"
40,Desafio Masmorras,415
41,Reúna,"45,46"
42,Desafio Masmorras,416
43,Reúna,"47,48"
44,Desafio Masmorras,427
45,Reúna,"49,50"
46,Desafio Masmorras,428
47,Reúna,"51,52"
48,Desafio Masmorras,429
49,Reúna,"53,54,55"
50,Desmontagem de equipamentos agrícolas,430
51,Reúna,"56,57"
52,Desmontagem do equipamento de combate,431
53,Reúna,"58,59"
54,Desmontagem do equipamento de recolha,432
55,Reúna,"60,61"
56,Artesanato,433
57,Reúna,"62,63"
58,Artesanato,434
59,Reúna,"64,65"
60,Artesanato,435
61,Reúna,"66,67"
62,Artesanato,436
63,Reúna,"68,69"
64,Artesanato,437
65,Reúna,"70,71"
66,Artesanato,438
67,Recurso de Item,72
68,Artesanato,439
69,Reúna,"73,74,72"
70,Artesanato,440
71,Reúna,"75,76"
72,Artesanato,441
73,Reúna,"77,78"
74,Artesanato,442
75,Reúna,"79,80"
76,Artesanato,443
77,Reúna,"81,82"
78,Artesanato,444
79,Reúna,"83,84"
80,Artesanato,445
81,Reúna,"85,86"
82,Artesanato,446
83,Reúna,"87,88"
