boothFees-int[][],canDropScene-int[],canMint-int,desc-string,destructible-bool,givenSkillId-int,icon-string,id-int,name-string,onChainDelay-int,quality-int[],resourceInstructions-int[],sellable-bool,subType-int,talentId-int[],tokenTaskLevel-int[],tokenTaskRefreshType-int,type-int,useLv-int,userType-int
"792,1","1,3,4",1," Você pode obter este item através de síntese.
Usá-lo pode acionar efeitos especiais.
-------
A ração para animais é um item consumível adequado para animais de nível 0 e pode aumentar a saciedade e o valor de crescimento do animal de estimação. É feito de plantas naturais e nutrientes, com um sabor refrescante e fácil digestão e absorção. Cada pacote de ração para animais é leve e fácil de transportar, tornando-se um item indispensável para os donos de animais de estimação.",0,27,item-icon-28,28, Ração - Pequena,0,1,434,1,0,1,"1,0",0,3,0,1
"792,1","1,3,4",1," Você pode obter este item através de síntese.
Usá-lo pode acionar efeitos especiais.
-------
A ração animal é um produto consumível que fornece os nutrientes necessários para os animais manterem um crescimento saudável. É adequado para vários tipos de gado e animais de estimação, e pode aumentar sua produtividade e expectativa de vida.",0,27,item-icon-29,29, Ração - Grande,0,1,435,1,0,1,"1,0",0,3,0,1
"792,1","1,3,4",1,"Alguém viu uma vez este material à beira-mar.
Pode ser usado para criar equipamentos ou itens.
-------
Este slime verde é um material bruto raro que pode ser usado para fazer vários equipamentos de combate. Possui uma aderência extremamente forte e pode se ligar a uma variedade de materiais.",0,0,item-icon-30,30,Slime Verde,0,1,6,1,0,2,"1,0",1,4,1,1
"792,1","1,3,4",1," Alguém viu uma vez este material à beira-mar.
Pode ser usado para criar equipamentos ou itens.
-------
As vinhas de abóbora são um material bruto que pode ser usado para fazer armas e armaduras. Possuem uma textura resistente e excelente resistência, proporcionando proteção confiável e poder de ataque em combate.",0,0,item-icon-31,31, Vinhas de Abóbora,0,1,5,1,0,2,"1,0",1,4,1,1
"792,1","1,3,4",1," Alguém viu uma vez este material à beira-mar.
Pode ser usado para criar equipamentos ou itens.
-------
Este tipo de malha de arame é um material bruto usado para combate, que pode ser usado para fabricar estruturas defensivas ou equipamentos com alta resistência e durabilidade.",0,0,item-icon-32,32, Malha de Arame,0,1,4,1,0,2,"1,0",1,4,1,1
"793,1","1,3,4",1," Alguém viu uma vez este material no deserto.
Pode ser usado para criar equipamentos ou itens.
-------
As presas de gato das minas são um material bruto afiado que pode ser usado para fazer armas e armaduras. Elas vêm de animais felinos que vivem nas minas e possuem fortes habilidades de combate e agilidade.",0,0,item-icon-33,33, Garra Afiada do Gato Mineiro,0,1,7,1,0,2,2,1,4,2,1
"793,1","1,3,4",1," Alguém viu uma vez este material nas planícies.
Pode ser usado para criar equipamentos ou itens.
-------
Este filme leve é um material bruto usado para combate e pode ser usado para fabricar vários equipamentos defensivos e armas.",0,0,item-icon-34,34, Filme Fino de Luz,0,1,8,1,0,2,2,1,4,2,1
"793,1","1,3,4",1," Alguém viu uma vez este material no desfiladeiro.
Pode ser usado para criar equipamentos ou itens.
-------
A Coroa do Demônio da Grama é um material de combate de segundo nível feito a partir da cabeça dos Demônios da Grama e possui poderosas habilidades de combate.",0,0,item-icon-35,35, Coroa do Demônio da Grama,0,1,9,1,0,2,2,1,4,2,1
"794,1","1,3,4",1," Alguém viu uma vez este material na Floresta Negra.
Pode ser usado para criar equipamentos ou itens.
-------
Esta garra de gancho é feita de metal duro, muito afiada, adequada para uso em batalha. Sua forma é esguia e pode penetrar facilmente na defesa do inimigo.",0,0,item-icon-36,36, Garra Fina e Curva,0,1,10,1,0,2,3,1,4,3,1
"794,1","1,3,4",1," Alguém viu uma vez este material na Floresta Vermelha.
Pode ser usado para criar equipamentos ou itens.
-------
A pele vermelha é uma pele de alta qualidade com excelente desempenho defensivo, adequada para fazer equipamentos de combate. É um material bruto raro com alta dificuldade de coleta.",0,0,item-icon-37,37, Pele Carmesim,0,1,11,1,0,2,3,1,4,3,1
