classifyLevel-int,desc-string,displayType-int,icon-string,id-int,level-int,matItemId-int[][],name-string,productId-int[][],productTypes-int[],proficiency-int,recipesSort-int,sourceText-int,timeCost-int,timesLimit-int,type-int,unlockCondition-int,unlockType-int,useDitamin-int,useToken-int
1,Lv 1-Receita de Espada de Pedra,2,recipe-icon-44,44,1,"210,1;213,1",Lv 1-Receita de Espada de Pedra,"40,1,1,10000",1.0,0,10900044,1,10,-,2,0,4,0,0
2, Lv 2-Receita de Espada de Ferro,2,recipe-icon-45,45,2,"207,2;211,1;214,1", Lv 2-Receita de Espada de Ferro,"41,1,1,10000",1.0,0,10800045,1,10,-,2,0,4,0,0
3, Lv 3-Receita de Espada de Cristal,2,recipe-icon-46,46,3,"208,2;212,1;215,1", Lv 3-Receita de Espada de Cristal,"42,1,1,6000;42,2,1,4000",1.0,0,50700046,1,10,-,2,0,4,0,0
1, Lv 1-Receita de Enxada de Ferro,2,recipe-icon-62,62,1,"207,2", Lv 1-Receita de Enxada de Ferro,"80,1,1,10000",1.0,0,10900062,1,10,-,1,0,4,0,0
2, Lv 2-Receita de Enxada Amaldiçoada,2,recipe-icon-63,63,2,"216,2;208,2", Lv 2-Receita de Enxada Amaldiçoada,"81,1,1,10000",1.0,0,10800063,1,10,-,1,0,4,0,0
3, Lv 3-Receita de Enxada Abençoada,2,recipe-icon-64,64,3,"217,2;209,2", Lv 3-Receita de Enxada Abençoada,"82,1,1,6000;82,2,1,4000",1.0,0,50700064,1,10,-,1,0,4,0,0
1, Lv 1-Receita de Chaleira de Ferro,2,recipe-icon-66,66,1,"207,2", Lv 1-Receita de Chaleira de Ferro,"84,1,1,10000",1.0,0,10900066,1,10,-,1,0,4,0,0
2, Lv 2-Receita de Chaleira Amaldiçoada,2,recipe-icon-67,67,2,"216,2;208,2", Lv 2-Receita de Chaleira Amaldiçoada,"85,1,1,10000",1.0,0,10800067,1,10,-,1,0,4,0,0
3, Lv 3-Receita de Chaleira Abençoada,2,recipe-icon-68,68,3,"217,2;209,2", Lv 3-Receita de Chaleira Abençoada,"86,1,1,6000;86,2,1,4000",1.0,0,50700068,1,10,-,1,0,4,0,0
1, Lv 1-Receita de Picareta de Ferro,2,recipe-icon-70,70,1,"216,2", Lv 1-Receita de Picareta de Ferro,"88,1,1,10000",1.0,0,10900070,1,10,-,3,0,4,0,0
2, Lv 2-Receita de Picareta Amaldiçoada,2,recipe-icon-71,71,2,"210,1;213,1;217,2", Lv 2-Receita de Picareta Amaldiçoada,"89,1,1,10000",1.0,0,10800071,1,10,-,3,0,4,0,0
3, Lv 3-Receita de Picareta Abençoada,2,recipe-icon-72,72,3,"211,1;214,1;218,2", Lv 3-Receita de Picareta Abençoada,"90,1,1,6000;90,2,1,4000",1.0,0,50700072,1,10,-,3,0,4,0,0
1, Lv 1-Receita de Machado de Ferro,2,recipe-icon-74,74,1,"216,2", Lv 1-Receita de Machado de Ferro,"92,1,1,10000",1.0,0,10900074,1,10,-,3,0,4,0,0
2, Lv 2-Receita de Machado Amaldiçoado,2,recipe-icon-75,75,2,"210,1;213,1;217,2", Lv 2-Receita de Machado Amaldiçoado,"93,1,1,10000",1.0,0,10800075,1,10,-,3,0,4,0,0
3, Lv 3-Receita de Machado Abençoado,2,recipe-icon-76,76,3,"211,1;214,1;218,2", Lv 3-Receita de Machado Abençoado,"94,1,1,6000;94,2,1,4000",1.0,0,50700076,1,10,-,3,0,4,0,0
1, Fabricação Lv 0 Fertilizante Acelerado,2,recipe-icon-92,92,1,"65,1", Lv 0 Receita de Fertilizante Acelerado,"128,1,1,10000",3.0,0,40900092,1,10,-,1,0,4,0,0
1, Fabricação Lv 0 Fertilizante de Aumento de Produção,2,recipe-icon-93,93,1,"61,1", Lv 0 Receita de Fertilizante de Aumento de Produção,"129,1,1,10000",3.0,0,40900093,1,10,-,1,0,4,0,0
1, Fabricação Lv 0 Fertilizante Hidratante,2,recipe-icon-94,94,1,"69,1", Lv 0 Receita de Fertilizante Hidratante,"130,1,1,10000",3.0,0,40900094,1,10,-,1,0,4,0,0
1, Fabricação Lv 0 Poção de Cura Secundária,2,recipe-icon-95,95,1,"66,5;32,5", Lv 1 Receita de Poção,"134,1,1,5031;135,1,1,993;136,1,1,993;137,1,1,993;139,1,1,993;138,1,1,993",3.0,0,50900095,1,10,-,3,0,4,0,0
2, Fabricação Lv 1 Poção de Cura,2,recipe-icon-96,96,2,"67,2;75,2;35,2", Lv 2 Receita de Poção,"140,1,1,5031;142,1,1,993;141,1,1,993;143,1,1,993;145,1,1,993;144,1,1,993",3.0,0,50800096,1,10,-,3,0,4,0,0
2, Fabricação Lv 0 Fertilizante Hidratante Avançado,2,recipe-icon-101,101,2,"69,2;35,2", Lv 0 Receita de Fertilizante Acelerado Avançado,"133,1,1,10000",3.0,0,40800101,1,10,-,1,0,4,0,0
2, Fabricação Lv 0 Fertilizante de Aumento de Produção Avançado,2,recipe-icon-102,102,2,"61,2;35,2", Lv 0 Receita de Fertilizante de Aumento de Produção Avançado,"132,1,1,10000",3.0,0,40800102,1,10,-,1,0,4,0,0
