canInvest-bool,desc-string,extraDropPool-int,id-int,isRanking-bool,level-int[],loadingBg-string,maxDifficulty-int,name-string,refreshRatio-int[],reputationRequaireScore-int,respawnTimes-int,rewardFrequency-int,sceneName-string,sceneSubtype-int,sceneType-int,talentType-int,worldDropProbability-int,functionModule-int[],baseScore-int[],bossCovers-int[],challengeMode-int[],chapterBaseReward-int[],chapterEvents-int[][],chapterLuckyReward-int[],chapterProgress-int[],chapterPunish-int[][],chapterTimeLimit-int[],chapters-string[],dropRewardShow-int[],entityLevelRange-int[],punishDesc-string,randomSeeds-string[][],releaseTime-int[][],tickets-int[][],campLimit-int[],bossSeed-string[],chapterIds-int[],seedMaxLimit-int[]
0,Mundo aberto,0,10001,0,"0,999",HomeSceneLoading.jpg,0,WorldScene ,"5000,5000,5000,5000,5000,5000,5000,5000,5000,5000",-1,0,0,WorldScene,1,1,0,1850,,,,,,,,,,,,,,Vazio,,,,,,,
0, Terra Natal,0,10002,0,"0,999",HomeSceneLoading.jpg,0, Cena Inicial ,,-1,0,0,HomeScene,1,2,0,10000,3,,,,,,,,,,,,, Vazio,,,,,,,
0, Mundo de Testes,0,10003,0,"0,999",HomeSceneLoading.jpg,0, WorldScene02 ,,-1,0,0,WorldScene02,1,1,0,10000,,,,,,,,,,,,,, Vazio,,,,,,,
0," Aninhado dentro da exuberante folhagem da selva, é como um milagre na terra. Seus picos rochosos se assemelham a uma fileira de lâminas de espada afiadas, mas também se assemelham a pétalas.",160,20000,1,"0,3",DungeonSceneLoading_1_3.jpg,5, Pico das Flores ,,100,0,3,DungeonSceneLv1-3,1,3,2,10000,1,"10000,20000,30000","55,0,54",2,"58,59,60","16,17;16,17;16,17","61,62,63","30,60,120","3500,13500;3500,13500;3500,13500","120,190,400","Chapter 1/3,Chapter 2/3,Chapter 3/3",185,"1000,3000"," Quando você morre, há uma chance de soltar os itens da sua mochila.",0;0;0,"0,1440","468,1",,,,
0," Naquele domínio despedaçado, uma fortaleza escura se ergue orgulhosamente, suas bordas suspensas no vazio, desprovidas de qualquer suporte físico. Está repleto de um grande número de monstros perigosos, cultivando muitos colecionáveis raros nunca antes vistos.",40,20001,1,"4,6",DungeonSceneLoading_4_6.jpg,5, Reino Flutuante ,,160,0,3,DungeonSceneLv4-6,1,3,2,10000,1,"10000,20000,30000","37,39,38",2,"52,53,54","16,17;16,17;16,17","47,48,49","320,640,960","3500,13500;3500,13500;3500,13500","470,500,770","Chapter 1/3,Chapter 2/3,Chapter 3/3",186,"4000,6000"," Quando você morre, há uma chance de soltar os itens da sua mochila.",0;0;0,"0,1440","467,1",,,,
0," Batalhe contra criaturas flamejantes; lute no ambiente escuro e sinistro, protegendo-se contra ataques de seres do vazio; explore ruínas antigas para desenterrar segredos e tesouros escondidos nas profundezas. Aventureiros corajosos, estão prontos para enfrentar este desafio?",10,20002,1,"7,9",DungeonSceneLoading_7_9.jpg,5, Domínio Antigo ,,640,0,3,DungeonSCeneLv7-9,1,3,2,10000,1,"10000,20000,30000","61,71,66",2,"82,83,84","16,17;16,17;16,17","85,86,87","2560,5120,10240","3500,13500;3500,13500;3500,13500","470,500,760","Chapter 1/3,Chapter 2/3,Chapter 3/3",187,"7000,9000"," Quando você morre, há uma chance de soltar os itens da sua mochila.",0;0;0,"0,1440","658,1",,,,
1,,0,21001,0,"1,3",DungeonSceneLoading_7_9.jpg,0, Arena Júnior ,,-1,0,5,PVPDungeonSceneSoloLv1-3,2,3,2,10000,"1,2","0,10000","55,0,54",2,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging",,"1000,3000"," Quando você morre, há uma chance de soltar os itens da sua mochila.",0;0,"0,0","659,1","8,24",,,
1,,0,21002,0,"4,6",PVPDungeonSceneLoading_4_6.jpg,0, Arena Intermediária ,,-1,0,5,PVPDungeonSceneSoloLv4-6,2,3,2,10000,"1,2","0,10000","37,39,38",2,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging",,"4000,6000"," Quando você morre, há uma chance de soltar os itens da sua mochila.",0;0,"0,0","660,1","8,24",,,
1,,0,21003,0,"7,9",PVPDungeonSceneLoading_4_6.jpg,0, Arena Avançada ,,-1,0,5,PVPDungeonSceneSoloLv7-9,2,3,2,10000,"1,2","0,10000","61,71,66",2,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging",,"7000,9000"," Quando você morre, há uma chance de soltar os itens da sua mochila.",0;0,"0,0","661,1","8,24",,,
1,,0,22001,0,"1,3",DungeonSceneLoading_7_9.jpg,0, Arena Solo Júnior ,,-1,0,5,PVPDungeonSceneSoloLv1-3,2,3,2,10000,"1,2","0,10000","55,0,54",1,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging",,"1000,3000"," Quando você morre, há uma chance de soltar os itens da sua mochila.",0;0,"0,0","659,1","3,24",,,
