actions-int[],conditionType-int,conditions-int[],desc-string,id-int,name-string,type-int
1,1,2,怪物防御值增强了,1,Fortaleza,1
2,1,2,怪物攻击力增强了,2, Fúria,1
3,1,2,玩家防御值削弱了,3, Maldição,1
4,1,2,玩家攻击力削弱了,4, Fraqueza,1
5,1,2,怪物最大血量增加了,5, Sacrifício de Sangue,1
6,1,2,怪物防御值削弱了,6, Quebra de Armadura,1
7,1,2,怪物攻击力削弱了,7, Amortecimento,1
8,1,2,玩家防御值增强了,8, Guarda,1
9,1,2,玩家攻击力增强了,9, Inspirador,1
10,1,2,怪物最大血量减少了,10, Apoio,1
6,2,"17,18,19,20,21",怪物防御值削弱了,11, Quebra de Armadura,2
7,2,"17,18,19,20,21",怪物攻击力削弱了,12, Amortecimento,2
8,2,"17,18,19,20,21",玩家防御值增强了,13, Guarda,2
9,2,"17,18,19,20,21",玩家攻击力增强了,14, Inspirador,2
10,2,"17,18,19,20,21",怪物最大血量减少了,15, Apoio,2
11,1,1,减益,16, Evento Aleatório de Combate,1
12,1,3,增益,17, Evento Aleatório de Combate,1
13,1,1,减益,18, Evento Aleatório de Coleta,1
14,1,3,增益,19, Evento Aleatório de Coleta,1
15,1,5,减益,20, Evento Aleatório Agrícola,1
16,1,7,增益,21, Evento Aleatório Agrícola,1
"37,38",1,8,变化,22, Evento Básico de Coleta,1
39,2,"5,6",种田副本削减成长时间,23, Crescimento Acelerado,1
