desc-string,id-int,parameters_1-int[],parameters_2-int[][],type-int
A defesa do monstro foi reforçada.,1,2,650,2
 O poder de ataque do monstro foi reforçado.,2,2,651,2
 A defesa do jogador foi enfraquecida.,3,1,652,2
 O poder de ataque do jogador foi enfraquecido.,4,1,653,2
 O HP máximo do monstro aumentou.,5,2,654,2
 A defesa do monstro foi enfraquecida.,6,2,655,2
 O poder de ataque do monstro foi enfraquecido.,7,2,656,2
 A defesa do jogador foi reforçada.,8,1,657,2
 O poder de ataque do jogador foi reforçado.,9,1,658,2
 O HP máximo do monstro diminuiu.,10,2,659,2
 Desencadeou um evento aleatório de debuff em combate.,11,,"10000,1;10000,2;10000,3;10000,4;10000,5",1
 Desencadeou um evento aleatório de buff em combate.,12,,"10000,6;10000,7;10000,8;10000,9;10000,10",1
 Desencadeou um evento aleatório de debuff durante a coleta.,13,,"10000,17;10000,18;10000,19;10000,20",1
 Desencadeou um evento aleatório de buff durante a coleta.,14,,"10000,21;10000,18;10000,23;10000,24",1
 Desencadeou um evento aleatório de debuff na agricultura.,15,,"10000,25;10000,26;10000,28;10000,29;10000,30",1
 Desencadeou um evento aleatório de buff na agricultura.,16,,"10000,31;10000,32;10000,34;10000,35;10000,36",1
 A defesa do item de coleta foi reforçada.,17,5,"60,1,150,60,4;61,1,150,61,4;62,1,150,62,4",3
 O valor máximo de progresso do item de coleta foi reforçado.,18,5,"76,1,100,76,4",3
 O poder de ataque do jogador na coleta foi enfraquecido.,19,1,660,2
 A velocidade de movimento do jogador diminuiu.,20,1,661,2
 A defesa do item de coleta foi enfraquecida.,21,5,"60,1,-150,60,4;61,1,-150,61,4;62,1,-150,62,4",3
 O valor máximo de progresso do item de coleta foi enfraquecido.,22,5,"76,1,-100,76,4",3
 O poder de ataque do jogador na coleta foi reforçado.,23,1,662,2
 A velocidade de movimento do jogador aumentou.,24,1,663,2
 O requisito de água para as plantações aumentou.,25,8,"71,1,100,71,4",3
 O requisito de proficiência para as plantações aumentou.,26,8,"73,1,25,73,4",3
 As plantações voltaram para o estágio de crescimento anterior.,27,,"1,-1",4
 As plantações precisam ser regadas novamente.,28,,"2,0",4
 A velocidade de rega do jogador diminuiu.,29,1,664,2
 A proficiência de plantio do jogador foi enfraquecida.,30,1,665,2
 O requisito de água para as plantações diminuiu.,31,8,"71,1,-100,71,4",3
 O requisito de proficiência para as plantações diminuiu.,32,8,"73,1,-25,73,4",3
 As plantações entraram no próximo estágio de crescimento.,33,,"1,1",4
 Todas as plantações foram regadas.,34,,"2,1",4
 A velocidade de rega do jogador aumentou.,35,1,666,2
 A proficiência de plantio do jogador foi reforçada.,36,1,667,2
 Recálculo das estatísticas de coleta do jogador.,37,1,668,2
 Recálculo das estatísticas do item de coleta.,38,5,,3
 A velocidade de crescimento de todas as plantações aumentou.,39,8,,3
