designateOptions-string,details-string,difficulty-int,expReward-int[][],id-int,isSelfEnd-bool,itemReward-int,name-string,reputation-int,type-int,level-int[][],preTaskReq-int[],chanceOptions-string,unlockDungeon-int[]
"{""options"":[{""optionType"":2,""value"":""134,1"",""guiderPoint"":0}]}","For the sake of love and peace, please go to the designated place.
",0,"1,147",1,0,11,"Pelo amor e pela paz, por favor, vá para o local designado.
",0,2,,,,
"{""options"":[{""optionType"":1,""value"":""134,2"",""guiderPoint"":0},{""optionType"":2,""value"":""134,1"",""guiderPoint"":0}]}","For the sake of love and peace, please go to the designated place.
",0,"1,147",2,0,11," Pelo amor e pela paz, por favor, vá para o local designado.
",0,2,"1,1;2,1",1,,
"{""options"":[{""optionType"":3,""value"":""30,1"",""guiderPoint"":0}]}","For the sake of love and peace, please go to the designated place.
",0,"1,147",3,0,11," Pelo amor e pela paz, por favor, vá para o local designado.
",0,2,"2,2",2,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","For the sake of love and peace, please go to the designated place.
",0,"1,147",4,0,11," Pelo amor e pela paz, por favor, vá para o local designado.
",0,2,"2,3",3,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","For the sake of love and peace, please go to the designated place.
",0,"1,147",5,0,11," Pelo amor e pela paz, por favor, vá para o local designado.
",0,2,"2,4",4,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","For the sake of love and peace, please go to the designated place.
",0,"1,147",6,0,11," Pelo amor e pela paz, por favor, vá para o local designado.
",0,2,,5,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","For the sake of love and peace, please go to the designated place.
",0,"1,147",7,1,11," Pelo amor e pela paz, por favor, vá para o local designado.
",0,2,,5,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","For the sake of love and peace, please go to the designated place.
",0,"1,147",8,1,11," Pelo amor e pela paz, por favor, vá para o local designado.
",0,2,,"6,7",,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","For the sake of love and peace, please go to the designated place.
",0,"1,147",9,1,11," Pelo amor e pela paz, por favor, vá para o local designado.
",0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","For the sake of love and peace, please go to the designated place.
",0,"1,147",10,1,11," Pelo amor e pela paz, por favor, vá para o local designado.
",0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","For the sake of love and peace, please go to the designated place.
",0,"1,147",11,1,11," Pelo amor e pela paz, por favor, vá para o local designado.
",0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","For the sake of love and peace, please go to the designated place.
",0,"1,147",12,1,11," Pelo amor e pela paz, por favor, vá para o local designado.
",0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","For the sake of love and peace, please go to the designated place.
",0,"1,147",13,1,11," Pelo amor e pela paz, por favor, vá para o local designado.
",0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","For the sake of love and peace, please go to the designated place.
",0,"1,147",14,1,11," Pelo amor e pela paz, por favor, vá para o local designado.
",0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","For the sake of love and peace, please go to the designated place.
",0,"1,147",15,1,11," Pelo amor e pela paz, por favor, vá para o local designado.
",0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","For the sake of love and peace, please go to the designated place.
",0,"1,147",16,1,11," Pelo amor e pela paz, por favor, me dê essas coisas.
",0,2,,,,
,"For love and peace, please give me these.
",0,"3,84",17,1,24," Pelo amor e pela paz, por favor, me dê essas coisas.
",0,,,,"{""options"":[{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0},{""optionType"":1,""value"":""70,10,100"",""guiderPoint"":0},{""optionType"":1,""value"":""33,2,300"",""guiderPoint"":0},{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0}]}",
,"For love and peace, please give me these.
",0,"3,84",18,1,24," Pelo amor e pela paz, por favor, me dê essas coisas.
",0,,,,"{""options"":[{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0},{""optionType"":1,""value"":""58,3,200"",""guiderPoint"":0},{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0}]}",
,"For love and peace, please give me these.
",0,"3,84",19,1,24," Pelo amor e pela paz, por favor, me dê essas coisas.
",0,,,,"{""options"":[{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0},{""optionType"":1,""value"":""58,3,200"",""guiderPoint"":0},{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0}]}",
,"For love and peace, please give me these.
",0,"3,84",20,1,24, Ajude o Atirador a matar um Morcego Abóbora.,0,,,,"{""options"":[{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0},{""optionType"":1,""value"":""58,3,200"",""guiderPoint"":0},{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0}]}",
"{""options"":[{""optionType"":4,""value"":""111,3"",""guiderPoint"":30107}]}",Help Gunner to kill a Pumpkin Bat.,0,"2,465",21,0,0, Encontre Nash e leve a inteligência para ele.,0,1,,,,30001
"{""options"":[{""optionType"":13,""value"":""878,84,586,5"",""guiderPoint"":30109}]}",Find Nash and bring the intelligence to him.,0,,22,0,158," para abrir a interface da sua árvore de talentos
- Selecione aprimorar o ramo principal
- Selecione aprimorar a habilidade War Stomp
- Coloque a habilidade na barra de atalhos",0,2,,,,
"{""options"":[{""optionType"":15,""value"":""1,1"",""guiderPoint"":0},{""optionType"":15,""value"":""11,1"",""guiderPoint"":0}]}","- Press [Esc] to open your talent tree interface 
- Select upgrade main branch 
- Select upgrade War Stomp skill 
- Place the skill in the quick slot",0,"2,50;3,50;1,50",23,0,209," Use uma enxada para soltar o solo no campo e depois use sementes para semear no solo solto.
Plante 5 Sementes de Bambu, 5 Sementes de Trifolium e 5 Sementes de Cenoura no campo.",0,1,,21,,
"{""options"":[{""optionType"":3,""value"":""39,1"",""guiderPoint"":0}]}",Craft a Wooden Sword,0,"2,50;3,50;1,50",233,0,210, Crie uma Espada de Madeira,0,1,,23,,
"{""options"":[{""optionType"":2,""value"":""146,5"",""guiderPoint"":3601},{""optionType"":2,""value"":""147,5"",""guiderPoint"":3601},{""optionType"":2,""value"":""148,5"",""guiderPoint"":3601}]}","Use a hoe to loosen the soil in the field, and then use seeds to sow on the loosened soil.
Plant 5 Bamboo Seeds, 5 Trifoliums Seeds, and 5 Carrots Seeds in field.",0,"1,261",24,0,31," Após plantar as sementes, elas precisam ser regadas pacientemente três ou quatro vezes antes de amadurecerem. Quando estiverem prontas, você pode se aproximar para colhê-las. Depois disso, vá encontrar Silas. Ele precisa delas.",0,2,,45,,
"{""options"":[{""optionType"":1,""value"":""70,2"",""guiderPoint"":3601},{""optionType"":1,""value"":""71,2"",""guiderPoint"":3601},{""optionType"":1,""value"":""72,2"",""guiderPoint"":3601}]}","After planting the seeds, they need to be watered patiently three or four times before they mature. Once they are ready, you can approach it to harvest them. After that, go find Silas. He needs those.",0,"3,261",25,0,0," Abra a Criação de Coleta e refine uma Essência de Coleta. Antes disso, você precisa obter materiais suficientes.",0,2,,24,,
