areaSort-int,deathDrop-int[],deathEXPDrop-int,deathTaxation-int[][],desc-string,id-int,lockBackpack-bool,name-string,type-int
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",Нет смертной казни,1,0,Town,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Нет смертной казни,2,0,Surrounding Town,1
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5", Небольшая смертная казнь (процент предметов в рюкзаке),3,0,Snow Moutain,2
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5", Небольшая смертная казнь (процент предметов в рюкзаке),4,0,PvEP Fight Area,2
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Нет смертной казни,5,0,Home,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Нет смертной казни,6,0,Beach,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Нет смертной казни,7,0,Red Forest,1
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5", Небольшая смертная казнь (процент предметов в рюкзаке),8,0,Black Forest,2
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Нет смертной казни,9,0,Stormy Desert,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Нет смертной казни,10,0,Canyon,1
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5", Небольшая смертная казнь (процент предметов в рюкзаке),11,0,Hero Fish Statue,2
0,"30,20,15",5,"100,20,15;100,15,10;80,15,10;80,15,10;30,15,10;30,15,10", Умеренная смертная казнь (процент предметов в рюкзаке),12,1,Cemetery,3
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5", Небольшая смертная казнь (процент предметов в рюкзаке),13,0,Soul's Rest,2
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5", Небольшая смертная казнь (процент предметов в рюкзаке),14,0,Celestial Lake Mountain,2
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Нет смертной казни,15,0,Central Altar,1
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5", Небольшая смертная казнь (процент предметов в рюкзаке),16,0,Surrounding Altar,2
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5", Небольшая смертная казнь (процент предметов в рюкзаке),17,0,Ice Plain,2
0,"30,20,15",5,"100,20,15;100,15,10;80,15,10;80,15,10;30,15,10;30,15,10", Умеренная смертная казнь (процент предметов в рюкзаке),18,1,Depths of Ice Plain,3
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Нет смертной казни,19,0,Wilderness,1
1,"30,20,25",7,"100,20,20;100,15,15;80,15,15;80,15,15;30,15,15;30,15,15", Тяжелая смертная казнь (процент предметов в рюкзаке),20,1,Novice Arena 1/3,3
2,"30,20,25",7,"100,20,20;100,15,15;80,15,15;80,15,15;30,15,15;30,15,15", Тяжелая смертная казнь (процент предметов в рюкзаке),21,1,Novice Arena 2/3,3
3,"30,20,25",7,"100,20,20;100,15,15;80,15,15;80,15,15;30,15,15;30,15,15", Тяжелая смертная казнь (процент предметов в рюкзаке),22,1,Novice Arena 3/3,3
1,"30,20,25",7,"100,20,20;100,15,15;80,15,15;80,15,15;30,15,15;30,15,15", Тяжелая смертная казнь (процент предметов в рюкзаке),23,1,Intermediate Arena 1/3,3
2,"30,20,25",7,"100,20,20;100,15,15;80,15,15;80,15,15;30,15,15;30,15,15", Тяжелая смертная казнь (процент предметов в рюкзаке),24,1,Intermediate Arena 2/3,3
3,"30,20,25",7,"100,20,20;100,15,15;80,15,15;80,15,15;30,15,15;30,15,15", Тяжелая смертная казнь (процент предметов в рюкзаке),25,1,Intermediate Arena 3/3,3
1,"30,20,25",7,"100,20,20;100,15,15;80,15,15;80,15,15;30,15,15;30,15,15", Тяжелая смертная казнь (процент предметов в рюкзаке),26,1,Advanced Arena 1/3,3
2,"30,20,25",7,"100,20,20;100,15,15;80,15,15;80,15,15;30,15,15;30,15,15", Тяжелая смертная казнь (процент предметов в рюкзаке),27,1,Advanced Arena 2/3,3
3,"30,20,25",7,"100,20,20;100,15,15;80,15,15;80,15,15;30,15,15;30,15,15", Тяжелая смертная казнь (процент предметов в рюкзаке),28,1,Advanced Arena 3/3,3
