assetRes-string,dropId-int,exp-int,gatherPotentiality-int[],homeAction-int[],icon-string,id-int,initialAttribute-int[][],lv-int,name-string,progressScore-int,rankScore-int,tokenTaskLevel-int[],totemScore-int,worldDropGroup-int
2D_caijiziyuan_shumu01_1,27,15,"1000,1000",6,2D_caijiziyuan_shumu01_1,4,"60,0,1;61,100,1;62,0,1;63,120,1;76,750,1",1, Обычное дерево#4,2,14,"0, 1",1,1
Slice_12,27,15,"1000,1000",6,Slice_12,5,"60,0,1;61,100,1;62,0,1;63,120,1;76,750,1",1, Обычное дерево#5,2,14,999,1,1
2D_caijiziyuan_xianrenzhang,28,21.21320344,"1000,1000",6,2D_caijiziyuan_xianrenzhang,6,"60,0,1;61,100,1;62,0,1;63,113,1;76,750,1",2, Дерево пустыни#6,4,20,2,2,2
2D_caijiziyuan_hongguoshi,34,30,"1000,1000",5,2D_caijiziyuan_hongguoshi,7,"60,100,1;61,0,1;62,0,1;63,110,1;76,750,1",3, Магей#7,8,28,3,3,3
2D_caijiziyuan_shikuai_3,26,15,"1000,1000",7,2D_caijiziyuan_shikuai_3,8,"60,0,1;61,0,1;62,100,1;63,120,1;76,750,1",1, Минерал#8,2,14,"0, 1",1,1
2D_caijiziyuan_heitikuang,30,21.21320344,"1000,1000",7,2D_caijiziyuan_heitikuang,9,"60,0,1;61,0,1;62,100,1;63,113,1;76,750,1",2, Темное железо#9,4,20,2,2,2
2D_caijiziyuan_hongbaoshi,31,30,"1000,1000",7,2D_caijiziyuan_hongbaoshi,11,"60,0,1;61,0,1;62,100,1;63,110,1;76,750,1",3, Красная кристальная руда#11,8,28,3,3,3
Slice_11,32,15,"1000,1000",5,Slice_11,14,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1, Растительное волокно#14,2,14,"0, 1",1,1
2D_caijiziyuan_bingyuanzhiwu,33,21.21320344,"1000,1000",5,2D_caijiziyuan_bingyuanzhiwu,15,"60,100,1;61,0,1;62,0,1;63,113,1;76,750,1",2, Замороженный гриб#15,4,20,2,2,2
2D_caijiziyuan_anheimucai,29,30,"1000,1000",6,2D_caijiziyuan_anheimucai,16,"60,0,1;61,100,1;62,0,1;63,110,1;76,750,1",3, Темное дерево#16,8,28,3,3,3
homeresource-19,0,0,"1000,1000",5,homeresource-19,19,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1, Растительное волокно#19,2,14,999,1,0
homeresource-20,32,15,"1000,1000",5,homeresource-20,20,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1, Растительное волокно#20,2,14,"0, 1",1,1
2D_caijiziyuan_cao3,0,0,"1000,1000",5,2D_caijiziyuan_cao3,21,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1, Растительное волокно#21,2,14,999,1,0
homeresource-22,0,0,"1000,1000",5,homeresource-22,22,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,#22,2,14,999,1,0
homeresource-24,0,0,"1000,1000",5,homeresource-24,24,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,#24,2,14,999,1,0
homeresource-25,0,0,"1000,1000",5,homeresource-25,25,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,#25,2,14,999,1,0
homeresource-26,0,0,"1000,1000",5,homeresource-26,26,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,#26,2,14,999,1,0
homeresource-27,0,0,"1000,1000",5,homeresource-27,27,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,#27,2,14,999,1,0
homeresource-28,0,0,"1000,1000",5,homeresource-28,28,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,#28,2,14,999,1,0
homeresource-29,0,0,"1000,1000",6,homeresource-29,29,"60,0,1;61,100,1;62,0,1;63,120,1;76,750,1",1, Обычное дерево#29,2,14,999,1,0
homeresource-30,0,0,"1000,1000",5,homeresource-30,30,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1, Растительное волокно#30,2,14,999,1,0
homeresource-31,0,0,"1000,1000",5,homeresource-31,31,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1, Растительное волокно#31,2,14,999,1,0
homeresource-32,0,0,"1000,1000",5,homeresource-32,32,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1, Растительное волокно#32,2,14,999,1,0
homeresource-33,0,15,"1000,1000",5,homeresource-33,33,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1, Растительное волокно#33,2,14,999,1,0
2D_caijiziyuan_shikuai_4,26,15,"1000,1000",7,2D_caijiziyuan_shikuai_4,34,"60,0,1;61,0,1;62,100,1;63,120,1;76,750,1",1, Минерал#34,2,14,999,1,1
homeresource-35,27,15,"1000,1000",6,homeresource-35,35,"60,0,1;61,100,1;62,0,1;63,120,1;76,750,1",1, Обычное дерево#35,2,14,999,1,1
homeresource-36,28,21.21320344,"1000,1000",6,homeresource-36,36,"60,0,1;61,100,1;62,0,1;63,113,1;76,750,1",2, Дерево пустыни#36,4,20,2,2,2
homeresource-37,29,30,"1000,1000",6,homeresource-37,37,"60,0,1;61,100,1;62,0,1;63,110,1;76,750,1",3, Темное дерево#37,8,28,3,3,3
