backGround-string,desc-string,id-int,pictureAsset-string
Assets/Res/Sprite/Instructions/Background/Common.png,@@[1] Убийство монстра - Металлический Пес,7,Assets/Res/Sprite/Icon/Head/monster-icon-6.png
Assets/Res/Sprite/Instructions/Background/Common.png,[2] Убийство монстра - Тыквенный Демон,8,Assets/Res/Sprite/Icon/Head/monster-icon-7.png
Assets/Res/Sprite/Instructions/Background/Common.png,[3] Убийство монстра - Кактусовый Воин,9,Assets/Res/Sprite/Icon/Head/monster-icon-8.png
Assets/Res/Sprite/Instructions/Background/Common.png,[4] Убийство монстра - Горный Кот,10,Assets/Res/Sprite/Icon/Head/monster-icon-9.png
Assets/Res/Sprite/Instructions/Background/Common.png,[5] Убийство монстра - Жужжащий Приятель,11,Assets/Res/Sprite/Icon/Head/monster-icon-11.png
Assets/Res/Sprite/Instructions/Background/Common.png,[6] Убийство монстра - Лиственный Засадчик,12,Assets/Res/Sprite/Icon/Head/monster-icon-10.png
Assets/Res/Sprite/Instructions/Background/Common.png,[7] Убийство монстра - Хаосовый Призрак,13,Assets/Res/Sprite/Icon/Head/monster-icon-12.png
Assets/Res/Sprite/Instructions/Background/Common.png,[8] Убийство монстра - Малиновый Укусатель,14,Assets/Res/Sprite/Icon/Head/monster-icon-13.png
Assets/Res/Sprite/Instructions/Background/Common.png,[9] Убийство монстра - Морозная Лапа,16,Assets/Res/Sprite/Icon/Head/monster-icon-14.png
Assets/Res/Sprite/Instructions/Background/Common.png,[10] Убийство монстра - Скелет-Солдат,17,Assets/Res/Sprite/Icon/Head/monster-icon-96.png
Assets/Res/Sprite/Instructions/Background/Common.png,[11] Убийство монстра - Оранжеволистый Яичная Голова,18,Assets/Res/Sprite/Icon/Head/monster-icon-97.png
Assets/Res/Sprite/Instructions/Background/Common.png,[12] Убийство монстра - Злой Пень,19,Assets/Res/Sprite/Icon/Head/monster-icon-98.png
Assets/Res/Sprite/Instructions/Background/Common.png,[13] Убийство монстра - Темный Снежный Дух,20,Assets/Res/Sprite/Icon/Head/monster-icon-101.png
Assets/Res/Sprite/Instructions/Background/Common.png,[14] Убийство монстра - Скелет-Капитан,21,Assets/Res/Sprite/Icon/Head/monster-icon-99.png
Assets/Res/Sprite/Instructions/Background/Common.png,[15] Убийство монстра - Теневой Бегемот,22,Assets/Res/Sprite/Icon/Head/monster-icon-100.png
Assets/Res/Sprite/Instructions/Background/Common.png,[16] Убийство монстра - Скелет-Лучник,23,Assets/Res/Sprite/Icon/Head/monster-icon-103.png
Assets/Res/Sprite/Instructions/Background/Common.png,[17] Убийство монстра - Кролик-Волшебник,24,Assets/Res/Sprite/Icon/Head/monster-icon-104.png
Assets/Res/Sprite/Instructions/Background/Common.png,[18] Убийство монстра - Ледяной Гигант-Панцирь,25,Assets/Res/Sprite/Icon/Head/monster-icon-102.png
Assets/Res/Sprite/Instructions/Background/Common.png,[19] Убийство монстра - Ослепительный Маленький Властелин,26,Assets/Res/Sprite/Icon/Head/monster-icon-112.png
Assets/Res/Sprite/Instructions/Background/Common.png,[20] Убийство монстра - Огненный Каменный Часовой,27,Assets/Res/Sprite/Icon/Head/monster-icon-113.png
Assets/Res/Sprite/Instructions/Background/Common.png,[21] Убийство монстра - Гигантский Каменный Часовой,28,Assets/Res/Sprite/Icon/Head/monster-icon-114.png
Assets/Res/Sprite/Instructions/Background/Common.png,[22] Убийство монстра - Желто-Полосатое Каменное Чудовище,29,Assets/Res/Sprite/Icon/Head/monster-icon-115.png
Assets/Res/Sprite/Instructions/Background/Common.png,[23] Убийство монстра - Мудрый Орел-Страж,30,Assets/Res/Sprite/Icon/Head/monster-icon-116.png
Assets/Res/Sprite/Instructions/Background/Common.png,[24] Убийство монстра - Молодой Дракон Звездного Света,31,Assets/Res/Sprite/Icon/Head/monster-icon-117.png
Assets/Res/Sprite/Instructions/Background/Common.png,[25] Убийство монстра - Загадочный Световой Дух,32,Assets/Res/Sprite/Icon/Head/monster-icon-118.png
