id-int,name-string,pageIds-int[]
1,Ресурс предметов,
2,Ресурс предметов,
3,Ресурс предметов,
4,Убийство монстра,7
5,Убийство монстра,8
6,Убийство монстра,9
7,Убийство монстра,10
8,Убийство монстра,11
9,Убийство монстра,12
10,Убийство монстра,13
11,Убийство монстра,14
12,Убийство монстра,16
13,Убийство монстра,17
14,Убийство монстра,18
15,Убийство монстра,19
16,Убийство монстра,20
17,Убийство монстра,21
18,Убийство монстра,22
19,Убийство монстра,23
20,Убийство монстра,24
21,Убийство монстра,25
22,Убийство монстра,26
23,Убийство монстра,27
24,Убийство монстра,28
25,Убийство монстра,29
26,Убийство монстра,30
27,Убийство монстра,31
28,Убийство монстра,32
29,Убийство монстра,33
30,Убийство монстра,34
31,Соберите,"35,36"
32,Задача подземелья,411
33,Соберите,"37,38"
34,Задача подземелья,412
35,Соберите,"39,40"
36,Задача подземелья,413
37,Соберите,"41,42"
38,Задача подземелья,414
39,Соберите,"43,44"
40,Задача подземелья,415
41,Соберите,"45,46"
42,Задача подземелья,416
43,Соберите,"47,48"
44,Задача подземелья,427
45,Соберите,"49,50"
46,Задача подземелья,428
47,Соберите,"51,52"
48,Задача подземелья,429
49,Соберите,"53,54,55"
50,Демонтаж сельскохозяйственного оборудования,430
51,Соберите,"56,57"
52,Демонтаж боевого снаряжения,431
53,Соберите,"58,59"
54,Демонтаж оборудования для сбора,432
55,Соберите,"60,61"
56,Ремесло,433
57,Соберите,"62,63"
58,Ремесло,434
59,Соберите,"64,65"
60,Ремесло,435
61,Соберите,"66,67"
62,Ремесло,436
63,Соберите,"68,69"
64,Ремесло,437
65,Соберите,"70,71"
66,Ремесло,438
67,Ресурс предметов,72
68,Ремесло,439
69,Соберите,"73,74,72"
70,Ремесло,440
71,Соберите,"75,76"
72,Ремесло,441
73,Соберите,"77,78"
74,Ремесло,442
75,Соберите,"79,80"
76,Ремесло,443
77,Соберите,"81,82"
78,Ремесло,444
79,Соберите,"83,84"
80,Ремесло,445
81,Соберите,"85,86"
82,Ремесло,446
83,Соберите,"87,88"
84,Ремесло,447
85,Соберите,"89,90"
86,Ремесло,448
87,Посадка,384
88,Посадка,385
89,Посадка,386
90,Посадка,387
91,Посадка,388
92,Посадка,389
93,Посадка,390
94,Посадка,391
95,Посадка,392
96,Посадка,393
97,Посадка,394
98,Посадка,395
99,Посадка,396
100,Посадка,397
101,Посадка,398
102,Посадка,399
103,Посадка,400
104,Посадка,401
105,Посадка,402
106,Посадка,403
107,Посадка,404
108,Посадка,405
109,Посадка,406
110,Посадка,407
111,Посадка,408
112,Посадка,409
113,Посадка,410
114,Животноводство,356
115,Животноводство,357
116,Животноводство,358
117,Животноводство,359
118,Животноводство,360
119,Животноводство,361
120,Животноводство,362
121,Животноводство,363
122,Животноводство,365
123,Животноводство,366
124,Животноводство,367
125,Животноводство,368
126,Животноводство,369
127,Животноводство,370
128,Животноводство,371
129,Животноводство,372
130,Животноводство,373
131,Животноводство,374
132,Животноводство,375
133,Животноводство,376
134,Животноводство,377
135,Животноводство,378
136,Животноводство,379
137,Животноводство,380
138,Животноводство,381
139,Животноводство,382
140,Животноводство,383
141,Ремесло,91
142,Ремесло,92
143,Ремесло,93
144,Ремесло,94
145,Ремесло,95
146,Ремесло,96
147,Ремесло,97
148,Ремесло,98
149,Ремесло,99
150,Ремесло,100
151,Ремесло,101
152,Ремесло,102
153,Ремесло,103
154,Ремесло,104
155,Ремесло,105
156,Ремесло,106
157,Ремесло,107
158,Ремесло,108
159,Ремесло,109
160,Ремесло,110
161,Ремесло,111
162,Ремесло,112
163,Ремесло,113
164,Ремесло,114
165,Ремесло,115
166,Ремесло,116
167,Ремесло,117
168,Ремесло,118
169,Ремесло,119
170,Ремесло,120
171,Ремесло,121
172,Ремесло,122
173,Ремесло,123
174,Ремесло,124
175,Ремесло,125
176,Ремесло,126
177,Ремесло,127
178,Ремесло,128
179,Ремесло,129
180,Ремесло,130
181,Ремесло,131
182,Ремесло,132
183,Ремесло,133
184,Ремесло,134
185,Ремесло,135
186,Ремесло,136
187,Ремесло,137
188,Ремесло,138
189,Ремесло,139
190,Ремесло,140
191,Ремесло,141
192,Ремесло,142
193,Ремесло,143
194,Ремесло,144
195,Ремесло,145
196,Ремесло,146
197,Ремесло,147
198,Ремесло,148
199,Ремесло,149
200,Ремесло,150
201,Ремесло,151
202,Ремесло,152
203,Ремесло,153
204,Ремесло,154
205,Ремесло,155
206,Ремесло,156
207,Ремесло,157
