boothFees-int[][],canDropScene-int[],canMint-int,desc-string,destructible-bool,givenSkillId-int,icon-string,id-int,name-string,onChainDelay-int,quality-int[],resourceInstructions-int[],sellable-bool,subType-int,talentId-int[],tokenTaskLevel-int[],tokenTaskRefreshType-int,type-int,useLv-int,userType-int
"792,1","1,3,4",1,"Вы можете получить этот предмет через синтез.
Использование его может вызвать специальные эффекты.
-------
Корм для домашних животных - это расходуемый предмет, который подходит для домашних животных уровня 0 и может увеличить их насыщенность и значение роста. Он изготовлен из натуральных растений и питательных веществ, имеет освежающий вкус, легко усваивается и усваивается. Каждая упаковка корма для домашних животных легкая и удобна в ношении, что делает ее неотъемлемым предметом для владельцев домашних животных.",0,27,item-icon-28,28,Корм - Маленький,0,1,434,1,0,1,"1,0",0,3,0,1
"792,1","1,3,4",1," Вы можете получить этот предмет через синтез.
Использование его может вызвать специальные эффекты.
-------
Корм для животных - это расходуемый продукт, который обеспечивает необходимые питательные вещества для животных для поддержания здорового роста. Он подходит для различного скота и домашних животных и может увеличить их продуктивность и продолжительность жизни.",0,27,item-icon-29,29, Корм - Большой,0,1,435,1,0,1,"1,0",0,3,0,1
"792,1","1,3,4",1," Кто-то однажды увидел этот материал у моря.
Его можно использовать для создания экипировки или предметов.
-------
Эта зеленая слизь - редкое сырье, которое можно использовать для изготовления различной боевой экипировки. У нее крайне сильное сцепление и она может соединяться с различными материалами. ",0,0,item-icon-30,30, Зеленая слизь,0,1,6,1,0,2,"1,0",1,4,1,1
"792,1","1,3,4",1," Кто-то однажды увидел этот материал у моря.
Его можно использовать для создания экипировки или предметов.
-------
Тыквенные лозы - сырье, которое можно использовать для изготовления оружия и доспехов. Они имеют прочную текстуру и отличную прочность, обеспечивая надежную защиту и силу атаки в бою. ",0,0,item-icon-31,31, Тыквенные лозы,0,1,5,1,0,2,"1,0",1,4,1,1
"792,1","1,3,4",1," Кто-то однажды увидел этот материал у моря.
Его можно использовать для создания экипировки или предметов.
-------
Этот вид проволочной сетки - сырье для боя, которое можно использовать для изготовления защитных конструкций или экипировки с высокой прочностью и долговечностью. ",0,0,item-icon-32,32, Проволочная сетка,0,1,4,1,0,2,"1,0",1,4,1,1
"793,1","1,3,4",1," Кто-то однажды увидел этот материал в пустыне.
Его можно использовать для создания экипировки или предметов.
-------
Клыки кота из шахты - острое сырье, которое можно использовать для изготовления оружия и доспехов. Они происходят от кошачьих животных, живущих в шахтах, и обладают сильными боевыми способностями и ловкостью. ",0,0,item-icon-33,33, Острые клыки горного кота,0,1,7,1,0,2,2,1,4,2,1
"793,1","1,3,4",1," Кто-то однажды увидел этот материал на лугах.
Его можно использовать для создания экипировки или предметов.
-------
Эта легкая пленка - сырье для боя и может использоваться для изготовления различной защитной экипировки и оружия. ",0,0,item-icon-34,34, Легкая тонкая пленка,0,1,8,1,0,2,2,1,4,2,1
"793,1","1,3,4",1," Кто-то однажды увидел этот материал в каньоне.
Его можно использовать для создания экипировки или предметов.
-------
Корона Травяного Демона - материал второго уровня для боя, изготовленный из головы Травяных Демонов и обладающий мощными боевыми способностями. ",0,0,item-icon-35,35, Корона травяного демона,0,1,9,1,0,2,2,1,4,2,1
"794,1","1,3,4",1," Кто-то однажды увидел этот материал в Черном Лесу.
Его можно использовать для создания экипировки или предметов.
-------
Этот крюк-коготь изготовлен из твердого металла, очень острый, подходит для использования в бою. Его форма тонкая, и он легко проникает сквозь защиту противника. ",0,0,item-icon-36,36, Тонкий крюк-коготь,0,1,10,1,0,2,3,1,4,3,1
"794,1","1,3,4",1," Кто-то однажды увидел этот материал в Красном Лесу.
Его можно использовать для создания экипировки или предметов.
-------
Малиновая шерсть - высококачественная шерсть с отличными защитными характеристиками, подходящая для изготовления боевой экипировки. Это редкое сырье с высокой сложностью сбора. ",0,0,item-icon-37,37, Малиновая шерсть,0,1,11,1,0,2,3,1,4,3,1
"794,1","1,3,4",1," Кто-то однажды увидел этот материал на Снежной Горе.
Его можно использовать для создания экипировки или предметов.
-------
Это редкое сырье, которое можно получить в битвах. Оно имеет внешний вид льда и снега, с пушистой текстурой, которая манит к прикосновению. ",0,0,item-icon-38,38, Снежный пух,0,1,12,1,0,2,3,1,4,3,1
"792,1",0,1," Вы можете получить этот предмет через синтез.
При ношении он может улучшить атрибуты. Увеличьте вероятность выживания в битвах
-------
Прочное деревянное оружие, созданное для быстрых и точных ударов, идеально подходит для начинающих, оттачивающих свои боевые навыки. Его легкий дизайн позволяет проворным движениям, делая его идеальным выбором для тех, кто ищет универсальное и надежное оружие. ",1,0,item-icon-39,39, Деревянный меч,1440,1,256,0,0,2,999,0,1,0,1
"792,1",0,1," Вы можете получить этот предмет через синтез.
При ношении он может улучшить атрибуты. Увеличьте вероятность выживания в битвах
-------
Острое и прочное оружие, изготовленное из твердого камня, идеально подходит для ближнего боя. Его вес и баланс облегчают управление, обеспечивая мощные удары с точностью. ",0,0,item-icon-40,40, Каменный меч,1,1,264,1,0,2,999,0,1,1,1
