classifyLevel-int,desc-string,displayType-int,icon-string,id-int,level-int,matItemId-int[][],name-string,productId-int[][],productTypes-int[],proficiency-int,recipesSort-int,sourceText-int,timeCost-int,timesLimit-int,type-int,unlockCondition-int,unlockType-int,useDitamin-int,useToken-int
1,@@ Lv 1-Рецепт каменного меча,2,recipe-icon-44,44,1,"210,1;213,1",Уровень 1 Рецепт Каменного Меча,"40,1,1,10000",1,0,10900044,1,10,-,2,0,4,0,0
2, Lv 2-Рецепт железного меча,2,recipe-icon-45,45,2,"207,2;211,1;214,1", Уровень 2 Рецепт Железного Меча,"41,1,1,10000",1,0,10800045,1,10,-,2,0,4,0,0
3, Lv 3-Рецепт кристального меча,2,recipe-icon-46,46,3,"208,2;212,1;215,1", Уровень 3 Рецепт Кристального Меча,"42,1,1,6000;42,2,1,4000",1,0,50700046,1,10,-,2,0,4,0,0
1, Lv 1-Рецепт железной мотыги,2,recipe-icon-62,62,1,"207,2", Уровень 1 Рецепт Железной Мотыги,"80,1,1,10000",1,0,10900062,1,10,-,1,0,4,0,0
2, Lv 2-Рецепт проклятой мотыги,2,recipe-icon-63,63,2,"216,2;208,2", Уровень 2 Рецепт Проклятой Мотыги,"81,1,1,10000",1,0,10800063,1,10,-,1,0,4,0,0
3, Lv 3-Рецепт благословенной мотыги,2,recipe-icon-64,64,3,"217,2;209,2", Уровень 3 Рецепт Благословенной Мотыги,"82,1,1,6000;82,2,1,4000",1,0,50700064,1,10,-,1,0,4,0,0
1, Lv 1-Рецепт железного чайника,2,recipe-icon-66,66,1,"207,2", Уровень 1 Рецепт Железного Чайника,"84,1,1,10000",1,0,10900066,1,10,-,1,0,4,0,0
2, Lv 2-Рецепт проклятого чайника,2,recipe-icon-67,67,2,"216,2;208,2", Уровень 2 Рецепт Проклятого Чайника,"85,1,1,10000",1,0,10800067,1,10,-,1,0,4,0,0
3, Lv 3-Рецепт благословенного чайника,2,recipe-icon-68,68,3,"217,2;209,2", Уровень 3 Рецепт Благословенного Чайника,"86,1,1,6000;86,2,1,4000",1,0,50700068,1,10,-,1,0,4,0,0
1, Lv 1-Рецепт железной кирки,2,recipe-icon-70,70,1,"216,2", Уровень 1 Рецепт Железной Кирки,"88,1,1,10000",1,0,10900070,1,10,-,3,0,4,0,0
2, Lv 2-Рецепт проклятой кирки,2,recipe-icon-71,71,2,"210,1;213,1;217,2", Уровень 2 Рецепт Проклятой Кирки,"89,1,1,10000",1,0,10800071,1,10,-,3,0,4,0,0
3, Lv 3-Рецепт благословенной кирки,2,recipe-icon-72,72,3,"211,1;214,1;218,2", Уровень 3 Рецепт Благословенной Кирки,"90,1,1,6000;90,2,1,4000",1,0,50700072,1,10,-,3,0,4,0,0
1, Lv 1-Рецепт железного топора,2,recipe-icon-74,74,1,"216,2", Уровень 1 Рецепт Железного Топора,"92,1,1,10000",1,0,10900074,1,10,-,3,0,4,0,0
2, Lv 2-Рецепт проклятого топора,2,recipe-icon-75,75,2,"210,1;213,1;217,2", Уровень 2 Рецепт Проклятого Топора,"93,1,1,10000",1,0,10800075,1,10,-,3,0,4,0,0
3, Lv 3-Рецепт благословенного топора,2,recipe-icon-76,76,3,"211,1;214,1;218,2", Уровень 3 Рецепт Благословенного Топора,"94,1,1,6000;94,2,1,4000",1,0,50700076,1,10,-,3,0,4,0,0
1, Рецепт ускоренного удобрения на уровне 0,2,recipe-icon-92,92,1,"65,1", Уровень 0 Рецепт Ускоренного Удобрения,"128,1,1,10000",3,0,40900092,1,10,-,1,0,4,0,0
