desc-string,id-int,parameters_1-int[],parameters_2-int[][],type-int
@@ Максимальное HP монстра увеличено.,1,2,650,2
 Защита монстра ослаблена.,2,2,651,2
 Атака монстра ослаблена.,3,1,652,2
 Защита игрока усилена.,4,1,653,2
 Атака игрока усилена.,5,2,654,2
 Максимальное HP монстра уменьшено.,6,2,655,2
 Сработало случайное дебафф-событие в бою.,7,2,656,2
 Сработало случайное бафф-событие в бою.,8,1,657,2
 Сработало случайное дебафф-событие во время сбора.,9,1,658,2
 Сработало случайное бафф-событие во время сбора.,10,2,659,2
 Сработало случайное дебафф-событие во время фермерства.,11,,"10000,1;10000,2;10000,3;10000,4;10000,5",1
 Сработало случайное бафф-событие во время фермерства.,12,,"10000,6;10000,7;10000,8;10000,9;10000,10",1
 Защита предмета для сбора усилена.,13,,"10000,17;10000,18;10000,19;10000,20",1
 Максимальное значение прогресса предмета для сбора усилено.,14,,"10000,21;10000,18;10000,23;10000,24",1
 Атака игрока при сборе ослаблена.,15,,"10000,25;10000,26;10000,28;10000,29;10000,30",1
 Скорость передвижения игрока замедлена.,16,,"10000,31;10000,32;10000,34;10000,35;10000,36",1
 Защита предмета для сбора ослаблена.,17,5,"60,1,150,60,4;61,1,150,61,4;62,1,150,62,4",3
 Максимальное значение прогресса предмета для сбора ослаблено.,18,5,"76,1,100,76,4",3
 Атака игрока при сборе усилена.,19,1,660,2
 Скорость передвижения игрока увеличена.,20,1,661,2
 Требование воды для урожая увеличено.,21,5,"60,1,-150,60,4;61,1,-150,61,4;62,1,-150,62,4",3
 Требование профессионализма для урожая увеличено.,22,5,"76,1,-100,76,4",3
 Урожай вернулся к предыдущему этапу роста.,23,1,662,2
 Урожай нужно полить снова.,24,1,663,2
 Скорость полива игрока замедлена.,25,8,"71,1,100,71,4",3
 Профессионализм посадки игрока ослаблен.,26,8,"73,1,25,73,4",3
 Требование воды для урожая уменьшено.,27,,"1,-1",4
 Требование профессионализма для урожая уменьшено.,28,,"2,0",4
 Урожай перешел на следующий этап роста.,29,1,664,2
 Все урожаи политы.,30,1,665,2
 Скорость полива игрока увеличена.,31,8,"71,1,-100,71,4",3
 Профессионализм посадки игрока усилен.,32,8,"73,1,-25,73,4",3
 Пересчет статистики сбора игрока.,33,,"1,1",4
 Пересчет статистики предмета для сбора. ,34,,"2,1",4
 Скорость роста всех урожаев увеличена.,35,1,666,2
Игровой профессионализм посадки игрока был улучшен.,36,1,667,2
 Пересчет статистики сбора игрока.,37,1,668,2
 Пересчет статистики предметов сбора.,38,5,,3
 Скорость роста всех культур увеличена.,39,8,,3
