col-int,desc-string,gainsArgs-string,gainsType-int[],icon-string,id-int,isTrunk-bool,layer-int,lvLimit-int,name-string,resetCost-int,type-int,upgradeEXP-int[],upgradeRequireTreeLv-int,preNode-int[],upgradeToken-int[]
0," Атака в бою + 5
Защита в бою + 5
Максимальное здоровье в бою + 20
Максимальная энергия + 10
Разблокировать Рецепты Энергии","51,588#1199#1259,10000","1,2,3",talentTree-1,1,1,1,1,Боевое мастерство 1,0,2,450,0,,0
0," Атака в бою + 5
Защита в бою + 5
Максимальное здоровье в бою + 20
Максимальная энергия + 10
Разблокировать Рецепты Энергии","52,585#1194#1260,10000","1,2,3",talentTree-2,2,1,2,1, Боевое мастерство 2,0,2,900,1,1,0
0,"Бой АТК + 5
Бой ЗАЩ + 5
Бой МаксХП + 20
МаксЭнергия + 10
Разблокировать Рецепты Энергии","53,592#1192#1261,10000","1,2,3",talentTree-3,3,1,3,1, Боевое мастерство 3,10000,2,1800,2,2,200
0," Бой АТК + 5
Бой ЗАЩ + 5
Бой МаксХП + 20
МаксЭнергия + 10
Разблокировать Рецепты Энергии","54,590#1197#1262,10000","1,2,3",talentTree-4,4,1,4,1, Боевое мастерство 4,20000,2,3600,3,3,1000
0," Бой АТК + 5
Бой ЗАЩ + 5
Бой МаксХП + 20
МаксЭнергия + 10
Разблокировать Рецепты Энергии","55,589#1196#1263,10000","1,2,3",talentTree-5,5,1,5,1, Боевое мастерство 5,30000,2,7200,4,4,2000
0," Бой АТК + 5
Бой ЗАЩ + 5
Бой МаксХП + 20
МаксЭнергия + 10
Разблокировать Рецепты Энергии","56,595#1195#1264,10000","1,2,3",talentTree-6,6,1,6,1, Боевое мастерство 6,40000,2,14400,5,5,3200
0," Бой АТК + 5
Бой ЗАЩ + 5
Бой МаксХП + 20
МаксЭнергия + 10
Разблокировать Рецепты Энергии","57,614#1200#1265,10000","1,2,3",talentTree-7,7,1,7,1, Боевое мастерство 7,50000,2,28800,6,6,4600
0," Бой АТК + 5
Бой ЗАЩ + 5
Бой МаксХП + 20
МаксЭнергия + 10
Разблокировать Рецепты Энергии","58,615#1193#1266,10000","1,2,3",talentTree-8,8,1,8,1, Боевое мастерство 8,60000,2,57600,7,7,6200
0, Уменьшить скорость движения врага.,"59,619#1198#1267,10000","1,2,3",talentTree-9,9,1,9,1, Боевое мастерство 9,70000,2,115200,8,8,8000
-1, Уменьшить скорость движения врага.,332,1,talentTree-10,10,0,2,1, Трамплинг - Улучшение,0,2,175,0,11,0
-1, Оглушить врагов вокруг вас.,63,0,talentTree-11,11,0,1,1, Трамплинг,0,2,15,0,,0
0,"Вместимость плодородия + 1
Профессионализм в посадке + 4
Вместимость счастья питомца + 1
Профессионализм в разведении + 4
Максимальная энергия + 10
Фитнес фермерства: Преобразует профессионализм в фермерстве в защиту в бою и пределы здоровья пропорционально определенному проценту, эффективно при ношении сельскохозяйственных инструментов
Разблокировать Рецепты Энергии","66#531,591#597#1183#1277,10000","1,2,3",talentTree-13,13,1,1,1, Фермерское мастерство 1,0,1,450,0,,0
0," Вместимость плодородия + 1
Профессионализм в посадке + 4
Вместимость счастья питомца + 1
Профессионализм в разведении + 4
Максимальная энергия + 10
Разблокировать Рецепты Энергии","67,593#598#1184#1278,10000","1,2,3",talentTree-14,14,1,2,1, Фермерское мастерство 2,0,1,900,1,13,0
0," Вместимость Плодородия + 1
Профессионализм Посадки + 4
Вместимость Счастья Питомца + 1
Профессионализм Разведения + 4
МаксЭнергия + 10
Разблокировать Рецепты Энергии","68,596#599#1188#1279,10000","1,2,3",talentTree-15,15,1,3,1, Фермерское мастерство 3,10000,1,1800,2,14,200
0," Вместимость Плодородия + 1
Профессионализм Посадки + 4
Вместимость Счастья Питомца + 1
Профессионализм Разведения + 4
МаксЭнергия + 10
Разблокировать Рецепты Энергии","69,594#600#1190#1280,10000","1,2,3",talentTree-16,16,1,4,1, Фермерское мастерство 4,20000,1,3600,3,15,1000
0," Вместимость Плодородия + 1
Профессионализм Посадки + 4
Вместимость Счастья Питомца + 1
Профессионализм Разведения + 4
МаксЭнергия + 10
Разблокировать Рецепты Энергии","70,601#587#1185#1281,10000","1,2,3",talentTree-17,17,1,5,1, Фермерское мастерство 5,30000,1,7200,4,16,2000
0," Вместимость Плодородия + 1
Профессионализм Посадки + 4
Вместимость Счастья Питомца + 1
Профессионализм Разведения + 4
МаксЭнергия + 10
Разблокировать Рецепты Энергии","71,602#586#1189#1282,10000","1,2,3",talentTree-18,18,1,6,1, Фермерское мастерство 6,40000,1,14400,5,17,3200
0, Разблокировать Набор Рецептов Оборудования LV 1,"72,620#617#1187#1283,10000","1,2,3",talentTree-19,19,1,7,1, Фермерское мастерство 7,50000,1,28800,6,18,4600
0," Разблокировать Набор Рецептов Оборудования LV 2, разблокировать рецепты переплавки и рецепты создания фрагментов при достижении максимального уровня.","73,624#621#1186#1284,10000","1,2,3",talentTree-20,20,1,8,1, Фермерское мастерство 8,60000,1,57600,7,19,6200
0, Пусто,"74,625#616#1191#1285,10000","1,2,3",talentTree-21,21,1,9,1, Фермерское мастерство 9,70000,1,115200,8,20,8000
1, Вместимость плодородия + 1,228,1,talentTree-22,22,0,1,1, Ферма - Вместимость плодородия,0,1,95,0,,0
-1, Поливать маленькие поля вокруг вас.,99,0,talentTree-23,23,0,2,1, Мастерство поливания,0,1,210,0,77,0
