designateOptions-string,details-string,difficulty-int,expReward-int[][],id-int,isSelfEnd-bool,itemReward-int,name-string,reputation-int,type-int,level-int[][],preTaskReq-int[],chanceOptions-string,unlockDungeon-int[]
"{""options"":[{""optionType"":2,""value"":""134,1"",""guiderPoint"":0}]}"," Ради любви и мира, пожалуйста, отправляйтесь в указанное место.
",0,"1,147",1,0,11, 10001,0,2,,,,
"{""options"":[{""optionType"":1,""value"":""134,2"",""guiderPoint"":0},{""optionType"":2,""value"":""134,1"",""guiderPoint"":0}]}"," Ради любви и мира, пожалуйста, отправляйтесь в указанное место.
",0,"1,147",2,0,11, 10002,0,2,"1,1;2,1",1,,
"{""options"":[{""optionType"":3,""value"":""30,1"",""guiderPoint"":0}]}"," Ради любви и мира, пожалуйста, отправляйтесь в указанное место.
",0,"1,147",3,0,11, 10003,0,2,"2,2",2,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}"," Ради любви и мира, пожалуйста, отправляйтесь в указанное место.
",0,"1,147",4,0,11, 10004,0,2,"2,3",3,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}"," Ради любви и мира, пожалуйста, отправляйтесь в указанное место.
",0,"1,147",5,0,11, 10005,0,2,"2,4",4,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}"," Ради любви и мира, пожалуйста, отправляйтесь в указанное место.
",0,"1,147",6,0,11, 10006,0,2,,5,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}"," Ради любви и мира, пожалуйста, отправляйтесь в указанное место.
",0,"1,147",7,1,11, 10007,0,2,,5,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}"," Ради любви и мира, пожалуйста, отправляйтесь в указанное место.
",0,"1,147",8,1,11, 10008,0,2,,"6,7",,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}"," Ради любви и мира, пожалуйста, отправляйтесь в указанное место.
",0,"1,147",9,1,11, Путешествие,0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}"," Ради любви и мира, пожалуйста, отправляйтесь в указанное место.
",0,"1,147",10,1,11, Путешествие,0,2,,,,
