boothFees-int[][],canDropScene-int[],canMint-int,desc-string,destructible-bool,givenSkillId-int,icon-string,id-int,name-string,onChainDelay-int,quality-int[],resourceInstructions-int[],sellable-bool,subType-int,talentId-int[],tokenTaskLevel-int[],tokenTaskRefreshType-int,type-int,useLv-int,userType-int
"792,1","1,3,4",1,"Bu eşyayı sentez yoluyla elde edebilirsiniz.
Kullanıldığında özel efektler tetikleyebilir.
-------
Evcil hayvan yemi, seviye 0 evcil hayvanlar için uygun bir tüketilebilir eşyadır ve evcil hayvanın tokluğunu ve büyüme değerini artırabilir. Doğal bitkiler ve besin maddelerinden yapılmış olup, ferahlatıcı bir tat ve kolay sindirilebilirlik ve emilim sağlar. Her paket evcil hayvan yemi hafif ve taşınması kolaydır, bu nedenle evcil hayvan sahipleri için vazgeçilmez bir eşyadır.",0,27,item-icon-28,28,Küçük Yem,0,1,434,1,0,1,"1,0",0,3,0,1
"792,1","1,3,4",1," Bu eşyayı sentez yoluyla elde edebilirsiniz.
Kullanıldığında özel efektler tetikleyebilir.
-------
Hayvan yemi, hayvanların sağlıklı büyümesini sürdürebilmeleri için gerekli besin maddelerini sağlayan bir tüketilebilir üründür. Çeşitli çiftlik hayvanları ve evcil hayvanlar için uygun olup, verimliliklerini ve ömürlerini artırabilir.",0,27,item-icon-29,29, Büyük Yem,0,1,435,1,0,1,"1,0",0,3,0,1
"792,1","1,3,4",1," Birisi bu malzemeyi sahil kenarında görmüştü.
Ekipman veya eşyaları üretmek için kullanılabilir.
-------
Bu yeşil sümüklüböcek, çeşitli savaş ekipmanları yapmak için kullanılabilen nadir bir ham madde. Son derece güçlü yapışma özelliğine sahiptir ve çeşitli malzemelerle bağlanabilir.",0,0,item-icon-30,30, Yeşil Sümüklüböcek,0,1,6,1,0,2,"1,0",1,4,1,1
"792,1","1,3,4",1," Birisi bu malzemeyi sahil kenarında görmüştü.
Ekipman veya eşyaları üretmek için kullanılabilir.
-------
Kabak sarmaşıkları, silah ve zırh yapmak için kullanılabilecek bir ham madde. Sert bir dokuya ve mükemmel dayanıklılığa sahiptir, savaşta güvenilir koruma ve saldırı gücü sağlar.",0,0,item-icon-31,31, Kabak Sarmaşıkları,0,1,5,1,0,2,"1,0",1,4,1,1
"792,1","1,3,4",1," Birisi bu malzemeyi sahil kenarında görmüştü.
Ekipman veya eşyaları üretmek için kullanılabilir.
-------
Bu tür tel örgü, savaş için kullanılan bir ham madde olup, yüksek dayanıklılığa sahip savunma yapıları veya ekipmanlar üretmek için kullanılabilir.",0,0,item-icon-32,32, Tel Örgü,0,1,4,1,0,2,"1,0",1,4,1,1
"793,1","1,3,4",1," Birisi bu malzemeyi çölde görmüştü.
Ekipman veya eşyaları üretmek için kullanılabilir.
-------
Madenlerden gelen kedi dişleri, silah ve zırh yapmak için kullanılabilecek keskin bir ham maddedir. Madenlerde yaşayan kedi benzeri hayvanlardan gelir ve güçlü savaş yeteneklerine ve çevikliğe sahiptir.",0,0,item-icon-33,33, Maden Kedisi Keskin Diş,0,1,7,1,0,2,2,1,4,2,1
"793,1","1,3,4",1," Birisi bu malzemeyi çayırlarda görmüştü.
Ekipman veya eşyaları üretmek için kullanılabilir.
-------
Bu hafif film, savaş için kullanılan bir ham madde olup, çeşitli savunma ekipmanları ve silahlar üretmek için kullanılabilir.",0,0,item-icon-34,34, Hafif İnce Film,0,1,8,1,0,2,2,1,4,2,1
"793,1","1,3,4",1," Birisi bu malzemeyi kanyonda görmüştü.
Ekipman veya eşyaları üretmek için kullanılabilir.
-------
Çimen Şeytan Tacı, Çimen Şeytanlarının başından yapılan ikinci seviye savaş malzemesidir ve güçlü savaş yeteneklerine sahiptir.",0,0,item-icon-35,35, Çimen Şeytan Tacı,0,1,9,1,0,2,2,1,4,2,1
"794,1","1,3,4",1," Birisi bu malzemeyi Kara Ormanda görmüştü.
Ekipman veya eşyaları üretmek için kullanılabilir.
-------
Bu kanca pençe sert metalden yapılmış, çok keskin, savaşta kullanılmak üzere uygundur. Şekli incedir ve düşmanın savunmasını kolayca delip geçebilir.",0,0,item-icon-36,36, İnce Kanca Pençe,0,1,10,1,0,2,3,1,4,3,1
"794,1","1,3,4",1," Birisi bu malzemeyi Kızıl Ormanda görmüştü.
Ekipman veya eşyaları üretmek için kullanılabilir.
-------
Kızıl kürk, mükemmel savunma performansına sahip yüksek kaliteli bir kürktür, savaş ekipmanı yapmak için uygundur. Yüksek toplama zorluğuna sahip nadir bir ham maddedir.",0,0,item-icon-37,37, Kızıl Kürk,0,1,11,1,0,2,3,1,4,3,1
