classifyLevel-int,desc-string,displayType-int,icon-string,id-int,level-int,matItemId-int[][],name-string,productId-int[][],productTypes-int[],proficiency-int,recipesSort-int,sourceText-int,timeCost-int,timesLimit-int,type-int,unlockCondition-int,unlockType-int,useDitamin-int,useToken-int
1,Lv 1-Taş Kılıç Tarifi ,2,recipe-icon-44,44,1,"210,1;213,1",Lv 1 Taş Kılıç Reçetesi,"40,1,1,10000",1,0,10900044,1,10,-,2,0,4,0,0
2, Lv 2-Demir Kılıç Tarifi ,2,recipe-icon-45,45,2,"207,2;211,1;214,1", Lv 2 Demir Kılıç Reçetesi,"41,1,1,10000",1,0,10800045,1,10,-,2,0,4,0,0
3, Lv 3-Kristal Kılıç Tarifi ,2,recipe-icon-46,46,3,"208,2;212,1;215,1", Lv 3 Kristal Kılıç Reçetesi,"42,1,1,6000;42,2,1,4000",1,0,50700046,1,10,-,2,0,4,0,0
1, Lv 1-Demir Çapa Tarifi ,2,recipe-icon-62,62,1,"207,2", Lv 1 Demir Çapa Reçetesi,"80,1,1,10000",1,0,10900062,1,10,-,1,0,4,0,0
2, Lv 2-Lanetli Çapa Tarifi ,2,recipe-icon-63,63,2,"216,2;208,2", Lv 2 Lanetli Çapa Reçetesi,"81,1,1,10000",1,0,10800063,1,10,-,1,0,4,0,0
3, Lv 3-Kutsal Çapa Tarifi ,2,recipe-icon-64,64,3,"217,2;209,2", Lv 3 Kutsal Çapa Reçetesi,"82,1,1,6000;82,2,1,4000",1,0,50700064,1,10,-,1,0,4,0,0
1, Lv 1-Demir Su Kazanı Tarifi ,2,recipe-icon-66,66,1,"207,2", Lv 1 Demir Su Kazanı Reçetesi,"84,1,1,10000",1,0,10900066,1,10,-,1,0,4,0,0
2, Lv 2-Lanetli Su Kazanı Tarifi ,2,recipe-icon-67,67,2,"216,2;208,2", Lv 2 Lanetli Su Kazanı Reçetesi,"85,1,1,10000",1,0,10800067,1,10,-,1,0,4,0,0
3, Lv 3-Kutsal Su Kazanı Tarifi ,2,recipe-icon-68,68,3,"217,2;209,2", Lv 3 Kutsal Su Kazanı Reçetesi,"86,1,1,6000;86,2,1,4000",1,0,50700068,1,10,-,1,0,4,0,0
1, Lv 1-Demir Kazma Tarifi ,2,recipe-icon-70,70,1,"216,2", Lv 1 Demir Kazma Reçetesi,"88,1,1,10000",1,0,10900070,1,10,-,3,0,4,0,0
2, Lv 2-Lanetli Kazma Tarifi ,2,recipe-icon-71,71,2,"210,1;213,1;217,2", Lv 2 Lanetli Kazma Reçetesi,"89,1,1,10000",1,0,10800071,1,10,-,3,0,4,0,0
3, Lv 3-Kutsal Kazma Tarifi ,2,recipe-icon-72,72,3,"211,1;214,1;218,2", Lv 3 Kutsal Kazma Reçetesi,"90,1,1,6000;90,2,1,4000",1,0,50700072,1,10,-,3,0,4,0,0
1, Lv 1-Demir Balta Tarifi ,2,recipe-icon-74,74,1,"216,2", Lv 1 Demir Balta Reçetesi,"92,1,1,10000",1,0,10900074,1,10,-,3,0,4,0,0
2, Lv 2-Lanetli Balta Tarifi ,2,recipe-icon-75,75,2,"210,1;213,1;217,2", Lv 2 Lanetli Balta Reçetesi,"93,1,1,10000",1,0,10800075,1,10,-,3,0,4,0,0
3, Lv 3-Kutsal Balta Tarifi ,2,recipe-icon-76,76,3,"211,1;214,1;218,2", Lv 3 Kutsal Balta Reçetesi,"94,1,1,6000;94,2,1,4000",1,0,50700076,1,10,-,3,0,4,0,0
1, Üretim Seviyesi 0 Hızlandırılmış Gübre ,2,recipe-icon-92,92,1,"65,1", Lv 0 Hızlandırılmış Gübre Reçetesi,"128,1,1,10000",3,0,40900092,1,10,-,1,0,4,0,0
1, Üretim Seviyesi 0 Verim Artırıcı Gübre ,2,recipe-icon-93,93,1,"61,1", Lv 0 Verim Artırıcı Gübre Reçetesi,"129,1,1,10000",3,0,40900093,1,10,-,1,0,4,0,0
1, Üretim Seviyesi 0 Nemlendirici Gübre ,2,recipe-icon-94,94,1,"69,1", Lv 0 Nemlendirici Gübre Reçetesi,"130,1,1,10000",3,0,40900094,1,10,-,1,0,4,0,0
1, Üretim Seviyesi 0 İkincil İyileştirme İksiri ,2,recipe-icon-95,95,1,"66,5;32,5", Lv 1 İksir Reçetesi,"134,1,1,5031;135,1,1,993;136,1,1,993;137,1,1,993;139,1,1,993;138,1,1,993",3,0,50900095,1,10,-,3,0,4,0,0
