id-int,rewardList-int[][],rewardTimes-int[][],rewardType-int
1,"213,1,1,1;210,1,1,1;216,1,1,1;207,1,1,1","0,9750;1,250",2
2,"214,1,1,1;211,1,1,1;217,1,1,1;208,1,1,1","0,9750;1,250",2
3,"215,1,1,1;212,1,1,1;218,1,1,1;209,1,1,1","0,9750;1,250",2
4,"401,1,1,1;404,1,1,1;407,1,1,1;410,1,1,1","0,9750;1,250",2
5,"402,1,1,1;405,1,1,1;408,1,1,1;411,1,1,1;479,1,4,1000","0,9750;1,250",2
6,"214,1,1,1;211,1,1,1;217,1,1,1;208,1,1,1","1,1000",2
7,"215,1,1,1;212,1,1,1;218,1,1,1;209,1,1,1","1,1000",2
8,"401,1,1,1;404,1,1,1;407,1,1,1;410,1,1,1","1,1000",2
9,"402,1,1,1;405,1,1,1;408,1,1,1;411,1,1,1","1,1000",2
10,"403,1,1,1;406,1,1,1;409,1,1,1;412,1,1,1","1,1000",2
11,"134,1,10,1","1,1",1
12,"39,1,1,1;297,1,1,1","1,1",1
13,"91,1,1,1;87,1,1,1;225,1,1,1;297,1,1,1","1,1",1
14,"58,1,12,1;30,1,3,1","1,1",1
17,"79,1,1,1;146,1,10,1;147,1,10,1;148,1,10,1","1,1",1
21,"134,1,5,1;135,1,3,1","1,1",1
22,"66,1,5,1;32,1,15,1","1,1",1
24,"213,1,1,1;210,1,1,1;216,1,1,1;207,1,1,1","0,9750;1,250",2
25,"213,1,1,1;210,1,1,1;216,1,1,1;207,1,1,1","1,1000",2
26,"213,1,1,1;210,1,1,1;216,1,1,1;207,1,1,1","1,1000",2
27,"134,1,10,1","1,1",1
28,"91,1,1,1;222,1,1,1","1,1",1
29,"87,1,1,1;223,1,1,1","1,1",1
30,"139,1,5,1","1,1",1
31,"83,1,1,1","1,1",1
32,,"1,1",1
33,"69,1,10,1","1,1",1
34,"28,1,2,1","1,1",1
35,"96,1,1,1;97,1,1,1;95,1,1,1;28,1,2,1","1,1",1
36,"95,1,1,1","1,1",1
38,"128,1,1,1","1,1",1
39,"101,1,1,1","1,1",1
40,"222,1,1,1;223,1,1,1","1,1",1
41,"46,1,1,1","1,1",1
42,"119,1,1,1","1,1",1
43,"92,1,1,1","1,1",1
44,"142,1,5,1","1,1",1
45,"142,1,5,1","1,1",1
46,"403,1,1,1;406,1,1,1;409,1,1,1;412,1,1,1","0,9750;1,250",2
47,"728,1,4,1000","1,100;0,9757",2
48,"728,1,4,1000","1,100;0,9757",2
49,"728,1,8,1000","1,100;0,9757",2
52,"479,1,4,1000;786,1,4,1;482,1,1,1","1,1",1
53,"479,1,4,1000;787,1,2,1;482,1,1,1","1,1",1
54,"479,1,8,1000;788,1,1,1;483,1,1,1","1,1",1
58,"783,1,4,1;30,1,2,1000;31,1,2,1000;32,1,2,1000","1,1",1
59,"479,1,1,1000;784,1,2,1;35,1,1,1000;34,1,1,1000;33,1,1,1000","1,1",1
60,"479,1,1,1000;785,1,1,1;37,1,1,1000;38,1,1,1000;36,1,1,1000","1,1",1
61,"718,1,2,1000","1,10;0,9968",2
62,"718,1,2,1000","1,10;0,9968",2
63,"718,1,4,1000","1,10;0,9968",2
64,"602,1,1,1;605,1,1,1;608,1,1,1;611,1,1,1","0,9750;1,250",2
65,"603,1,1,1;606,1,1,1;609,1,1,1;612,1,1,1","0,9750;1,250",2
66,"604,1,1,1;607,1,1,1;610,1,1,1;613,1,1,1","0,9750;1,250",2
67,"602,1,1,1;605,1,1,1;608,1,1,1;611,1,1,1","0,9750;1,250",2
68,"603,1,1,1;606,1,1,1;609,1,1,1;612,1,1,1","0,9750;1,250",2
69,"604,1,1,1;607,1,1,1;610,1,1,1;613,1,1,1","0,9750;1,250",2
70,"602,1,1,1;605,1,1,1;608,1,1,1;611,1,1,1","0,9750;1,250",2
71,"603,1,1,1;606,1,1,1;609,1,1,1;612,1,1,1","0,9750;1,250",2
72,"604,1,1,1;607,1,1,1;610,1,1,1;613,1,1,1","0,9750;1,250",2
73,"602,1,1,1;605,1,1,1;608,1,1,1;611,1,1,1","1,1000",2
74,"603,1,1,1;606,1,1,1;609,1,1,1;612,1,1,1","1,1000",2
75,"604,1,1,1;607,1,1,1;610,1,1,1;613,1,1,1","1,1000",2
76,"602,1,1,1;605,1,1,1;608,1,1,1;611,1,1,1","1,1000",2
77,"603,1,1,1;606,1,1,1;609,1,1,1;612,1,1,1","1,1000",2
78,"604,1,1,1;607,1,1,1;610,1,1,1;613,1,1,1","1,1000",2
79,"602,1,1,1;605,1,1,1;608,1,1,1;611,1,1,1","1,1000",2
80,"603,1,1,1;606,1,1,1;609,1,1,1;612,1,1,1","1,1000",2
81,"604,1,1,1;607,1,1,1;610,1,1,1;613,1,1,1","1,1000",2
82,"479,1,32,1000;789,1,4,1;485,1,1,1","1,1",1
83,"479,1,32,1000;790,1,2,1;485,1,1,1","1,1",1
84,"479,1,64,1000;791,1,1,1;486,1,1,1","1,1",1
85,"729,1,8,1000","1,200;0,9373",2
86,"729,1,8,1000","1,200;0,9373",2
87,"729,1,16,1000","1,200;0,9373",2
88,"481,1,1,1000","1,1;0,9999",2
89,"481,1,1,1000","1,1;0,9999",2
90,"481,1,1,1000","1,1;0,9999",2
91,"481,1,1,1000","1,1;0,9999",2
